,pair,TStatistic,PValue_T,significance
0,"(1,2)",-13.023308051126802,0.00020062512362640047,***
1,"(1,3)",-5.5265062146454325,0.0052364430732170005,**
2,"(1,4)",-5.000813119588826,0.007486126448849771,**
3,"(1,5)",-1.5780615754383476,0.2514936126646575,NA
4,"(2,3)",8.338695911397922,0.0011303849468299037,**
5,"(2,4)",11.345263085286065,0.0003441338595971756,***
6,"(2,5)",12.445705877711907,0.0002396672280299501,***
7,"(3,4)",3.0724668127911263,0.03720344144597006,*
8,"(3,5)",4.7211213131726035,0.009163985183562696,**
9,"(4,5)",2.9675320226145327,0.04124507441141857,*
