,pair,TStatistic,PValue_T,significance
0,"(1,2)",-9.343902962685576,0.0007304377189028769,***
1,"(1,3)",-12.821164784322958,0.00021331936651241504,***
2,"(1,4)",-2.0562429601336762,0.1621151836350749,NA
3,"(1,5)",-0.14214913807151539,0.894207775771431,NA
4,"(2,3)",4.268295251267047,0.012967704008786338,*
5,"(2,4)",5.3977139534361305,0.005700879562669706,**
6,"(2,5)",9.133982259397726,0.0007972237934410667,***
7,"(3,4)",2.9811559979797013,0.0406923110546259,*
8,"(3,5)",11.446333245666864,0.0003324331302630846,***
9,"(4,5)",1.9659502029443858,0.16690538442540612,NA
