,pair,TStatistic,PValue_T,significance
0,"(1,2)",5.938459911664723,0.004031922462228603,**
1,"(1,3)",7.131202847630552,0.0020445988146630322,**
2,"(1,4)",4.996224990024309,0.007510471279870549,**
3,"(1,5)",3.1208756567452136,0.03549657755102227,*
4,"(2,3)",1.2921165649395983,0.266502145338746,NA
5,"(2,4)",-0.8721028496007132,0.43295617320959895,NA
6,"(2,5)",-1.958643200238549,0.1355134308659976,NA
7,"(3,4)",-2.1186197436823337,0.10443156713898888,NA
8,"(3,5)",-2.9531221160930916,0.04183929878060403,*
9,"(4,5)",-1.2247448713915903,0.29529132475379577,NA
