,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,000921.SZ,0.004101924002751576,-0.002420637754584161,0.003398806454545455,-0.0020189586363636353,0.04078567745454546,-0.024227503636363626,0.03398806454545455,-0.020189586363636353,1.9090909090909092,1.0909090909090908,524.2354545454546,2872.9363636363637,3397.1718181818183,0.8874304525777893,0.8819399895380753
1,002490.SZ,-0.03824983192277065,-0.0017136443220276965,-0.031978004,-0.00142824099999999,-0.38373604799999994,-0.01713889199999988,-0.31978004,-0.0142824099999999,5.0,4.0,1013.7,13424.61,14438.31,,
2,002594.SZ,0.004489904771460736,0.009565149393913933,0.0037240883333333336,0.007936584999999998,0.04468906,0.09523901999999998,0.037240883333333336,0.07936584999999997,4.5,3.5,1013.2716666666665,9596.643333333333,10609.914999999999,0.20167797078219019,0.20154843283893747
3,000063.SZ,-0.005248129230107423,0.00567282828007624,-0.004382664999999999,0.004708959,-0.05259197999999999,0.056507508000000005,-0.043826649999999995,0.04708959000000001,3.6666666666666665,2.6666666666666665,838.3233333333334,8272.783333333333,9111.106666666667,-0.2793322715274519,-0.2804338300929864
4,000039.SZ,-0.015704793692670083,-0.004243719509578525,-0.013112569000000001,-0.0035399945000000052,-0.157350828,-0.042479934000000066,-0.13112569000000002,-0.03539994500000005,1.0,0.0,350.08500000000004,3653.545,4003.63,-1.9307012745962464,-1.9330522200427322
5,000756.SZ,0.02110537475289953,0.004083418589237849,0.017497209666666666,0.0033960369999999998,0.209966516,0.040752444,0.17497209666666666,0.03396037,8.0,7.0,1772.8533333333332,15338.72,17111.573333333337,1.9026603006137193,1.895135097883357
6,000157.SZ,-0.015291993357530037,-0.0007339798457049254,-0.0127864398125,-0.000621113062500001,-0.15343727775,-0.007453356750000012,-0.127864398125,-0.0062111306250000105,4.625,3.625,884.6143749999999,7059.7993750000005,7944.41375,-1.2706767143802793,-1.2751533781260311
7,002202.SZ,0.0004887804078851735,-0.012078907835478622,0.00040520416666666673,-0.01008342133333333,0.004862450000000001,-0.12100105599999997,0.004052041666666667,-0.1008342133333333,1.5,0.8333333333333334,350.81666666666666,3058.726666666666,3409.543333333333,0.0432872009668326,0.04297418832708938
8,000898.SZ,0.00623147354826046,-0.002216527189042991,0.005167348705882353,-0.0018587988235294114,0.062008184470588236,-0.022305585882352937,0.051673487058823526,-0.018587988235294114,2.7058823529411766,1.7647058823529411,537.1717647058822,6737.750588235293,7274.9223529411765,0.4711565049426388,0.4696484812518145
9,000488.SZ,0.018074595876554172,0.005931904315463902,0.015027052999999999,0.0049396454999999975,0.18032463599999998,0.05927574599999997,0.15027052999999999,0.04939645499999998,8.666666666666666,7.666666666666667,1804.556666666667,14756.87,16561.426666666666,4.0058377574942075,4.000388346623252
10,000338.SZ,-0.010435377812306674,-0.004782986366429961,-0.008748147181818182,-0.003988569454545452,-0.10497776618181817,-0.04786283345454542,-0.08748147181818182,-0.039885694545454514,2.1818181818181817,1.2727272727272727,399.73181818181826,5190.358181818181,5590.09,-2.447156707121245,-2.4591790969450695
