,2021-03-01,2021-04-01,2021-09-01,2021-10-01,2022-05-01,2022-08-01,2022-11-01,2022-12-01,2023-04-01
0,-0.017247834796901174,0.01950490272435479,-0.025305135530704348,-0.004596925824255305,-0.018001956348093984,-0.05961424841450391,0.06101054120510119,-0.045186265058819064,-0.03391764614867743
1,-0.004231045297909297,0.0548795217190996,-0.023932649734065947,0.04062029047564808,-0.0647805327179789,-0.0670292338717573,0.11101584958715938,-0.0711902588533273,-0.016731411243566807
2,-0.005525421473743908,,-0.07541107037189798,0.008818456594690272,,-0.08360887787963245,0.1770412140888471,-0.09708231235489206,-0.027313917747080918
3,-0.007410317583290471,,,0.030547565114459996,,,,,-0.01702002509965217
4,-0.004611871639799592,,,0.021115876196557526,,,,,0.0060516628950040285
5,-0.027278757407281695,,,0.008851991976273066,,,,,0.010206621199652322
6,-0.026250364068057586,,,-0.042147977589297,,,,,0.013999662323814555
7,-0.02844982687844677,,,0.049104440670263205,,,,,0.03836611011314872
8,-0.01467497081857827,,,0.059803824588787524,,,,,0.020052463437627566
9,-0.03309809829348609,,,0.05495492373733635,,,,,0.02845075064278113
10,-0.028594702778334202,,,0.007234551323171967,,,,,0.03698023333610667
11,3.0079370469948685e-06,,,-0.06294379886314916,,,,,0.061310839897783964
12,0.02899635339808526,,,-0.007888020945619356,,,,,
13,0.04062399913135595,,,-0.057403598937175726,,,,,
14,0.017739194078219,,,-0.08878925445597607,,,,,
15,0.03181112651843465,,,-0.1101820971865961,,,,,
16,-0.009442949187554728,,,,,,,,
17,0.030871266259071994,,,,,,,,
