,2021-08-01,2021-11-01,2022-09-01,2022-11-01,2022-12-01
0,-0.008621030380188577,0.002785474299549673,-0.032346101657660054,-0.009585836155698413,0.018385771151933017
1,0.027845672081667106,0.07176752860459334,-0.03829043218283901,-0.008762629730079352,0.012537474854899144
2,0.028694192222195714,,,-0.007924636372791838,-0.00438192738373161
3,0.05907888842530773,,,-0.016458027790044794,0.0161905089763425
4,,,,-0.004425827386864256,0.03825666697022129
5,,,,-0.020135764678600454,0.030503880106231118
6,,,,0.0008262851741471788,0.03947035215076283
7,,,,-0.005008401819234898,0.019107113341636894
8,,,,0.0030299117469274606,0.006723156751376302
9,,,,0.02367490384361748,-7.039499125977011e-05
10,,,,0.039317975967640306,0.0019905100176693113
11,,,,0.049193340576884514,-0.003954937436654149
12,,,,,-0.05411329152282379
