,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-08-01
0,0.04430665438356396,0.030343496434711792,0.05280602886083807,0.04271198779740448,0.1005495170210815,0.03549590150239523,0.01653280648290756,0.019438931331225096,0.0357412573158884,-0.008179467483825142,0.021060533122951863,0.04242249198937076,-0.035084703428120534
1,0.02816396415953104,0.07276049657322847,-0.03728768396214699,-0.000997528930300362,,,0.028406261662313304,0.009598847333700089,-0.009614677876064626,-0.04325940906866643,0.011107226172839546,,-0.03513808146530284
2,0.005052986410175375,0.007213436017475594,-0.050659315996169685,-0.01717915616221055,,,-0.027183336591466434,0.039132764915471796,-0.018245819951435926,,0.03579154141551344,,-0.011430319126918498
3,-0.00010118067782949325,-0.1394286847597832,0.0107434015678316,0.058744455409820207,,,-0.028481387797799185,,-0.005578427369839378,,0.03374741179538665,,-0.009005781314324501
4,-0.034163343108179145,,0.027434589414078836,0.1342394614135971,,,-0.01862480333225469,,0.010280305695247183,,0.04946664751000718,,-0.00021249772471776396
5,-0.03763439067009644,,-0.0013117895657197565,,,,-0.03229520684884002,,-0.02434940390130036,,,,0.011295291346110847
6,-0.056686808446864134,,0.009773857595483104,,,,-0.021438199940585045,,0.03149190993105888,,,,0.0024288637216072217
7,,,0.0065107388440428515,,,,-0.03665896363156107,,0.02782342978323138,,,,-0.0017006470264808726
8,,,0.008437058771965766,,,,-0.02502888824635563,,0.025716417748586462,,,,-0.005788239051266686
9,,,0.010338341395396355,,,,-0.026875582405468057,,-0.0004497368760372211,,,,-0.016728878859654017
10,,,0.0192454364250505,,,,-0.02928675798261149,,0.0044355814036247665,,,,-0.018714882462175453
11,,,0.03314991215657681,,,,-0.017688448729728856,,0.011618576356568155,,,,-0.03134988853264353
12,,,0.1836997921538166,,,,-0.0378796675207822,,0.013391355287079687,,,,-0.02863670954640929
13,,,,,,,-0.039146354146486706,,0.032114777958669016,,,,-0.013584957607494896
14,,,,,,,-0.0313811321734867,,0.030841827719925163,,,,-0.013307752382031524
15,,,,,,,-0.027398900428783124,,0.011913964577455971,,,,-0.021090815977895083
16,,,,,,,0.01829938059535796,,0.018223623828193425,,,,-0.04571409027607043
17,,,,,,,-0.0027640502610906115,,-0.005222787912511073,,,,-0.04723048064824864
18,,,,,,,0.007910280803558267,,0.018837124194908128,,,,-0.03456463570585333
19,,,,,,,-0.009043308007672612,,0.0022045088537012703,,,,-0.045717361366806486
20,,,,,,,-0.01960883874929631,,0.008737513520580276,,,,-0.019744417985005036
21,,,,,,,0.01164434393464897,,-0.02965103433805849,,,,-0.017137444275728164
22,,,,,,,-0.0052002033128697445,,-0.03262959163138568,,,,-0.0162977565478295
23,,,,,,,-0.009378763783826072,,-0.031975177239357055,,,,-0.030139748887323847
24,,,,,,,-0.009884768583955816,,-0.017318756450066086,,,,-0.024607168372757116
25,,,,,,,0.020882673456862344,,-0.020829730961890114,,,,-0.01648414198900472
26,,,,,,,-0.027008783454761653,,-0.015180724138750268,,,,-0.016883605504617982
27,,,,,,,0.0024435402794946715,,0.0047397329341767325,,,,-0.00933065477865469
28,,,,,,,0.007474391226389487,,-0.03440158430406637,,,,-0.01273787517678926
29,,,,,,,0.002385634893429911,,-0.028312352114660655,,,,0.004657310019775096
30,,,,,,,0.004087000795028883,,-0.012467012345927841,,,,-0.001365943976036732
31,,,,,,,0.052617772713480226,,0.00763978462359205,,,,-0.015440802830851474
32,,,,,,,0.0439577355893539,,0.004087581694710796,,,,-0.018403251744640414
33,,,,,,,0.049180398091526856,,-0.017554595402956785,,,,-0.01617777955420907
34,,,,,,,0.06449821152542268,,0.0008712056131843227,,,,-0.0027655955555752065
35,,,,,,,,,0.004685246029434431,,,,
36,,,,,,,,,0.02416867063871697,,,,
37,,,,,,,,,0.025642496484646227,,,,
38,,,,,,,,,0.01892449447790412,,,,
39,,,,,,,,,0.03480737892153263,,,,
40,,,,,,,,,0.01758858848496736,,,,
41,,,,,,,,,0.001185287700705473,,,,
