,2019-01-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-06-01,2022-07-01,2022-08-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01
0,-0.07145860945730576,-0.021386435284869165,0.025570359240444596,-0.020564226241332584,-0.004318105016538176,0.01576148084118234,0.032080844726487534,0.010491744509993461,0.024379034241619024,-0.012499533053811795,0.035138254987512774,0.02851761311956036,0.031584024559460966,-0.0016743310848204018,-0.013016014768064466,-0.014930176139202445,-0.0027936826982060126,0.02012881925693577,0.015363297319439972,-0.011349245286742082,-0.005944234138088866,0.003592978020581228,-0.029835095749229268,-0.013368066729558592,0.020254110287392546,-0.02571647409813771,0.01995036571590081,0.04988594055318085,-0.009592502133078495,0.029331773814172735,0.005012285258749194,-0.03262765180010874,-0.025832187767301562,-0.04332138314997791,0.03434764881646046,0.006820292638847647,0.042932943520428424,0.0191034745312173,0.014957013834179023,-0.0200201837028402,0.04097202043474191,-0.002296961989193491,-0.013031460124594885,0.02872301693020063,0.017917908343506816,-0.01529819327330803,-0.010537296659285822
1,,-0.03582469936808419,0.026579663906806772,-0.023110423529652202,-0.009001193271714225,0.026498982549727934,0.034975424045296855,0.003448840165865663,-0.0034688372183611094,-0.01262202709084459,0.02649311597588877,0.009814122071652776,0.016871265683185088,-0.018685566294879052,0.006085873579328549,-0.031364697146242904,0.018048146941039178,0.03334140217368642,-0.014474373216388337,0.0022022331170017395,0.012911476468791427,0.02811193481950358,0.013630128481718629,-0.00878367641416844,0.018879558251139184,,0.038275778417126816,,0.015080530092102196,-0.009060108004507406,0.020075188724458015,-0.01901328995834639,0.0262827203166891,0.0012478856388160597,0.08496151235319793,0.03785870050149409,0.033928409231158696,0.010506605817683479,0.0020317765057074055,-0.011623587838631266,0.06384834401133155,0.020680808132065742,0.003127633982658695,0.024493731904606797,0.03740070123439132,-0.002755632985397022,0.0026341889721512857
2,,-0.019165836247839962,-0.0073338144364161195,-0.005628389132398048,-0.02667213209670205,0.019390792908603238,0.03472368098160494,0.02393686966391928,0.011081062317672696,-0.00971247237286299,0.015958580953966184,0.02800001406024233,0.02840148276316712,-0.019856269874054533,-0.009941051508294052,-0.01620551910058321,0.0072814494090227555,,-0.014367602707832106,-0.01854516323289701,-0.00658650641853864,0.005922615962496103,-0.013381047388326017,0.011205460875056694,-0.007125912747646179,,,,-0.003782349868698409,-0.014924500648638706,0.004448922034310576,-0.052296985733496726,0.04802739094306041,-0.04266919615326148,,0.050199588392653816,0.008472301201629229,-0.0037306407650756768,-0.013637217990890349,-0.023164541352675982,0.07587126921954557,0.0190349538334047,0.016828060962607916,0.027241573766479732,0.05231525341053622,0.004868480867653374,0.020355670527094638
3,,-0.011567933957960186,-0.008963394273642677,-0.015808525387345007,-0.017176471412850614,0.014973340423930281,0.0202073755942882,0.0007619502093108022,-0.0009594214023262992,-0.02486577570501325,0.027581783244265523,0.01736801069907834,0.024253196270033195,-0.04057331265547859,-0.0036640157769669557,-0.02455233287680869,0.006046467629814423,,0.0007062772407193663,-0.02887246148979461,0.01876760207044903,0.012508612863684654,-0.0025914906162061158,-0.01671655782653758,-0.018447281688298123,,,,0.010660312989203335,0.007741538675543502,-0.003628930903006755,-0.04408873574632466,,-0.046994023574191024,,0.00015570566503253502,-0.009441781767066004,0.0035401083231922925,-0.019022440355603187,-0.019110746163999437,0.07075499129365159,0.0005588856140841258,0.008041741100529132,-0.03874350629972856,,0.0186204145146647,-0.018219657930258037
4,,-0.02167990535787645,0.005040555734640684,-0.003141594750696086,-0.03679198795903549,0.01404296017427864,0.027003422224938234,-0.00384932262758908,-0.00962577043392887,-0.02620956315907108,-0.016217380670816794,0.06663826710075771,0.027092779069122885,,0.01796535455867332,-0.013062014476683537,-0.0004094415628523862,,-0.004843836116111611,-0.018570953847475202,0.0320361036706629,-0.029740955360694876,0.025966985453441893,-0.0022192129429834395,0.00488958084629898,,,,-0.030330258392454956,0.003279565274241669,-0.040280557082761015,-0.014780127072357097,,,,-0.04103302571662848,-0.013699090084201337,0.0018783088327793962,-0.006088023893702221,-0.06155929690567863,0.06019644100102273,-0.029931914720525477,0.0032582601949260326,,,0.017626074429664157,-0.0009893776576523905
5,,-0.035356723968617665,-8.092906024703694e-05,-0.04100003187499901,-0.001312734342666655,0.028788693306024626,0.03822058304474041,-0.016513584188755592,0.019282989828584896,,0.0072791027609229175,,-0.01639822646381961,,0.001372938823546832,-0.009840435398960068,-0.02406119997106604,,0.009723577928055782,-0.007307616534077077,0.01185150397400303,-0.01624407664119154,0.020653926112225385,0.0049695509092879675,-0.003842035126051524,,,,0.00999154414967518,-0.004861427770569193,,-0.029515889971871268,,,,-0.040862788178192666,0.009011731685609092,0.0018405655080266925,-0.012879195519134967,,0.100767642964251,-0.0021840843456937264,0.008148009672863,,,0.012598310631392301,0.005773779777885402
6,,-0.03110064527287193,0.013683738912668275,,-0.004762891769461763,0.023541608633417255,,0.01337531301905659,0.017054088781681465,,-0.004264079050612324,,0.021537885193374295,,-0.0005044248987546851,-0.029459576014025934,-0.020559212087218448,,-0.0044377347738944195,0.006511615632038392,-0.011069653831671467,-0.024578951626749834,0.023506449002878682,-0.022733413096818644,-0.010735391564776986,,,,0.0014344736070504016,0.01951674972146389,,-0.03965875398253438,,,,0.007756565593187048,0.010465344387347919,-0.006015366344252371,0.05827646191706215,,,0.01284768338932274,-0.009208013513763325,,,-0.005872400644772541,-0.001449075389745147
7,,-0.016494473324702774,-0.013243839313022754,,3.766608458954934e-05,0.03179746836224062,,0.015761872558796908,0.005395377714134675,,0.022693086232892234,,0.016512026314517536,,-0.030294920076936016,-0.01586529909065515,0.002708375146831088,,0.02429801772599216,-0.030244900103231664,0.0034793911956247925,-0.020679384210011698,0.02197811389156623,-0.011335106725622879,-0.01388753341440152,,,,0.015001011118492835,0.023777460897760783,,-0.010698763396953304,,,,0.011698041965604311,0.05091734098334122,-0.005566266480675708,,,,0.02395137030206751,-0.02851148122664937,,,-0.007465337373512931,-0.0036647306315247263
8,,-0.013362514371934253,0.01347896388397185,,-0.016302878984232994,0.0402876111209558,,0.00227775969226518,-0.007266979608644419,,0.024833622187673043,,-0.008730236572062955,,-0.01965366527983292,-0.030624653660747292,-0.0014863453364970525,,0.007571728377430809,-0.0019160746644963922,0.003391518290747797,-0.014785217433691322,0.024028833025657725,-0.02415089438119722,-0.012474516804648506,,,,0.024047418098866347,0.025879637311023274,,-0.0061202924435512784,,,,-0.0026805337518513994,0.04651135174695309,-0.015344992824400272,,,,0.009136421087950986,,,,-0.01589082477857759,0.008658536042854159
9,,-0.035530680092543676,0.010627698929877916,,-0.018157737144488983,,,0.018517228669880703,0.0141048860614994,,0.052243785106463214,,-0.004277986820266255,,-0.018434022241994086,-0.006393662141828571,0.004100891562748288,,0.03897774192991044,0.033342935638632554,0.03465000061900625,-0.008971294145343478,0.026648990376658688,-0.01710653732228895,0.0037779804351987245,,,,0.0035600276628156013,0.017181468522654342,,0.03857579728398619,,,,0.06607126486238268,0.031116670982535233,-0.0052210922880524535,,,,0.017340234477038585,,,,-0.02573581799284949,0.002274337746788646
