,2013-02-01,2013-09-01,2014-03-01,2014-07-01,2014-08-01
0,0.02064468139660036,0.012413407031383598,-0.00993057572621181,-0.0037495926465946905,0.0773792798476215
1,-0.055634513911843264,0.016141027638440268,-0.007996602667159625,-0.0025094441084334562,
2,,0.02113625438198296,-0.011161600134047212,-0.002597477664796344,
3,,0.01697216295690162,-0.02068471361547375,0.03566611793196617,
4,,0.0216742779158342,-0.01529904265951465,,
5,,0.013709637738588902,-0.021686690723314084,,
6,,0.02225620090815427,0.016078440287680906,,
7,,0.028848551977034835,0.037036565801407795,,
8,,0.01830171963986215,0.044113884373623846,,
9,,0.02593003875969823,0.04660323024198243,,
10,,0.024376190206236596,0.021808481682265568,,
11,,0.03326082536305474,0.04862195354310683,,
12,,0.07605703857690849,0.028616481237947133,,
13,,,0.03777115575357626,,
14,,,0.0547942017364923,,
15,,,0.030437177570493246,,
16,,,0.03365996885693645,,
17,,,0.04149487713040445,,
18,,,0.04495433088622902,,
