,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-11-01,2017-12-01,2018-01-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-11-01,2018-12-01,2019-01-01,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-11-01,2020-02-01,2020-03-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01
0,0.003345269446020982,-0.018394052195841226,-0.014254926157926562,0.020862054233168337,0.02122332163338081,-0.015250283412646115,-0.09190925434724972,0.06633426910628293,0.016370489669976784,-0.010929505507934811,0.012269793507660998,0.05839155438022736,0.06761005804496012,0.032035377084849555,0.04385009290715658,-0.017645082416006375,-0.007441755096418312,-0.030864027432731422,-0.045721291961689337,-0.010520242441657501,0.05655393712584944,-0.02728470608079636,0.005005719651302698,-0.010120529931557876,0.009302858526686997,-0.03075150838071039,-0.027142332243697442,0.015001461308275843,-0.002319142748945069,-0.004925262124348517,0.009195802865110903,0.003359952261158927,-0.00035344963374139837,0.07120024241335265,-0.03400718480802967,-0.03612909725877822,-0.03399249384115932,0.027994893375415497,0.025769594099220416,0.017683231215046114,0.017640610069763696,-0.03678780084402655,0.002651233969746425,0.029472577757223117,0.02214910686531102,-0.008359627875916154,-9.496317406965105e-05,0.02018020321073788,-0.013694754369145912,-0.012772046292083061,-0.020994387357080646,-0.036171684369679546,0.03939780771207513,-0.012810115024713298,-0.03589287931007101,-0.14920832960555774,-0.001042452859200349,0.06975761614845721,-0.05441332141682631,-0.004041280265253189,0.04466170106748901,-0.034402832339401,0.0035184917332724552,0.009615169484337827,0.11230886985435662,-0.018398426426221026,-0.03782776197280446,-0.00013097469728862166,0.03539901015869695,-0.005600915942954643,-0.038892068838705995,0.02007240168593505,0.05910522623812886,-0.007174577227027967,0.021957560929843467,0.010326119650893917,-0.0015839198227052265,-0.0469648297644667,0.008462172976742899,0.011305695930670101,0.007405684265846535,-0.00105132408660924,-0.0014542425690193816,-0.035964813526621064,0.0014351268579098075,-0.004823196026668475,0.004387773700405884
1,-0.010427716794617181,-0.025979538801460755,-0.014693098346911349,0.03383192386465872,0.012275798527008774,0.02375109560817601,,0.06267732662738368,0.007252492595269278,-0.018475229349558253,0.026215510216680338,0.19612294592842439,0.054540278745588644,0.03515205439250208,0.014676785481134935,0.0003572329804799601,0.004737561912874,-0.03282352785539144,,-0.001565787785084538,,-0.01493770861355248,0.01620466894778616,-0.017798511314549348,0.006054485956585864,0.0189434916219966,,0.033567266119873373,-0.015318040008267086,-0.014382494289934211,-0.0019853740601893932,0.03523108884429593,-0.023506229898093256,,,-0.037947951528700674,-0.06949463566816383,0.051900936719479596,-0.008065928617907225,0.012581850612196632,-0.04177909084831244,-0.049383909205740206,-0.019900446322448584,,-0.007132088667069603,0.006851941097957948,0.013647704526678073,3.228243089958838e-05,-0.04456350184643787,-0.024909455749945852,-0.008658548598171445,,0.0023711140960305244,-0.01877110978449892,0.020941519828074462,,-0.025644892351962767,,-0.016416058286902846,0.019584735790420194,0.0063156929337893075,0.035821224292887255,0.026116039822059456,0.007462864892975318,,-0.005311398653381372,,0.026397360299172057,-0.008213054733968939,-0.006447069538570105,-0.058573530905366766,0.004773839127873103,0.04631173385772058,-0.008479058491462244,0.0489575420734063,-0.013450880227465545,0.008914783328646259,0.003022356512100366,-0.013095064826956104,-0.010317623415749821,0.017187021277209613,0.04407383529597353,-0.014372793318949917,,-0.0020564056590099966,0.009970922095656087,-0.004954455562640181
2,-0.017032036466579914,-0.03975924475330861,-0.015505948317402485,-0.01723051478841331,-0.044116052786154825,-0.03862104347031081,,0.05765388723219633,-0.009148303501165245,-0.0025972395723006247,0.03517273573485835,,0.04179852205198209,0.029657320163715313,0.012178976596249669,-0.020957619345308043,0.0008593773276377448,-0.03720661620660071,,0.01062997612768335,,-0.041271789217269816,-0.023480613988915877,-0.010273771674923271,-0.008845341789589511,-0.0067399266141086045,,0.013547765232212239,-0.026198730643417267,-0.013939074477888447,0.002781857852653058,,-0.0306479345044548,,,0.0014612494179835345,,,-0.015258450294364678,-0.014449301819634996,,-0.04774907448121901,-0.020485507539670156,,0.0009320645117032456,0.008760153206532006,0.031267288447036634,0.00438169973818292,,-0.032196216924262444,-0.012237257765035425,,0.022815117896888726,-0.000853003846529532,-0.0027430343017531555,,-0.022887542929182825,,-0.0322892400430419,0.010152054993650683,-0.008566034292818436,0.03240900803231028,0.017258999021680488,-0.002968944029067444,,-0.014949223477436324,,0.01695066414400248,-0.020226320212993087,-0.015838207254441627,,-0.0318346998804806,0.04270885541334257,-0.045161790788370126,0.014261768144212539,0.006187145384161097,0.01129896235596295,0.00705951142050143,0.0015122034014178887,0.031841111714225434,0.00796303203150961,,-0.008110615822619405,,-0.013818682648938818,0.011298315004924175,0.015054421764826298
3,-0.022982932550044355,0.0030634543468195385,-0.01530390571529372,-0.04786737953636333,-0.03593074098713789,-0.07321720649627916,,0.0926224462564651,0.001564095712258684,0.008006704550076238,,,0.012115193376255107,0.012287692363696708,0.047388318382208805,-0.019979321635228864,-0.01809819485034936,-0.07260609884808256,,0.036808713820720484,,,-0.022350128176579886,-0.016168027858895595,0.013287559107302727,-0.01688359632039438,,0.011847266327859707,-0.007590849899769658,-0.036620129663797574,0.005394533923461342,,,,,-0.0011519294209372255,,,-0.017891609037134604,-0.026283207664977493,,-0.052045261547469135,-0.013667644131282852,,-0.027284210120472885,0.03218693063008615,,0.0012756559576665438,,-0.0171668455400682,-0.015628406905040804,,0.021952162653657403,0.011307616451298408,0.006843263737385197,,-0.011152116161040837,,-0.03525553081536881,-0.0018093276106498912,-0.02264826962501587,0.05010084833764461,0.03387209163736138,0.01470928016865658,,-0.030823963138614574,,0.016532747444950147,-0.03733074490096655,-0.007561364713090768,,-0.02812428815799528,0.03547490414067456,,0.038628621071425506,-0.007440987709176339,-0.005645385246771717,0.006479156882889692,-0.02297178184823867,,0.011952042979055832,,-0.00481928308034929,,-0.0042303687823777025,0.0008477851583987839,
4,-0.017831784311244103,-0.027473711053448202,-0.01474726779387936,-0.03279636186894841,-0.06790824617206814,,,,-0.02754409484580389,-0.00038388534113109607,,,0.0049243750575640455,0.037115594206336096,0.04695212861584741,-0.04401774075634135,-0.001802344311538917,,,0.024556133448944806,,,-0.015999613360841103,-0.003048685664588824,0.00741626754692426,-0.008688795550094053,,0.021404057763481976,0.004841831895693094,,0.007968848198918188,,,,,0.002503079806310371,,,-0.022921287293578452,-0.02332309028679047,,-0.08188944299451695,-0.007812542361935737,,,,,0.004732561935169244,,-0.019907023475731478,-0.025400971457817223,,-0.0021085049532612032,0.022914859916014052,-0.0155693512976125,,-0.05306797412032349,,-0.0257973543316119,0.012799002861316744,-0.01400091475386489,0.03567629802804806,,0.02449653020768361,,-0.03288649745691441,,0.008156147915482137,0.012724765402372995,-0.011087457434504344,,-0.015317266430255216,0.05105262058899118,,0.0052357815806551855,0.011738731640093869,-0.009454458757681916,-0.003744083748109084,-0.023271368937612724,,-0.0003178657078155567,,-0.02068493818518702,,-0.01002185493104335,-0.0054044512316659965,
5,-0.041682668451038074,0.008765072464478108,-0.014343529765135976,-2.5274447180478887e-05,,,,,-0.006248507414435611,0.02017924358265133,,,0.02601963742599578,0.03010523580905739,0.04100127346071902,-0.07179323770247281,0.013559972601653314,,,0.04377679460921868,,,-0.006662587362143313,-0.01495598608837545,0.03274677558431982,-0.006848384659720708,,0.0061761697711610886,-0.010285830743775204,,-0.013122438916948198,,,,,0.026090186686832606,,,-0.03287320718017117,0.007942829093765091,,,-0.016570269285776984,,,,,-0.02222038860230313,,-0.02364385804599589,,,0.031044213398586873,0.02930209494021163,-0.02621730739219741,,,,-0.03266631969032563,0.005079895180979399,-0.003233255948269509,0.037935461177081464,,0.022582208071717513,,-0.05447556972600964,,0.0010462361015051158,0.027645214195116452,-0.030204890542375296,,-0.0019413385241087155,0.05977693284985941,,0.04382940598969931,0.030496243649691168,0.00854401917698766,0.01249947982573052,-0.017915298341423913,,-0.028768999198018452,,,,-0.005291193980306197,-0.0034354424989280208,
6,,0.010763404645796948,-0.014166330400620986,-0.021764486398200944,,,,,-0.04305060429971297,0.011051890451844626,,,0.006314380603633651,0.013400872971331475,0.04870863541831261,,0.0012859987319107091,,,0.030355413080476623,,,0.002673108186723283,-0.01271420348435326,,-0.0021279831973202157,,0.0543491822301263,0.0055587050019823,,-0.00903791142718191,,,,,0.02902564470767066,,,-0.06139513461436419,-0.008045579708222839,,,-0.010300083659490422,,,,,-0.030975554409403028,,-0.03200449111660175,,,0.031292934249376625,-0.001933016585619285,-0.041647294522082934,,,,0.0792319818107905,0.004881779851701573,0.055326657809571245,0.04227017381003151,,0.03338566872287663,,-0.01761723618526967,,-0.020006027659347225,0.055454497795238034,0.008840925160301438,,0.021662689826377424,0.05481392250636308,,0.02015342632804007,0.035017909051194396,0.004405145068900662,0.007909753357407956,-0.00898771103474294,,0.0008467663877822496,,,,0.012694420826556474,0.0010157896827573953,
7,,-0.0222326118189744,-0.015377819005183202,-0.05606375376953654,,,,,-0.02836828074111475,0.0003700203252956502,,,0.01732369211572049,0.029462417190199326,,,0.005140331588464164,,,0.03359498957706464,,,-0.010930725123912133,-0.014219147890425443,,-0.015187137513448246,,,-0.006275203462017931,,0.0021604548712899074,,,,,0.0316862786703469,,,,0.007628591178334254,,,0.002039975628363333,,,,,,,-0.024256818396396707,,,0.049178655239366265,0.025899021622286966,-0.04087049720520097,,,,,0.0074746297312606735,0.06308604817465202,0.050775704232974395,,0.036085240732031565,,-0.021118595671003715,,-0.03964493995760421,0.012583429444189775,0.0071049190096230674,,0.02573657983729838,0.047334878848147355,,0.01855465554774849,0.033818646313770406,-0.005813802250508537,-0.034123791455684005,-0.011696559696235287,,0.015292558861441208,,,,0.010509668934753691,-0.004544027426462316,
8,,-0.03862709430463851,-0.015934808123791555,-0.03450033540187292,,,,,-0.0380230799629242,-0.010162320042350181,,,0.004556149323307057,0.040378502706490634,,,0.051685553834259323,,,0.04135346459013789,,,-0.04376333650399644,0.002890933004394025,,-0.0205222836558403,,,0.005654839155313063,,0.01510809338627217,,,,,0.006455549554138074,,,,-0.0016748519721723198,,,0.0018246961830055142,,,,,,,-0.012230486708327604,,,0.033826797599135094,-0.003828646466919494,0.02107705665391446,,,,,0.008101612395950752,0.07055862878991626,0.10716205023905179,,0.05114332979866454,,-0.027591788971191744,,,0.015810409732601727,0.049245778778105986,,0.05019947127213786,0.042894115411848954,,0.04615451483029265,0.039290706944802745,-0.02743742425137574,-0.04351545680053959,-0.035387957993125774,,0.007907913782451814,,,,0.010756111599996565,-0.020578278384512094,
