,2014-06-01,2014-07-01,2015-02-01,2015-07-01,2015-10-01,2015-12-01,2016-04-01,2016-09-01
0,0.027815637243405078,-0.00914841339117567,0.028410998142442523,-0.020311981421637704,-0.01886801566604035,0.009409784544869293,-0.017298834107272842,-0.011679661607954195
1,,0.000696706606897024,0.02326505075957641,-0.01801760564902022,0.010142258958151018,0.011481052981641593,-0.029663129519026388,-0.04119132489529642
2,,-0.014332565124937524,0.015087820148909525,-0.020043139338779437,0.004742673199066516,-0.10440415732840824,-0.016310688739200163,
3,,0.004595108897715416,0.022060438025152784,0.001963089856582112,-0.02529308798767893,,-0.012947409399114207,
4,,0.009966372003749058,0.020773291146528816,-0.019246918060089158,-0.0022713725086571657,,-0.028018775784337535,
5,,-0.03599606247763232,0.015318303174551406,-0.002610322712039981,-0.047278605516057226,,-0.03720154283342714,
6,,-0.06531282957407436,-0.012582154680599533,0.029485672442053357,,,-0.05133968680578738,
7,,,-0.04428267974112776,0.01845665489754733,,,-0.08945756695156337,
8,,,,0.004825668045206122,,,,
9,,,,0.0072486072281430225,,,,
10,,,,0.00479734182888647,,,,
11,,,,0.008830265825010564,,,,
12,,,,0.02014201454235831,,,,
13,,,,-0.00653166470341171,,,,
14,,,,-0.026122111453454,,,,
15,,,,-0.008334071756427086,,,,
16,,,,-0.011285068076690052,,,,
17,,,,-0.0168319916945201,,,,
18,,,,0.00962741790606847,,,,
19,,,,-0.00622759328871858,,,,
20,,,,-0.006610030236494868,,,,
21,,,,-0.0028585596085877185,,,,
22,,,,-0.013939124841954253,,,,
23,,,,-0.068298926101523,,,,
