,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,000921.SZ,0.032083095544843475,0.010828717786373586,0.015476125701754386,0.0051998638596491295,0.18571350842105264,0.06239836631578956,0.09285675421052632,0.031199183157894776,0.8947368421052632,0.0,342.2178947368421,1773.534736842105,2115.7526315789473,0.7630878331944154,0.7513371843407975
1,002490.SZ,0.03144239250002873,0.0424861009293002,0.015255008333333332,0.02072658685185185,0.18306009999999998,0.24871904222222221,0.09153004999999999,0.12435952111111111,0.8888888888888888,0.0,358.7766666666667,2138.9977777777776,2497.7744444444447,0.5875285175538181,0.5855400855482246
2,002672.SZ,-0.060472005861118894,-0.0019828618234137285,-0.030949036250000003,-0.0010076837500000045,-0.371388435,-0.012092205000000054,-0.1856942175,-0.006046102500000027,1.0,0.0,319.935,2891.555,3211.49,-4.671844100228856,-4.776279211241898
3,002594.SZ,0.0059683788591739445,0.0062192460912386454,0.0022942051851851867,0.002894142222222225,0.02753046222222224,0.0347297066666667,0.013765231111111121,0.01736485333333335,1.0,0.0,399.21888888888884,2868.5333333333338,3267.7522222222224,0.1357066275891422,0.105220086660269
4,000063.SZ,-0.013651651327246689,-0.0020537075279753736,-0.006863855833333335,-0.001036561666666671,-0.08236627000000002,-0.012438740000000052,-0.04118313500000001,-0.006219370000000025,1.0,0.0,345.17,1723.1650000000002,2068.335,-1.3787513644221137,-1.3879799469615484
5,000039.SZ,-0.029949680799127576,-0.00026165235304703716,-0.0152021625,-0.00013084666666667502,-0.18242595,-0.0015701600000001003,-0.091212975,-0.00078508000000005,0.5,0.0,360.375,240.31,600.685,-68.560495165127,-69.59215480821169
6,000756.SZ,-0.006895041503747423,-0.014866509690627666,-0.00350232625,-0.007481776249999996,-0.042027915,-0.08978131499999996,-0.0210139575,-0.04489065749999998,1.0,0.0,369.38750000000005,1455.8700000000001,1825.2575,-0.47003424507534836,-0.4733113400112172
7,000002.SZ,0.06421571714000607,0.0007386482079624335,0.03142434166666667,0.00036920166666665834,0.37709210000000004,0.0044304199999999,0.18854605,0.00221520999999995,1.0,0.0,368.78,185.64499999999998,554.425,68.87975531903069,67.43832192060218
8,000157.SZ,-0.00777323922061686,-0.01321531335618195,-0.004069601515151516,-0.006663911363636365,-0.04883521818181819,-0.07996693636363637,-0.024417609090909096,-0.03998346818181819,1.0,0.0,366.5072727272727,1915.7018181818182,2282.2090909090907,-0.4531642556923797,-0.470193591991039
9,002202.SZ,0.009398801213562024,-0.004805115501204327,0.004584581166666667,-0.0024151074999999946,0.05501497400000001,-0.028981289999999937,0.027507487000000004,-0.014490644999999969,1.0,0.0,357.894,1259.231,1617.125,1.0189548695258146,0.9908699054152994
10,000898.SZ,-0.009420443935776304,-0.0021787910270845007,-0.0050072720833333325,-0.0011757243749999959,-0.06008726499999999,-0.01410869249999995,-0.030043632499999993,-0.007054346249999975,1.0,0.0,189.88437499999998,3281.970625,3471.855,-0.3412674134083277,-0.370458308780199
11,000488.SZ,-0.006733823768807428,-0.0010656363376532936,-0.0034158768518518525,-0.0005415738888888891,-0.04099052222222223,-0.006498886666666669,-0.020495261111111114,-0.0032494433333333343,1.0,0.1111111111111111,354.0322222222223,1961.96,2315.992222222222,-0.7631588829127992,-0.7761271104791864
12,000513.SZ,-0.052228597788566256,-0.008787785076457166,-0.026464483333333334,-0.004403588333333333,-0.3175738,-0.05284306,-0.1587869,-0.02642153,1.0,0.0,223.1,3395.97,3619.07,,
13,000338.SZ,-0.02334745904154874,0.0003621780737830908,-0.011884204583333335,0.000128431805555558,-0.14261045500000002,0.001541181666666696,-0.07130522750000001,0.000770590833333348,1.0833333333333333,0.08333333333333333,252.33666666666667,3039.601666666667,3291.9383333333335,-1.0809109046445682,-1.1088322376559123
14,002703.SZ,0.01772030996345908,-0.008198118931518061,0.00872325875,-0.00413323625,0.10467910500000001,-0.049598835,0.052339552500000004,-0.0247994175,0.25,0.0,291.635,1086.385,1378.02,1.0805526739260831,1.055062139112295
