,2022-11-01,2023-03-01,2023-05-01
0,0.006506891861552511,0.007557624728551815,-0.030908236243757603
1,-0.011024747262816437,0.01881640426146003,
2,-0.0013916078491837958,0.011806135968397857,
3,-0.02457871507494014,0.022357430758035868,
4,-0.018064827444721487,,
5,-0.02397329151079175,,
6,-0.02249234264413147,,
7,-0.023026890426804503,,
8,-0.018977253720002807,,
9,-0.03087468702969076,,
10,-0.015578688654220407,,
11,-0.010895506470371963,,
12,-0.009750272958807926,,
13,0.0032682474261007677,,
14,-0.0033825363734685254,,
15,0.01141792680393472,,
16,0.003932676499509569,,
17,-0.0013538918681192946,,
18,0.0003077630100642992,,
19,0.012841012900373538,,
20,0.010697689466700133,,
21,-0.001591987065294731,,
22,0.007999389852061611,,
23,-0.002277044329060729,,
24,-0.0074675604108804805,,
25,-0.02429624523945506,,
26,-0.01696220694381445,,
27,-0.02420877650277875,,
28,-0.017481239331244236,,
29,0.002382669920764524,,
30,-0.005223640037359534,,
31,0.0010427859191226574,,
32,-0.005574227768802675,,
33,-0.004045716357380602,,
34,-2.854287552711554e-05,,
35,0.011273231038389842,,
36,0.0026320208019265934,,
