,2014-01-01,2014-07-01
0,-0.00032326746145527885,0.0035038789124184344
1,0.020847629017709313,0.0063163758286868266
2,0.012711399274086155,0.00501722498701318
3,0.022843257559209462,0.019111731980003377
4,0.015238338656640371,
5,0.012007385335166099,
6,0.046445089392449734,
7,0.06042907590425006,
8,0.023326692681778116,
9,0.012869254077105374,
10,0.01229246323652533,
11,0.012736178023944777,
12,0.03722465874200376,
13,0.0246380163432538,
14,0.03483988073472277,
15,-0.058704738688475366,
16,-0.07996098134275442,
17,-0.032805797169183304,
18,-0.01561363930676185,
19,-0.030195604966332557,
20,-0.026070914289341385,
21,-0.013168559842156036,
