,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-10-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-03-01,2010-04-01,2010-06-01,2010-07-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-07-01,2011-08-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01
1,-0.07882534923609041,0.10493808472883237,-0.0025588952866781867,0.10478237117139932,-0.007964506084844114,0.027556202259825024,0.011828826138749804,,0.05891875383451595,0.02383213663330741,0.0660971189709798,-0.06387007107115528,-0.11542433118074547,-0.006163856149065339,0.003037133439380779,,0.008859677450058445,-3.697692360260518e-05,-0.021860545833745082,0.01246847233054904,0.020453089475336306,0.0015685611424478552,-0.02863720811742576,0.02825077795969899,,0.07182326559701124,-0.010152803312175163,,0.006018019634482119,,-0.041692173663075316,,0.05196063503452586,0.028082185543251814,0.004006271658090421,0.01232843128066019,,-0.005210772145136211,0.00343740179025831,0.015181503796902529,-0.0005872070711694377,0.039985556678639345,-0.006026189183712116,-0.0006673520494926422,,-0.04686849805602833,-0.017757739906905545,0.02554499774642549,-0.023985054308542253,-0.010821739361194016,0.0015691825595576248,-0.050676006951927643,-0.0349868491322467,-0.04348159303106347,-0.0026592090026245074,0.07209684836946995,0.05919767625387662,,-0.03579406390457596,0.05092275131070512,-0.0598968709818537
2,-0.09299689091782004,0.09188549060332662,-0.04197992670161921,0.08125606504525806,-0.018030953394219118,0.01600427228283774,0.009055814193940304,,0.06883368318510641,0.045888719057280536,0.04253855148481156,-0.07271817059361085,,-0.013439956528084274,0.0077995728671211295,,0.03604479534702065,0.02365372837962365,-0.03692102430291566,0.03732984062254241,0.03468710296227728,-0.0008765428170653955,-0.02940784317070566,0.030473289682203752,,,0.008375147210882172,,0.026963133790149474,,-0.06203973778709848,,0.09698152674709726,0.023949468132240526,-0.032577088463842996,-0.0008309887209545508,,0.021631908214738704,-0.0010760559102966916,-0.006282707849071922,-0.008791777020836111,0.05381120668213235,0.0045458084107345975,-0.014224067367481386,,,-0.06106627559839106,0.006315892616786112,-0.01787839818028969,0.024893067927544532,0.00691971325211993,-0.044272292640491706,-0.05031142562752011,-0.03812956849022142,0.022916004228266562,,0.042298833256728674,,-0.05240295549533691,0.0514599752438043,-0.08025685181011522
3,-0.0581569580824397,0.08465261839871618,0.005086150100320763,0.09780440586539463,-0.01614104169115338,0.03214165897318266,-0.007379539260550239,,0.07057041551814214,0.07628976421925726,0.11247864817398545,-0.08437202257584886,,-0.015392851607530122,0.003404322720897246,,0.01604287099897972,0.027324098629759597,-0.039623334000839394,0.03411159739665237,0.0240974801425331,0.011522768852724408,0.00453540891553228,0.023503290055130632,,,0.02971884956324855,,0.027179817867829748,,,,,0.019497901059436273,-0.030647032613073888,-0.019754319573729084,,0.023906791112815018,0.015830287112581498,-0.012705327717666304,-0.012872350937076948,0.05693717668525178,0.022748205864884685,-0.00935724436037777,,,,-0.0025663571497274162,-0.014730670852375116,0.035794667736200214,-0.010736036311963293,-0.05079167051532618,-0.0763072802774376,-0.01710622407356932,0.015878887115960083,,0.05628754873911124,,-0.04920564744254996,0.06321623555334721,
4,-0.045327931459565374,0.10215087171477433,-0.05405358420264883,0.10689673632783037,-0.022062292885304258,0.01881210958249424,-0.05713950122400968,,0.03194748969774297,0.016594985013087538,,,,-0.0029715181376657185,-0.02326005751527399,,-0.0017970193504939225,0.0423936514932266,-0.01863073277716576,-0.008990894316601716,0.03640475479881111,0.0012175004939236622,-0.041089404814377506,0.014317857142001733,,,0.01076697540559346,,0.05753497907653227,,,,,0.03838714800872012,-0.035239085996392694,0.00013944040152402692,,0.03916137298891087,-0.01338604221891293,-0.015285345404782102,-0.0046409726067500046,0.0823727371216747,0.023756405273009484,-0.0223556435544201,,,,0.035581726869195585,0.012413294087067595,0.04117523338943885,-0.017210988502696978,-0.04258748449630323,,-0.009488660792640546,0.004169219003128166,,0.0593857467147636,,-0.05381974178849225,0.07621183730058911,
5,-0.0654555069808811,0.09931573913828307,-0.06731820591037452,0.09226768065579893,-0.02353130200724074,0.03247428127232599,,,0.016085511071036063,0.08419666053561059,,,,0.026541304747913497,-0.022249001150451753,,-0.03495312070621148,0.07499188397846268,-0.002771130422564827,0.02703098213112276,0.025684896467446983,-0.0005908721906422443,-0.026415143267615626,0.0032642788418315583,,,0.02696353154363118,,0.07735728522971108,,,,,0.053947245188113335,-0.02753319698188128,-0.004878219189972555,,0.06693192754253596,-0.016242711176018165,-0.005230538796544781,-0.02558782510158686,,0.030842706986650814,-0.009339457333647161,,,,0.054603169802608154,0.012734024049884773,0.03864739954695784,-0.028269273193105793,-0.029384629141766982,,-0.0039478598830273715,-0.01921924654847551,,0.06319884161190448,,-0.028355044678557206,,
6,-0.027585144648178295,0.1547874175436188,-0.07142586451908994,0.08941754889572495,-0.04622257052044487,0.07165107026496287,,,0.07925740443555362,0.03811186402263411,,,,0.0354211571794667,-0.014960396647475227,,-0.04216155109635622,,-0.004176242614593262,0.02243594576848884,0.02098096170446828,0.015032179864168604,-0.033557484936967974,-0.006248140173149785,,,0.04542319248933291,,,,,,,0.026617442204675434,-0.009650762014055791,-0.006916589520183702,,,-0.03564125916876426,-0.00211314510047389,-0.028085503710697957,,0.03374424405234855,-0.009699647176919957,,,,,-0.002210445716336995,0.054972946190960936,-0.023245459554639414,-0.05295960966855562,,-0.013793432542580808,-0.02801394553233072,,0.07435921744027763,,-0.010634292958090263,,
7,-0.0339771279513581,,-0.02590021604933268,0.0815737157656109,-0.0345602195076109,,,,0.14151378091741673,0.0608694205519007,,,,0.049133250001929696,-0.02682423003944262,,-0.024212991711610066,,0.0005966318187917707,0.006753521364421644,0.037153616930894806,0.03300279563687214,-0.017529253338959716,-0.0013620661901190267,,,,,,,,,,0.02089683685563193,0.005451754163076972,0.03234773559555926,,,-0.041294144333111404,0.0048196763744945414,0.011159433724766465,,0.03725563756964689,-0.03105530340413276,,,,,-0.026291976507205828,,-0.009646705452006632,,,-0.02169472540170747,-0.04269629378797202,,,,0.010767119365076905,,
8,-0.06822188242590466,,-0.03972423601810404,0.06665575335879592,-0.005339402395619253,,,,0.17568532245173696,0.08495155411459931,,,,0.03563266998278092,-0.04533090203758544,,-0.020954893591677237,,-0.001953493916374338,0.050376658640704175,0.010796517553954832,,-0.011176367036216384,0.0011765762966637894,,,,,,,,,,-0.00227947251543803,0.023723802886810086,0.03514848002021953,,,-0.0333291288406925,0.017529598858924356,0.0064292664493814655,,0.022244085313873452,,,,,,-0.08201872244396835,,-0.02139341267594741,,,-0.008142774717937007,,,,,0.01502389544428473,,
9,-0.07945442640789868,,-0.06699286223029355,0.06717832183632999,-0.02697489986449142,,,,,0.08806265640987743,,,,0.045055944310955276,,,-0.02348060147797204,,-0.03549154684480049,,0.004952890888758832,,-0.06105650223539616,-0.005241783167572178,,,,,,,,,,0.01431848073408526,0.010001212274819649,,,,-0.039363371272984615,0.01519732303022625,0.043990214816115536,,0.03659820094529209,,,,,,,,-0.020578334879186144,,,-0.024481627010837448,,,,,0.03304724152297167,,
10,-0.1444284693026574,,-0.15116629361177636,0.06765002691674415,-0.052393040896599574,,,,,0.0897034150042555,,,,0.05549315944782407,,,-0.020233405770037294,,-0.03629954211991082,,-0.004433541314305511,,,-0.012009947157578083,,,,,,,,,,0.02268770985994628,0.017165127868107755,,,,-0.01741849002003315,0.0035908650119163,,,0.02761854657298235,,,,,,,,-0.013898418084714592,,,-0.03845412045911467,,,,,0.02502361964796007,,
