,2009-01-01,2009-03-01,2009-12-01,2010-01-01,2010-07-01,2010-08-01,2010-09-01,2010-12-01,2011-01-01,2011-04-01,2011-09-01,2011-10-01,2011-11-01,2012-02-01,2012-03-01,2012-04-01,2012-07-01,2012-10-01,2013-02-01,2013-09-01,2013-12-01
0,0.07997910591551705,0.032891491289514185,0.011674221538851004,-0.0037554049465868405,0.014512994453100891,-0.030609488108450877,-0.06277966933471602,-0.012851400805306223,-0.014460660218210908,-0.05084431019619784,0.13122243874618533,-0.06889829936361735,0.06432237423441434,-0.011544331915780193,0.09844152795794159,0.06612375865286724,-0.009279550062755382,0.0025970285790528624,0.015472556921795055,-0.01785550770233124,-0.012074457224176216
1,,0.02490675933166875,0.04164658784292041,0.04461407060754445,0.014596402185787671,-0.029699783036059246,,-0.0165511294984233,-0.021175897203985716,-0.046897495388112165,,0.024561538069344913,0.1306582594900747,-0.03874912963208077,,,-0.03783533215032575,0.026266185595785974,0.02136608099375792,-0.01753673010155743,-0.040402868289598715
2,,0.03669071266834534,,,0.029497297631848884,-0.0024544339190295528,,-0.028112421300508394,-0.049883992922457265,-0.07800846523371996,,-0.16105647417742208,,-0.07783876477247897,,,,0.011754492245417802,0.02396079230753645,-0.030032011639474998,
3,,0.05386727061103436,,,0.018376803097538474,0.0028475083393424416,,,,,,,,,,,,-0.012099357791173437,0.014476245810218336,,
4,,0.04735018738478569,,,0.012448193856310408,-0.02054724551695153,,,,,,,,,,,,0.003245187193552601,0.025003290946654655,,
5,,0.06262283052753181,,,-0.007650687780352772,-0.05548326117321101,,,,,,,,,,,,0.0297171972167265,0.03456984782229,,
6,,0.07567041083855042,,,-0.001582041454232186,,,,,,,,,,,,,,,,
7,,0.07991105454230141,,,-0.002998824121733301,,,,,,,,,,,,,,,,
8,,0.09713726184653071,,,-0.021288688429634772,,,,,,,,,,,,,,,,
9,,,,,-0.015239022954269543,,,,,,,,,,,,,,,,
10,,,,,-0.023448366747569505,,,,,,,,,,,,,,,,
11,,,,,-0.04359925337460696,,,,,,,,,,,,,,,,
