,2022-04-01,2022-05-01,2022-09-01,2023-02-01,2023-03-01
0,0.0027789812958962656,0.004430572738205019,0.00483268918076174,0.02079467189578299,-0.02426682152403803
1,0.0038106581680592555,-5.084726668558304e-05,0.018835402449038696,0.019343138210220268,-0.005574065045883536
2,0.024787187429412327,-0.005118679639161794,0.03014130378763369,0.015456333017661361,0.013543376223752901
3,0.015599302221480649,-0.011094248896555303,0.028993481584858927,0.03922134031245417,0.006326884151519163
4,-0.005400694708543874,-0.00963457134589385,0.04015191763406101,,0.005405023444619239
5,0.034838702202760086,-0.0046748515233230314,,,0.036039627134335284
6,0.021034296913835515,-0.005704100800399736,,,
7,-0.00525494404392024,-0.012436787063831556,,,
8,0.008953254321999005,-0.024480473575444694,,,
9,-0.008654010891445019,-0.024650746891816677,,,
10,-0.0010020956141199022,-0.04274376284709769,,,
11,-0.02130704815311013,-0.032797804863413216,,,
12,-0.03142074582359822,-0.014680089036144928,,,
13,-0.020743493489859155,-0.012870700150862557,,,
14,-0.01169707126699171,-0.01656265657690037,,,
15,-0.028669058575941264,-0.0048449502900873576,,,
16,-0.03872965624467195,-0.0025824730575005894,,,
17,-0.04324596468810604,0.005040257284658178,,,
18,-0.02611611980676365,0.012692223434814576,,,
19,-0.020358714450587456,0.021033363668649496,,,
20,-0.015199861274212356,0.019677066862170633,,,
21,0.0007134687437275744,-0.0113521779526784,,,
22,-0.0031742196218207397,-0.0028775886148335594,,,
23,-0.009727312102497887,-0.00981050118097615,,,
24,-0.016541371991011466,-0.0010142750062183126,,,
25,-0.014115753866875913,-0.005300667905262291,,,
26,-0.00984396202624449,0.006021637043766237,,,
27,-0.010844138729924069,0.010629451216189079,,,
28,-0.01809090378904088,0.004730197070791142,,,
29,-0.0295769705010116,0.01589549280057767,,,
30,-0.030226729470556712,0.01060904313105171,,,
31,-0.0478817670534073,0.010354939317384737,,,
32,-0.03655238702269248,-0.003990704144786417,,,
33,-0.018669523996555526,0.0006780207538361616,,,
34,-0.016919115829630904,0.0056163843045689,,,
35,-0.021408206628620974,-0.004247846361840946,,,
36,-0.009905659386412857,0.013942717914914748,,,
37,-0.007566142437027246,0.01592451607219969,,,
38,-2.045181166732135e-05,-0.001290970576573347,,,
39,0.007816098707973396,0.03378185947318757,,,
40,0.01630985566070553,0.03125010323617117,,,
41,0.014631699276575372,0.03681155327306218,,,
42,,0.04174557674762358,,,
43,,0.045160191846238096,,,
