,2015-01-01,2015-02-01,2015-06-01,2015-07-01,2015-08-01,2015-11-01,2015-12-01,2016-01-01,2016-04-01,2016-06-01,2016-07-01,2016-09-01,2016-10-01,2017-01-01,2017-02-01,2017-04-01,2017-07-01,2018-01-01,2018-03-01,2018-05-01,2018-07-01,2019-04-01,2019-10-01,2019-11-01,2020-03-01,2020-04-01,2020-08-01,2020-09-01,2021-02-01,2021-10-01,2021-11-01,2022-02-01,2022-03-01,2022-05-01,2022-06-01,2022-12-01,2023-02-01,2023-03-01,2023-04-01
0,0.0185496993112495,-0.051455725374533134,0.016797151670589816,-0.030245209819809826,0.0450539292413803,-0.012902355100013363,-0.010799618555774937,0.0032535310748887936,0.047438493067163634,0.02088353850914465,0.04133295700475825,0.003974796747016507,-0.012120808783514736,-0.007292811864699766,-0.02186736229942632,0.0015765221260720663,0.0023399670092463243,0.011709877046008899,0.03174588387656474,0.04392473746109382,0.01771829204445119,0.045899824277067625,0.0008275803437840512,-0.0011605251547891493,-0.023517331019492937,-0.0038245621792867,-0.05929055199409894,0.01892993570649426,-0.022158914798155016,-0.021847244112874364,0.023576622764749033,-0.004034525395251509,0.02544990144118664,0.05378183166678585,-0.011417529033106555,-0.02110332154382176,0.029966381180675683,0.11714871750222677,0.020331892723861766
1,0.013846170436091931,-0.020217449842254043,-0.03501146773004149,-0.12178624936395877,0.03298559399223222,-0.03144354887688694,-0.023989448590698514,0.017796226245180402,0.018140344770317007,0.013068821636208316,,-0.03265112144575788,-0.011478932403186759,-0.008000092727199482,0.00038728539195043155,0.009639064057128777,-0.02308432753013201,0.005427050058619098,0.013069108805921825,,0.036631183354783436,,0.005406315767165104,0.010001066239793355,-0.01365684994235794,0.0008367319576282617,-0.07066396763026495,0.07420459867995599,-0.03212679368047,-0.03420070707288975,0.042398371983125016,-0.017258681619181315,0.05207565077705889,,-0.016345337802484927,-0.03048988932724482,,,0.012674208351639515
2,0.007740617617718826,0.05266129665073649,-0.04229825572097856,,0.03278058751399282,-0.012544230944951051,-0.028923909989061025,0.02367903955971906,0.0355883451275405,0.023743867742850366,,,0.016209549363542353,0.00234801287325892,-0.004645264268502203,0.021826180788032334,-0.022142485299371684,-0.005340579292894665,-0.011087868999190453,,0.05170558519577306,,0.002341907585823977,0.009746257574500539,-0.002319639518882255,0.006003724937213267,,,-0.02332797035976364,,,-0.011743310746404001,,,-0.01804650333436164,-0.023191615332014956,,,0.00356836272638289
3,-0.004071131605985601,0.11181821666146585,0.0028514056742954264,,0.040113622433423535,-0.013471867027517348,-0.033318757079869865,0.023823248445492662,0.04803769680406633,0.018316330577996587,,,0.01749186740892328,-0.002724698287471128,-0.015515567240960149,0.002151192878576791,-0.014856073910928913,-0.02029855414868109,-0.010684980194572535,,0.060109082843557315,,0.008399889269862681,0.012045127819089396,0.009615729724005373,-0.0013312262139835995,,,0.00024781643950044785,,,0.007649832433256454,,,-0.030494895073537198,-0.021622919178060904,,,-0.00037933104728377076
4,-0.005289837884927984,,0.03528546924506304,,0.03608903629805038,-0.0492715653564999,0.011478739210573963,0.03831916951209746,0.05232052598025572,0.028934127185226866,,,0.016547797323356983,-0.004045511745111918,-0.012267181374437275,-0.009561921134670581,-0.01680777907716635,-0.021621368032446853,-0.018866902540742858,,0.10361636557754639,,0.01597466272730952,0.0026229391784603484,0.018325127379537065,0.007873601790021972,,,-0.009799505091447447,,,-0.005019192060129907,,,-0.03398846728449878,-0.034343079360953474,,,-0.030057298490434425
5,-0.0161281115977272,,-0.0052992256396819926,,0.016701237516027145,,-0.014005690923762804,,0.05883006665108148,0.04737054777041344,,,0.01690421521636787,0.0015439757185606862,-0.028416187576635554,-0.01906699219793284,0.009263476229824041,-0.018985778511726892,-0.00697111468129652,,,,-0.0014150920833996272,-0.012793413439652235,0.017722728396029064,0.013091474319832958,,,-0.007158510046868627,,,0.002211177920711127,,,-0.02756506475547782,-0.04492518869149052,,,-0.016924758700098297
6,-0.02856156232031548,,0.01754962611519506,,0.02330441051025578,,-0.008166029071067338,,0.00909910519828383,,,,0.03303594169814961,0.008007525821457806,-0.024982201657320235,-0.015448636248646008,0.005626224557298887,-0.007399163016593269,-0.017070551280493174,,,,0.0028074588044703086,-0.005593015606613405,0.01927660489913241,0.013831983080189542,,,0.018910245328891184,,,-0.010230277744157745,,,-0.03206020194015813,,,,-0.017096267435318613
7,-0.030863373573832398,,0.02355066035774689,,0.05004381878682862,,-0.008904146126724188,,0.0021861017882960354,,,,0.031054434091983607,0.0003365251341069797,-0.005441638228323997,-0.0329623989602178,0.018050946939993873,-0.015454481649755714,-0.017546080834522693,,,,0.004251802534283811,-0.012833548591709043,0.025997807600572687,0.0008490743485487784,,,0.01697918089733852,,,0.018149763229295846,,,-0.023818643152677677,,,,-0.00274456525708483
8,0.001564863611613232,,0.048297215164828655,,0.0810594833321665,,0.007205058428982891,,-0.02341520704380562,,,,0.039341061502340624,-0.004661150130021774,-0.010773437941950181,-0.02785489338796132,0.01480243571647133,-0.011246682388418527,0.009084186407870565,,,,0.008596623188061092,-0.020497874343636924,-0.005017545474600427,0.002632276740405143,,,-0.002177424182527643,,,0.02527066441950987,,,-0.04345891410487268,,,,-0.018601611152188113
9,-0.027980439168938,,0.014564172095363093,,0.11437636903492532,,0.012790305787042211,,-0.014482679945377885,,,,,-0.004006967532135475,-0.026630258379961358,-0.038673252119523105,0.004848396426709423,-0.00011086908938962026,0.020731346027771824,,,,0.012922609457635348,,0.03915181981353322,-0.003399053590217055,,,0.020761898843365545,,,0.03217215252178962,,,,,,,-0.05635280739932519
