,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-02-01,2020-03-01,2020-04-01,2020-06-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-06-01
0,-0.04432188712860663,-0.05799764489975667,0.019131348416637328,-0.1189596574462688,0.025446492495703632,0.010453685740067331,0.02961253072108927,-0.19699774779690837,0.06454319052467783,0.01340250544027044,-0.03661223490585064,-0.024949446167604084,-0.10474609336437357,-0.009415781458430306,-0.012169714596154901,-0.003585573728809077,-0.007601966708514096,-0.12505237524740442,-0.062113531398634514,-0.019057752722268784,0.03926604237482084,0.008577543229720486,0.10473748721483811,-0.0018654315993695825,-0.01106319636690084,0.02659655651078796,-0.023753115474298148,0.009810279888110562,-0.035716748532844955,0.02464640990206446,-0.06199394383750745,-0.02908765836856375,-0.009877804990435113,-0.0074884435725284595,0.030911965991441415,-0.024713391931612844,-0.004113040956667979,-0.008141987957576369,-0.060835660524110324,-0.026193398512380617,-0.07380321410408897,-0.011164670762060513,0.15817424028543758,0.016813880362448685,-0.01362147265903435,-0.0049116087619407445,-0.015303562034664542,-0.03391869441923312,-0.014924271497314234
1,-0.06572777676277242,-0.09010705125060403,0.03189503795862192,,0.0332558588607651,-0.05812180713686477,0.10170560220998048,,-0.019679765641469782,0.03379574050767764,-0.0968619179915553,-0.054684108483732174,-0.028960982441370575,-0.0182861188566536,-0.02954722766443163,0.041377401852027984,-0.02481448055850355,-0.12159113774923558,,-0.0208606794986953,-0.025873270994853148,-0.013658390244602914,,-0.012218361869423933,-0.03762309951260984,0.031157420583959095,0.0006793484004626871,-0.019047140807525453,-0.02203940462476961,0.028527154879129824,-0.054219618441061934,-0.06895119142982353,0.012092051400598769,-0.012798916591362598,0.043478866464325305,-0.07640379252600196,0.011102619776609424,-0.02624771838934903,,,,0.004079608697716841,0.13030960059419971,0.015119338054510267,0.17992313250014136,0.04066149127560603,-0.01413029410077471,-0.09818722913903888,-0.012153222521066764
2,-0.09424741051706276,-0.09918269694151882,0.03103888263820831,,0.026858779341400574,,,,0.0836431889952991,0.029966938860107595,-0.10228369032777351,-0.053976928997614415,-0.0849480793333095,-0.06475263231387912,-0.019308402441039596,0.03155506964746779,-0.05040316734825612,-0.1290094863797635,,-0.05041448156870321,-0.018662250074531372,-0.014553408675510582,,0.009817516959546246,-0.050635686510164424,0.03659906229907017,0.11877484748620537,-0.034374452099215747,-0.0338317603754536,0.005687816384261857,-0.06472698576544578,-0.05893765226587,0.032525449168016696,0.03422969916268522,0.0630723893557148,,-0.009087194844201174,0.004860395359505443,,,,0.007377514167813626,0.12642398727971949,0.02668723345901869,,0.03859306420220188,0.005588238302386528,-0.12830228971564006,0.007900948757414095
3,-0.2460664493460294,-0.08272064093813303,0.012704309471558428,,0.02085074007790011,,,,,0.02093230140414759,-0.12460173059462631,-0.043769897941197344,-0.10789924766182679,,-0.024071343805694534,0.013121035964509087,-0.059487665570537196,,,,0.005766174515957789,0.023033708909241835,,0.01672169491565212,-0.021029543416562324,0.10972970107440627,,-0.03694811733552483,-0.04183115596604198,0.04474008552723496,-0.06460179977849667,0.056695888860549326,0.06533513447736716,-0.002793668248091276,0.07577662483930414,,-0.013366426318242919,0.030341871736618398,,,,0.03186917464488914,0.19203285152208582,-0.0075932718450228975,,-0.03661322819830648,-0.0007610414705281343,,0.03372404861869516
4,,-0.07696522752842849,0.025892714854858112,,0.044453508087041516,,,,,-0.022102715904542047,-0.04421502457918258,-0.03056783453288947,-0.1353159393955643,,-0.03792879778720304,0.0067420362661435584,0.019729704183032215,,,,-0.017215782242104793,-0.015535782353572003,,0.022593567599731634,-0.016632476683669406,,,-0.050546910815117085,-0.036680727914071176,,-0.09096341692793986,0.02307247443403382,0.034529311962956166,-0.01744290457240353,,,0.013482324405713397,0.01346392584493028,,,,0.11100866956333688,0.1538299180941587,-0.004824765883257864,,-0.015276259612808651,-0.0030037224134965568,,
5,,-0.05950023554026196,0.027836120588442204,,0.01654367127093359,,,,,0.023019050941617825,-0.03442564200892484,-0.030775591069786,-0.13622861029120248,,-0.03418141502603045,-0.050457759595118334,-0.10769195417608701,,,,-0.010525553153909906,-0.02247626565000782,,0.04203473279821168,-0.017107423261108534,,,-0.03460990183850088,-0.007496553411990348,,,0.005709920807569935,0.08301632880142229,-0.038075467737248715,,,0.03996054688436834,0.027506016406198874,,,,,0.16797290550461774,-0.020557333670481626,,0.036821616462047846,0.008217680163876584,,
6,,-0.2655614980270715,0.03824798726513956,,0.0321440530578051,,,,,0.03358371197702181,-0.06213717791451945,-0.03156227842982773,-0.19912047714154024,,-0.05302924052336844,,-0.04687356292384681,,,,0.016385133764917348,0.055245984493159095,,0.06940255823294206,-0.04534072611008705,,,-0.10414043035045095,-0.014960084211592284,,,0.04023615807199599,,-0.0872994129511643,,,,0.03754276665020706,,,,,0.12392512149821144,-0.00203386533774097,,-0.014295506763859489,0.01900761992355582,,
7,,,0.033016446976999236,,0.05404422757714111,,,,,0.04980195220396688,-0.17136169962368442,-0.031777378462485295,,,-0.0498604866617085,,-0.12490462307125028,,,,-0.013969214487026649,,,,-0.038028812369030995,,,,0.023358736009063352,,,0.05757385946719373,,,,,,0.02016868341073197,,,,,0.13397325849743547,0.0023933870880119557,,-0.002950326204323339,0.040225941010176625,,
8,,,0.019668294849950696,,0.04847785211591871,,,,,0.1305981518283189,,-0.03535397058763268,,,-0.06556741591298598,,0.04052950278954359,,,,-0.04093009903516487,,,,0.029921532573422338,,,,-0.008631615869644615,,,0.06905236224790601,,,,,,-0.01868143219766738,,,,,0.1344922971566762,-0.029638581765986327,,0.009098837632588008,0.2575464256873756,,
9,,,-0.04754660113423448,,0.024104262611052807,,,,,,,-0.09548773871869565,,,-0.07292336738839689,,-0.06534248049796632,,,,0.011812736837869098,,,,0.003883752508368532,,,,0.023433766865554984,,,0.04554840127244009,,,,,,0.012072308509964547,,,,,0.14891695017887008,-0.013755536777581678,,-0.004440159380124875,,,
10,,,-0.01876096540239791,,0.10326791148148207,,,,,,,,,,-0.05340183498147921,,-0.11149565772937065,,,,-0.0030333686896024115,,,,0.04173695464655014,,,,0.018255658917637585,,,0.05596852217151316,,,,,,-0.10920344561795803,,,,,0.1600993859729638,-0.02482451010406006,,0.047398279334589066,,,
