,name,yieldRate,excessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,slope,intercept,std
0,2017-01-01,-0.01478396,0.0008624600000000007,1,0,368.43,197.85,566.28,0.5637905871856889,-1.3702597517940818,0.03313753842900365
1,2017-02-01,-0.06181697,0.00020312000000000108,1,0,372.63,183.88,556.51,2.620211324993669,-17.005081139913802,0.04126204329214232
2,2017-03-01,-0.0014118,0.00118664,0,0,366.47,186.00,552.47,1.7800476279953656,-10.556808492095087,0.02766308799792626
3,2017-04-01,-0.0230383,-0.019838380000000003,1,0,364.32,3718.55,4082.87,0.7766168571556018,-2.9148142673104083,0.019810998718517523
4,2017-07-01,0.11253738,0.0026766500000000026,2,1,368.47,3819.68,4188.15,0.24028902125905405,1.2296625366262397,0.021087162690865222
5,2017-08-01,0.00765166,0.0004142099999999999,1,0,369.90,186.54,556.44,0.749604948641128,-2.7047891823149257,0.022634250304478798
6,2017-09-01,0.06724774,-0.029932459999999994,3,2,726.41,7423.45,8149.86,0.8715939673899573,-3.657322739034342,0.025370239232697343
7,2017-10-01,-0.04089154,-0.0006909999999999972,1,0,360.76,3692.72,4053.48,0.4227857322790831,-0.08219842149190448,0.015278762363103092
8,2017-11-01,-0.00141826,0.0010447800000000001,0,0,360.08,194.51,554.59,0.3838075069387391,0.23135447905470968,0.02035503986081167
9,2017-12-01,-0.14548373,0.016983250000000005,3,2,701.00,3796.36,4497.36,1.1600588760954165,-5.988605407711722,0.03836767483043069
10,2018-01-01,-0.01798026,0.09482112000000001,6,5,1142.36,11345.95,12488.31,0.7900762702729214,-2.932761696900691,0.026340092876656562
11,2018-02-01,-0.04291541,0.10423389000000001,4,3,743.22,7305.84,8049.06,0.7966572998754144,-3.002873489122674,0.018742302132503136
12,2018-03-01,-0.00140361,0.00276975,0,0,362.81,180.44,543.25,0.722168096032977,-2.401233475518424,0.017287531447967172
13,2018-04-01,0.08394726,0.01053997999999999,2,1,763.64,3703.50,4467.14,0.755543735096099,-2.6612791751251166,0.019855371597305833
14,2018-05-01,-0.00140945,0.00128261,0,0,364.26,184.60,548.86,0.9212389722083113,-3.9698534067398543,0.02466583070186017
15,2018-06-01,0.02729847,0.0007099799999999989,1,0,369.61,190.30,559.91,0.8285194890759526,-3.2316109830611133,0.025516308277255505
16,2018-07-01,-0.08411354,0.03191996,9,8,1127.80,11429.08,12556.88,0.9137791396852963,-3.8745445759483133,0.02644597166594659
17,2018-08-01,-0.00141404,0.00189479,0,0,364.30,190.12,554.42,0.9372745195289539,-4.044833450904454,0.018800668172267675
18,2018-09-01,-0.00141532,0.0017386,0,0,364.84,190.69,555.53,1.0076358285983966,-4.623365285026772,0.030480574607904393
19,2018-10-01,-0.0238442,-0.046225470000000005,3,2,375.29,3776.31,4151.60,1.046224925443143,-4.928078066712352,0.02567637026591257
20,2018-11-01,0.09764519,0.04162520000000001,2,1,369.24,3844.16,4213.40,0.727348193385827,-2.4090059031303106,0.02210228246898552
21,2018-12-01,-0.02373765,-0.01959106,4,3,726.73,7464.86,8191.59,0.9452490273507694,-4.115370347303521,0.024024940072930448
22,2019-01-01,-0.00141228,0.00096849,0,0,364.14,186.77,550.91,0.80866571828909,-3.025628277845449,0.019404077248568984
23,2019-02-01,-0.08138945,-0.01717777000000001,3,2,374.74,4146.50,4521.24,0.8013030244159618,-2.9735918809555715,0.02071184630105498
24,2019-03-01,0.02005079,0.02906783,4,3,748.27,7619.10,8367.37,0.9114668655481093,-3.869230332819471,0.020900606912350017
25,2019-04-01,0.10373666,0.0065881999999999885,4,3,765.02,3962.98,4728.00,1.0318328795059837,-4.849980687601779,0.013965354987923404
26,2019-05-01,0.03184688,0.0020374899999999994,1,0,370.41,188.67,559.08,1.1129541649603505,-5.492966741322498,0.010872754686352805
27,2019-06-01,-0.00141165,0.0023466900000000002,0,0,364.83,188.10,552.93,1.1628062082527182,-5.887074830803002,0.01223287120700441
28,2019-07-01,-0.00142141,2.9310000000000056e-05,0,0,365.05,194.97,560.02,0.9849740500727648,-4.453854441144999,0.011334788926945217
29,2019-08-01,0.04374308,0.002318789999999994,2,1,374.34,286.87,661.21,0.8278001723762163,-3.1916361972413227,0.013059159905048622
30,2019-09-01,0.01247262,0.001046140000000001,1,0,370.33,193.92,564.25,0.9947374021653701,-4.510591898164094,0.013239777709324572
31,2019-10-01,0.10139106,-0.01915124,3,2,739.56,7627.34,8366.90,0.9705584052022935,-4.308628053362241,0.011476797860264893
32,2019-11-01,-0.00141855,0.00149524,0,0,364.21,193.87,558.08,0.8663872065796241,-3.4749194572871676,0.010213763936807984
33,2019-12-01,-0.00141782,0.00288784,0,0,363.47,194.58,558.05,0.8369278039031915,-3.242973352172436,0.013856080857382144
34,2020-01-01,-0.00141571,0.0033104100000000006,0,0,363.87,193.25,557.12,0.9185665954153989,-3.913348961533875,0.014087970198306956
35,2020-03-01,0.02924868,0.04056378,3,2,751.81,3827.76,4579.57,1.0730531692522354,-5.2222261592463575,0.019632469674173165
36,2020-04-01,-0.0014234,0.00229456,0,0,364.06,199.25,563.31,0.9019323324463315,-3.8510238856095067,0.014767257881298252
37,2020-05-01,-0.00141706,0.00186536,0,0,365.96,191.92,557.88,1.4456709647166965,-8.17345001057723,0.01868882736236967
38,2020-06-01,-0.0118391,-0.03987783,1,0,363.14,3718.73,4081.87,0.6854058083727477,-2.112007430080843,0.0209083989698664
39,2020-08-01,-0.02690488,-0.007777719999999998,1,0,359.99,3690.95,4050.94,-0.36017410344489775,6.247709274152932,0.033135375576034964
