,2012-11-01,2012-12-01,2013-01-01,2013-06-01,2013-09-01,2014-02-01,2014-04-01,2014-08-01
0,-0.023724671982305878,0.014375551714170598,0.000718387132626841,-0.019241640645261793,0.0012009450361230023,-0.03156547773423535,0.04905077513650369,-0.01788161221421314
1,-0.06169851867931664,0.008708520296492495,0.039375352940166364,-0.07580062191737902,0.020542659763615134,-0.011988770767992207,,-0.014283362105674602
2,,-0.006358772174541727,,,0.018650457517781494,-0.015628456629586562,,-0.013338123831163617
3,,0.013021408647626131,,,0.03925131425536588,-0.0061298302291823425,,-0.00070633634366013
4,,0.019041738524415486,,,,0.004967818832370963,,-0.004213878779042002
5,,0.025325536840366425,,,,0.025606125328340834,,-0.014440604174125404
6,,0.05803779093549011,,,,0.03639753044077132,,-0.01551541880990559
7,,0.020707354309150716,,,,0.020456428375197788,,-0.02556261535872384
8,,0.016315466439765558,,,,0.02061641087133026,,
9,,0.026693902650078982,,,,-0.019948600551097595,,
10,,0.01243665549061479,,,,-0.014238556216452647,,
11,,0.007976101139150593,,,,-0.0035449395871638423,,
12,,-0.0020679589670082876,,,,-0.003458430902798959,,
13,,0.008625948141096629,,,,-0.0017361585923607592,,
14,,-0.03434280415151214,,,,-0.00038328194416870076,,
15,,-0.03338012433269277,,,,-0.0054666015368987075,,
16,,-0.051163405560311404,,,,-0.0025968131821083595,,
17,,-0.11064230076642101,,,,-0.0019552299437815,,
18,,,,,,-0.012215759135862925,,
19,,,,,,0.010019960741975087,,
20,,,,,,0.02423164462951366,,
21,,,,,,0.042673596564739125,,
