,2022-07-01,2023-01-01,2023-02-01,2023-03-01,2023-05-01
0,0.01708556047380938,-0.049284417417493565,0.009715519332358369,0.009973242578572794,0.04224374181126889
1,-0.0035620248318997128,,-0.007768292582994718,0.024305934373535454,0.05437441727367265
2,-0.04020647564850677,,-0.0025178008126669482,0.0345579364955646,
3,-0.035084868697770055,,-0.0260377398983902,,
4,-0.005698803678599873,,-0.014629925213562878,,
5,0.01983647966043023,,-0.026129898600055768,,
6,0.014250559955383046,,-0.022037338686361707,,
7,0.029364802072752383,,-0.016826450706270535,,
8,0.011718082572569344,,-0.019758003196741925,,
9,0.059714284890465485,,-0.02793876586231292,,
10,0.04049837274039625,,-0.020481186423674913,,
11,-0.0330975619659899,,-0.006315161774873346,,
12,-0.017517025053274793,,0.008248184394981095,,
13,0.017839314956479058,,-0.00309884273930372,,
14,0.03551217581523147,,0.02534410604812365,,
15,0.03445577560404356,,0.022097298209682315,,
16,-0.010002781402540961,,0.03924134664881329,,
17,0.0018232270059437283,,,,
18,-0.009158772866879161,,,,
19,-0.04837326056029667,,,,
20,-0.11814917804038583,,,,
