,2022-04-01,2022-05-01,2022-09-01,2023-02-01,2023-03-01,2023-05-01
0,0.0027789812958962656,0.004430572738205019,0.00483268918076174,0.02079467189578299,-0.02426682152403803,-0.0014821827737674376
1,0.0038106581680592555,-5.084726668558304e-05,0.018835402449038696,0.019343138210220268,-0.005574065045883536,0.007222861227990762
2,0.024787187429412327,-0.005118679639161794,0.03014130378763369,0.015456333017661361,0.013543376223752901,0.0037631841768570595
3,0.015599302221480649,-0.011094248896555303,0.028993481584858927,0.03922134031245417,0.006326884151519163,0.012836759552375732
4,-0.005400694708543874,-0.00963457134589385,0.04015191763406101,,0.005405023444619239,-0.005302374804466048
5,0.034838702202760086,-0.0046748515233230314,,,0.036039627134335284,0.009424133921432265
6,0.021034296913835515,-0.005704100800399736,,,,0.006826333835474596
7,-0.00525494404392024,-0.012436787063831556,,,,0.03128644138371106
8,0.008953254321999005,-0.024480473575444694,,,,0.02174628631686648
9,-0.008654010891445019,-0.024650746891816677,,,,0.022883897534184072
10,-0.0010020956141199022,-0.04274376284709769,,,,0.023259038338176552
11,-0.02130704815311013,-0.032797804863413216,,,,0.02774049639205156
12,-0.03142074582359822,-0.014680089036144928,,,,0.028536601361259795
13,-0.020743493489859155,-0.012870700150862557,,,,0.03418688535453551
14,-0.01169707126699171,-0.01656265657690037,,,,0.037137129609884134
15,-0.028669058575941264,-0.0048449502900873576,,,,
16,-0.03872965624467195,-0.0025824730575005894,,,,
17,-0.04324596468810604,0.005040257284658178,,,,
18,-0.02611611980676365,0.012692223434814576,,,,
19,-0.020358714450587456,0.021033363668649496,,,,
20,-0.015199861274212356,0.019677066862170633,,,,
