,2015-07-01,2016-11-01,2017-03-01,2017-06-01,2017-07-01,2017-09-01,2017-10-01,2017-12-01,2018-02-01,2018-03-01,2018-07-01,2018-08-01,2019-02-01,2019-03-01,2019-08-01,2019-09-01,2020-05-01,2021-04-01,2021-05-01,2021-10-01,2022-05-01,2022-09-01,2022-11-01,2023-04-01,2023-05-01
0,-0.05761747120123917,-0.026970347295110386,-0.05097701299884383,-0.03671427332548083,0.004977990253971942,0.0017440225336420312,-0.017835728120367378,-0.01712766148825917,-0.028963469056796587,-0.022401188784904047,0.0018312077120996584,-0.015957291547751384,0.03227839824351819,-0.008596727568367157,0.03610782430439441,0.013479156166614104,-0.047332231129111335,0.039561943401708044,0.047415498461339745,0.026462534517063485,-0.05328799647705207,0.02915375526941677,-0.025624022225604115,0.017392189149174953,0.020993949398511624
1,-0.14552003132083358,-0.034309675830821895,-0.024789706358371966,,-0.012239758792606192,-0.016173010801525667,0.015112713588046667,0.007026715609852463,-0.041267541877410885,-0.002200747048469509,-0.009786204928478703,-0.04903481913441421,0.053475660322104934,0.012744751709792279,0.0344261651685458,0.006710288569141909,,,,0.07374971800902763,,0.06268193026875402,-0.03128041245172142,0.027551289102291654,-0.0001916886560620057
2,-0.2211844524831834,-0.018929600797217283,-0.09147262539875634,,-0.0025865433246625713,-0.017757257441705754,-0.0011043871904785618,-0.08377629656732966,-0.005697413533581219,0.010890411140578315,-0.002634316051338015,,,0.008773219671703636,0.013812658512024623,0.029788373308726968,,,,,,0.016888004055024552,-0.060548777462598125,0.014095068851512571,0.005626672997250282
3,,-0.003275761042633274,,,-0.01880147143700439,-0.028787043429516324,-0.01585784130083212,-0.12079331144386307,-0.02960595172265812,-0.0035783437038050536,-0.011549400811734056,,,0.006666992178730791,0.021613270109036797,0.03680466222705592,,,,,,0.016733688567164506,-0.06911865277897622,0.025542338231829276,-0.021120478949735677
4,,0.0012970453953027317,,,-0.018939128569060326,-0.02541410262171384,-0.05110724785942544,,-0.022241413754994,-0.024847890244483306,0.0033546929186472063,,,0.013496316899499483,0.009084314459868903,,,,,,,0.006815341521669183,-0.07232540817071609,0.02674840095959785,-0.05479605339994098
5,,-0.005921004056720136,,,-0.0019949681316484558,-0.01980799794438637,-0.0743343228998894,,0.007332932090173383,-0.017838004663727425,0.002778305082311583,,,-0.031527759339085915,-0.01728815664130101,,,,,,,0.02865737047712802,-0.07079386123732156,0.03431818462279013,
6,,-0.001196367846924673,,,0.01185469918912263,-0.015694917966950772,,,-0.03632431150192739,-0.03125167123663397,-0.04675795861076315,,,-0.011424623569076697,-0.0181272599028377,,,,,,,0.04665266560046444,-0.04420007061428244,0.033905445110053,
7,,0.034210738274201624,,,-0.005175416715943015,-0.01343833123322824,,,-0.04542854245784289,-0.006382356005231404,,,,-0.020610257203148574,0.01277766990204654,,,,,,,0.048242713520044944,0.0337037632914825,0.023299078393617,
8,,0.027569417483175984,,,0.035683382381162865,-0.005925337910683837,,,-0.03242556908235805,-0.02598206817702753,,,,-0.015516777510426127,0.039555398287773436,,,,,,,0.0402705705023747,0.022538025780580284,0.008000928766425885,
9,,0.04447619036926609,,,0.044072329321168446,-0.010790511519095602,,,-0.0516501601162771,0.010813586363934036,,,,-0.02155631215414111,0.05636186372921115,,,,,,,-0.009791432494970387,0.03717769611944366,0.016301881725987122,
10,,0.06150064596703375,,,,-0.02239712123301807,,,-0.034127683747837256,0.0161244251198851,,,,-0.033020519479459054,,,,,,,,0.03357034772459411,0.053330585443529976,0.0022453639739316023,
11,,0.03742752659731896,,,,-0.048303882379264085,,,-0.020433788565386912,0.039598932916589114,,,,-0.052660872639754164,,,,,,,,0.05046266771381358,0.03927360646370026,0.013685454658113883,
12,,0.04151199991848187,,,,,,,-0.035576761813077784,0.024004869279000474,,,,,,,,,,,,0.06106047710150353,0.04235113356513853,0.003324221632794333,
13,,0.03470890911410707,,,,,,,-0.024404995514173855,0.050485598947260346,,,,,,,,,,,,0.09394974567726244,0.02202804924467916,0.01992789071858192,
14,,0.02443864311396604,,,,,,,0.01323387619183869,,,,,,,,,,,,,,0.04659911912515469,0.007469135578164532,
15,,0.01092844812573146,,,,,,,0.06284845929590421,,,,,,,,,,,,,,0.013875681016229713,0.014885341506423067,
16,,0.06684072815103104,,,,,,,,,,,,,,,,,,,,,-0.008749239987527524,0.007826375907090344,
17,,,,,,,,,,,,,,,,,,,,,,,,0.013112569594794343,
18,,,,,,,,,,,,,,,,,,,,,,,,0.02155252695344989,
19,,,,,,,,,,,,,,,,,,,,,,,,0.01945901347209167,
