,tf,tt,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,1,1,0.49221756077134915,0.002026380540723898,0.0020910900699930403,0.00016802794358756923,0.025093080839916466,0.0020163353230508306,0.0020910900699930403,0.00016802794358756923,0.0,0.0,833.4313995941435,2326.349633085347,3159.7810326794906,140.66583981333935,7.2326802372589025
1,1,2,0.032390232626285397,0.0005072745318934188,0.0018189328722228114,8.444991941547488e-05,0.021827194466673732,0.0010133990329856985,0.003637865744445623,0.00016889983883094977,0.0,0.0,831.9751290659381,2341.325832159087,3173.3009612250253,37.00753313380507,12.493512199351802
2,1,3,0.010826446709946525,0.00022846010695446744,0.0017973126756791857,5.708871894962814e-05,0.021567752108150227,0.0006850646273955377,0.005391938027037558,0.0001712661568488844,0.0,0.0,832.8479526538108,2344.4571941671356,3177.305146820946,27.059747844982308,17.983041277639128
3,1,4,0.005089267654849056,0.0001299839176601809,0.0013575768041600403,4.331784876065818e-05,0.016290921649920482,0.000519814185127898,0.005430307216640161,0.0001732713950426327,0.0,0.0,832.9641458957691,2343.784053263633,3176.7481991594022,22.066140491696338,17.665690919726885
4,1,5,0.002984731809406142,8.324987681259184e-05,0.0010819596137816281,3.4682911668977185e-05,0.012983515365379535,0.0004161949400277263,0.005409798068908139,0.000173414558344886,0.0,0.0,830.6172655630156,2357.2693255883446,3187.8865911513612,20.227199753486907,17.60151796934451
5,1,6,0.0025267261224257587,5.714654757841161e-05,0.0011812976332098255,2.8571039482308354e-05,0.014175571598517903,0.00034285247378770036,0.007087785799258952,0.00017142623689385018,0.0,0.0,830.0171241148159,2368.765985616153,3198.783109730969,24.704571764802296,23.10290931860177
6,1,7,0.0019931630428375946,4.211582916282602e-05,0.001119344221466718,2.4566375693908646e-05,0.013432130657600619,0.0002947965083269038,0.007835409550267026,0.00017196462985736056,0.0,0.0,826.4249834444014,2393.772017289035,3220.1970007334367,26.390013434265136,25.408540017441936
7,1,8,0.0014813866449488995,3.203098038786362e-05,0.0009543743169492525,2.1353351444480062e-05,0.011452491803391026,0.0002562402173337607,0.00763499453559402,0.0001708268115558405,0.0,0.0,825.9397020942316,2395.7857177548008,3221.7254198490323,25.728475547621528,24.86438977065064
8,1,9,0.0016071730666293203,2.4099783635971554e-05,0.0011886084237200082,1.8074515427402134e-05,0.014263301084640094,0.00021689418512882565,0.010697475813480073,0.0001626706388466193,0.0,0.0,817.1276398899255,2461.803066391398,3278.930706281323,35.57844467423412,35.084490768248905
9,1,10,0.0009457354901187092,1.9866535485672838e-05,0.0007791219267094863,1.6555282805334828e-05,0.009349463120513834,0.000198663393664018,0.007791219267094861,0.00016555282805334835,0.0,0.0,815.6645280557427,2457.8910129609953,3273.555541016738,24.988410679049984,24.703753030573502
10,1,11,0.0004667206203509549,1.7548434352963727e-05,0.0004247760942739731,1.6086000140033528e-05,0.005097313131287678,0.00019303200168040236,0.004672537037013704,0.0001769460015403688,0.0,0.0,807.1849360011411,2493.6660046833636,3300.8509406845055,14.581177081721476,14.477287664706706
11,1,12,0.0007640400541662355,1.4758882939390378e-05,0.0007640400541662289,1.4758882939387317e-05,0.009168480649994745,0.0001771065952726478,0.009168480649994745,0.0001771065952726478,0.0,0.0,812.5391287428923,2483.6550571333414,3296.194185876234,28.336494876305785,28.336494876303764
12,2,1,0.6604998909635575,0.0019895458270604246,0.0038236615046720766,0.00016492857612394638,0.04588393805606492,0.001979142913487357,0.0038236615046720766,0.00016492857612394638,0.0,0.0,854.5916262600848,2211.3905596072505,3065.9821858673345,187.6814025812434,13.166097792714703
13,2,2,0.03773226513117043,0.0005025321095968162,0.0018062323335860913,8.365501172890617e-05,0.021674788003033095,0.001003860140746874,0.0036124646671721826,0.00016731002345781235,0.0,0.0,854.6036997069921,2211.099442242038,3065.703141949031,42.28367821572397,12.171836749839034
14,2,3,0.009897859045404718,0.0002248981284644716,0.0012838370161355449,5.619727864814258e-05,0.015406044193626537,0.0006743673437777111,0.0038515110484066343,0.00016859183594442777,0.0,0.0,851.8661935430537,2228.5723049435587,3080.4384984866133,24.49860495167772,12.72222468962438
15,2,4,0.0035903536486049403,0.00012602031527982188,0.000749730156252175,4.1996504905828656e-05,0.0089967618750261,0.0005039580588699438,0.0029989206250087,0.00016798601962331462,0.0,0.0,849.1885081446794,2239.7046344947184,3088.8931426393983,15.827478001499008,9.919694072226745
16,2,5,0.0030455248381640846,7.965490044745589e-05,0.0010488859041450536,3.318497099915728e-05,0.012586630849740644,0.00039821965198988743,0.0052444295207252686,0.0001659248549957864,0.0,0.0,843.6248865620971,2282.9217116285636,3126.5465981906605,20.899721997059654,17.279381502439442
17,2,6,0.0013920503734739847,5.5983312219939256e-05,0.0005826766039828147,2.7989378677768022e-05,0.00699211924779378,0.0003358725441332162,0.0034960596238968896,0.0001679362720666081,0.0,0.0,837.7445351955892,2309.7602553867405,3147.5047905823294,13.751893722197746,11.51411775475116
18,2,7,0.0010043887984825088,4.1822186926547104e-05,0.0005268204543129151,2.4395043086314995e-05,0.006321845451754979,0.00029274051703577996,0.0036877431801904045,0.00017076530160420496,0.0,0.0,837.6277363670446,2312.0518304394736,3149.679566806519,13.09080527056441,11.772011067250174
19,2,8,-0.0007441784552243655,3.3087761804583375e-05,-0.0005232909836658572,2.20578242617304e-05,-0.006279491803990287,0.00026469389114076484,-0.004186327869326858,0.0001764625940938432,0.0,0.0,834.6670128908352,2293.889974749613,3128.5569876404484,-12.50709468647206,-13.192850779001956
20,2,9,-0.0005047433547961957,2.6111033676619176e-05,-0.00039287169547844294,1.9582915497480495e-05,-0.004714460345741318,0.0002349949859697659,-0.003535845259305988,0.00017624623947732447,0.0,0.0,836.4860685164159,2286.0757467593244,3122.5618152757406,-10.742668963562135,-11.14925295268903
21,2,10,-0.0006833090292802349,2.1459921870580333e-05,-0.0005761633967056485,1.7883088688120126e-05,-0.006913960760467781,0.00021459706425744156,-0.005761633967056485,0.00017883088688120128,0.0,0.0,832.7840689063876,2297.3543587378863,3130.1384276442736,-17.68553570059066,-17.895174629470986
22,2,11,-0.000554536716901602,1.791284635802765e-05,-0.0005109462541865036,1.6420040870174146e-05,-0.006131355050238043,0.0001970404904420897,-0.00562040879605154,0.0001806204495719156,0.0,0.0,831.067176328073,2307.902170578897,3138.9693469069703,-17.24539259029039,-17.334440802602266
23,2,12,-0.00016616503185183285,1.5066798332516999e-05,-0.0001661650318518362,1.5066798332515945e-05,-0.0019939803822220346,0.00018080157999019134,-0.0019939803822220346,0.00018080157999019134,0.0,0.0,830.3996879122567,2328.3953100047315,3158.794997916989,-5.932610447395834,-5.932610447396002
