,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,000921.SZ,0.005021986859850502,0.0012779013820498858,0.0036909337301587308,0.0009496470634920642,0.04429120476190477,0.011395764761904771,0.03321840357142858,0.008546823571428578,0.7857142857142857,0.0,293.535,2222.3414285714284,2515.8764285714283,0.5028576547585948,0.4936604615784024
1,002490.SZ,-0.0018125831312113786,-0.0004605238229612822,-0.0014153564197530862,-0.00038872802469135906,-0.016984277037037036,-0.004664736296296309,-0.012738207777777776,-0.0034985522222222318,0.8888888888888888,0.0,348.0622222222222,2344.17,2692.2322222222224,-0.07893959306396733,-0.0825445466326962
2,002672.SZ,0.016329577947464098,0.008025456404406661,0.012175379365079364,0.005983037619047619,0.14610455238095238,0.07179645142857143,0.10957841428571428,0.05384733857142857,1.1428571428571428,0.2857142857142857,340.3114285714286,2845.8957142857143,3186.207142857143,0.8350475160886652,0.8350206634267963
3,002594.SZ,0.01352396327564516,-2.4204719396084262e-05,0.010045305555555556,-2.093333333333483e-05,0.12054366666666666,-0.0002512000000000179,0.09040775,-0.00018840000000001347,0.625,0.0,155.31,3164.9475,3320.2574999999997,2.3200048720470283,2.299588833949687
4,000063.SZ,0.0059149324639591,-0.00026945518877806164,0.004415713333333334,-0.0002051879444444443,0.052988560000000004,-0.0024622553333333314,0.039741420000000006,-0.0018466914999999986,1.1,0.2,339.734,2464.9395,2804.6735,1.0058153444279645,1.0002627957106387
5,000039.SZ,0.05095410721303262,0.024346195692333074,0.03784443844444445,0.018166397111111107,0.45413326133333337,0.2179967653333333,0.34059994600000004,0.16349757399999998,1.0,0.2,437.5559999999999,2389.016,2826.572,2.225604900697874,2.2157484964365532
6,000756.SZ,0.0008448321912078417,-0.0018171069450956061,0.000615306993464052,-0.0013659064052287564,0.007383683921568625,-0.016390876862745075,0.005537762941176468,-0.012293157647058808,1.0,0.11764705882352941,309.38235294117646,2196.4882352941177,2505.870588235294,0.15083864074401368,0.14653609065146925
7,000002.SZ,0.0003661717622700696,-0.0010731384770653236,0.0002685861111111113,-0.0008056742592592573,0.003223033333333336,-0.009668091111111088,0.0024172750000000017,-0.007251068333333316,0.6666666666666666,0.0,366.0516666666667,766.87,1132.9216666666666,0.12146664065997101,0.11868928109421296
8,000157.SZ,0.0038583449091638636,-0.0047804463091855745,0.002841311010101011,-0.0036009284848484858,0.034095732121212134,-0.04321114181818183,0.0255717990909091,-0.03240835636363637,1.0,0.0,362.6809090909091,2461.675454545454,2824.3563636363633,0.3087789709937179,0.3024155122252662
9,002202.SZ,0.005522094306561151,0.010147325045185075,0.004113630598290598,0.007567115811965813,0.04936356717948717,0.09080538974358976,0.03702267538461538,0.06810404230769232,1.3076923076923077,0.3076923076923077,350.9692307692308,2206.191538461539,2557.160769230769,0.27689873668951875,0.2762659933290517
10,000898.SZ,0.0018497513644974068,-0.0017770752708448796,0.001364634640522876,-0.0013340594117647003,0.016375615686274513,-0.016008712941176402,0.012281711764705884,-0.012006534705882303,1.0,0.058823529411764705,247.62352941176468,3201.7335294117647,3449.3570588235293,0.5615200852463982,0.5526062183434227
11,000488.SZ,0.0019270512832706616,0.00022774785797667374,0.001431026862745098,0.0001650247712418339,0.017172322352941177,0.001980297254902007,0.012879241764705882,0.0014852229411765052,1.0,0.058823529411764705,324.82235294117646,2342.0570588235296,2666.879411764706,0.2372561206543694,0.23539133787094751
12,000513.SZ,-0.0027016322421565377,0.002220087330826459,-0.0020354795555555557,0.001657318222222222,-0.024425754666666667,0.019887818666666664,-0.018319316000000002,0.014915863999999997,1.2,0.4,296.142,3258.8559999999998,3554.9980000000005,-0.2731504309799392,-0.2748997799765831
13,000338.SZ,-0.008456425209564496,-0.0012071515923796174,-0.0063528549494949495,-0.0009078780808080786,-0.0762342593939394,-0.010894536969696944,-0.05717569454545454,-0.008170902727272708,1.0,0.0,211.53000000000003,3102.598181818182,3314.1281818181815,-1.59790692790208,-1.6026756109451128
14,002703.SZ,0.009448686724707167,-0.008587879644815666,0.007070997777777778,-0.0064506444444444415,0.08485197333333333,-0.0774077333333333,0.06363898,-0.05805579999999998,1.25,0.375,392.145,2668.20625,3060.35125,1.6264823944229807,1.619903331198381
