,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-05-01,2021-07-01,2021-08-01,2021-11-01,2022-01-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01
0,0.03242449912539036,-0.006882651624735114,0.0007742944987452205,0.04224461729350448,0.04634651175773774,-0.056847292474378364,-0.024458228086266187,-0.02978507040623235,-0.012272378780618598,0.007516403300534158,-0.0050478523533112885,-0.04800508830135142,-0.03659477561583868,-0.06237605872425456,-0.02049822085020936,-0.028197084084605972,-0.011988963989252421,0.0070354209575738125,0.004190938629190066,-0.027748235315552927,0.021420832451028993,-0.014082698034011076,-0.076421405969744,-0.010984775750963571,0.03721067397808486,-0.007786864224758494,-0.0022117990796982623,-0.003926832539737246,0.0074719169571708655,-0.00235776023970935,-0.009463554033630195,0.0032341985896315872,0.011592898006035246,0.022591943998516273,0.016590183000230962,0.0030365774813261304,-0.05172614052807545,0.014620861562697929,0.010672045641518801,-0.013727592735585326,0.0006123085802129946,-0.010298423225420406,-0.04470623234026766,-0.003960068681220008,0.02067500368811359
1,0.05540285077864637,0.01205787398292979,-0.0303831885730399,,0.06784405720784337,,-0.030184142120770252,-0.04789310075389919,-0.020682627992237634,0.03584049052156235,0.008377883849645995,,-0.03868702544127278,-0.05375001735347085,0.016232018008651705,-0.03657828832965415,0.002140839381755466,0.008275430067870904,-0.01122461326677704,-0.03184856590941387,-0.0019068739131979928,-0.011964520841885151,,-0.01017792600256806,0.03404966957013178,-0.01044192512888098,-0.009416812912192207,0.010881493202217207,0.0038696496582713014,-3.470612637268555e-05,0.003785317637581276,0.013497381802495045,,,-0.0007013204976910048,0.0036652020626286586,,0.02219373530028035,-0.0003754912052631454,-0.014378642244373907,0.004265381314008998,-0.003168441077368911,,-0.010028105558002154,-0.05208850634130524
2,,0.010493273538360715,-0.0009719787978302863,,,,-0.08724065323654773,-0.04875355126492331,-0.011351787896625498,,0.035632702277843764,,,-0.07214027891315422,0.007941293562272023,-0.03168666448975532,0.013147488476413893,-0.013104563768052913,-0.019648708659706804,-0.044076804890788246,-0.0044499504126918055,-0.005569818122346248,,-0.003887476478811047,0.03850843795802705,-0.02098008643588889,-0.010181937566681953,0.015021028720614282,-0.12731379439086088,0.007155239864508833,-0.009216797765313589,0.018285488473491762,,,0.03042846679679656,-0.010093009117929652,,,0.004118873835984749,-0.007857625972564453,0.01581309084531579,0.01634893917203395,,-0.004430862090540888,
3,,0.02842862203533003,-8.834114338451826e-05,,,,,-0.047084692322655775,-0.017504437720322397,,0.046834068505549276,,,,0.057932040771802695,-0.02386535009626023,0.02632803602759992,-0.0174120641479818,-0.033711773310044935,,0.008684844155052662,0.0046061788146578575,,0.009529489833235427,0.050067343228078154,0.008594930457255234,-0.005955545077071744,0.018937422862507214,,0.006593234407988979,-0.0048441342139162735,,,,,-0.025454285751874917,,,-0.027177076440422887,-0.027789692874549132,,0.03271580033538024,,0.014588160942372141,
4,,,-0.031684504326982665,,,,,-0.03178830345835992,0.0006782099979922851,,0.0018557431736228036,,,,,-0.034693537283346565,,0.05504084268210896,-0.03273856949328424,,-0.024271404106869232,0.007344873999787782,,0.008121083662647521,,0.006953738286280542,-0.004250888090507998,0.018827311319403073,,0.020480455301236433,-0.005164053779726174,,,,,,,,,,,,,0.017820157174327278,
5,,,-0.009561772683612912,,,,,-0.015364944326045071,0.017499512957970254,,0.033087259763810994,,,,,-0.030646218262664116,,,-0.034789677399605035,,0.016835513289438664,-0.016535953415634852,,0.018990578424145088,,-0.003419383773251905,0.000619404257545253,0.0257033141323324,,-0.010246452456140642,-0.00027229943014150937,,,,,,,,,,,,,0.02261643708086769,
6,,,-0.010926916198749304,,,,,-0.04257466335227211,0.015220046459275327,,0.05249508251031476,,,,,-0.029161961363436406,,,-0.00688661763488696,,0.011909681157621144,-0.014507167210632832,,0.033303860882968994,,0.02212466513046074,0.020752892812069823,,,0.010663967784978468,-0.02659064795880617,,,,,,,,,,,,,0.02263357546314504,
7,,,-0.002815300871507498,,,,,-0.01825475673235366,0.01161784177969527,,0.04766996134888357,,,,,-0.012076946166573732,,,-0.039977807546891286,,0.011649938508360158,-0.03237904004126002,,,,0.02909126705120202,0.021641539701608425,,,0.004639438909162408,-0.018227646827456145,,,,,,,,,,,,,0.02992053316754295,
8,,,-0.049645259551566956,,,,,-0.02554850893094196,0.027153503573769333,,-0.024866927945265793,,,,,-0.03644386548272971,,,,,0.004360981353764615,,,,,0.021122990408604103,0.014898874025543907,,,-0.0004146727337799305,0.0038387132056291184,,,,,,,,,,,,,,
9,,,-0.026179168418692167,,,,,-0.051829506849820906,,,-0.019248645141371146,,,,,-0.015286186185974548,,,,,-0.0056140940543130124,,,,,0.04580345637668648,0.003718522400124047,,,0.008432203538221716,-0.005490111309766732,,,,,,,,,,,,,,
