,2014-12-01,2015-02-01,2015-03-01,2015-04-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-10-01,2016-11-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-10-01,2017-12-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-05-01,2020-06-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-10-01,2022-11-01,2023-01-01,2023-02-01,2023-03-01,2023-05-01,2023-06-01
0,-0.026402121194573747,0.012032443339728083,0.10929198348821334,-0.03446634739054333,-0.047996482845131805,0.07847834688947275,0.042992020085834914,-0.023974288591832482,-0.024194825826805655,0.01966426809680455,-0.017566005720836553,0.02245628858744686,-0.02829227025602732,-0.024376687169029854,0.021440539948519355,-0.0047928553888296754,0.02699214272209005,-0.00806412698277481,-0.034151970502265705,0.029426713132099325,-0.0041783427835118125,0.02304007242265671,-0.020672266899000702,-0.004229440861676093,-0.00639600749124658,0.006271540043290003,0.0034811740954254766,-0.05638210818851955,0.03574303362199109,0.01935040162770063,0.04280734857024049,0.010651473399739597,-0.013642675325387765,-0.05196067153578743,0.00805439688130738,0.023017007985114413,0.012133186058161272,-0.0186618833492882,0.0237492151491423,-0.015114352931410835,-0.006570342034587728,-0.03107910147811599,0.02138576842487172,-0.0003568813698393569,-0.009611613471539188,-0.06292847373027843,0.07013158981399625,-0.03596390517279646,-0.01671091873261954,-0.004500610881021716,-0.07878063146597825,-0.005914619050487957,-0.005855352414132486,-0.005150217080284847,0.004289769770099872,-0.024968344324384217,-0.032664476160451095,-0.013119145519059794,-0.03076343810970905,-0.002760489080401385,-0.0031507708639126886,-0.004362890398186464,0.048440506451194965,0.017627283380574843,-0.022675074456868227,-0.045803508613271315,0.0010229273659057014,0.013020380447172686,-0.04001313529847128,0.0402226607248799,0.005186251782238416,0.028783070515014497,0.040215222199983414,-0.009813615809178389,-0.002593945026108546,0.018994344692183807,0.011505501767612003,-0.012303237133317824,0.02349808462263575,-0.010984061230999487,-0.011184370212558026,0.001971959002026402
1,-0.023358120440850838,-0.0004872310093608778,,-0.01849969794847084,-0.12783966179129536,0.06451358430362486,0.042513727734614815,-0.019024850368929425,0.029449418963055196,0.02403404306015522,0.011002316672379941,-0.0029893640939986366,-0.07894362561526103,-0.037655749639962766,0.04067796988489114,-0.021557024556979165,-0.0036851562555944017,-0.030353678825950192,-0.014330818942250856,0.0017314851423830824,0.05767587660376572,0.037727548628596175,-0.019110059050085226,-0.023877671752916108,0.006982657665037806,0.017828631264706463,0.018389479527203267,,0.027719476257139372,0.03031558716576299,0.028090601312163344,0.006359537436309459,-0.023597224691884078,-0.03523865618074984,0.02812852791957221,0.044472344467293645,0.0097926325751021,-0.01886940566625328,-0.023362486990400555,-0.06711002650044584,0.01688414067432653,,0.0001397221167029894,-0.0025158933317730447,0.010663049860974744,,,-0.046988546760746264,-0.0646429489387792,-0.015501617587964311,,0.0108832531220322,-0.027185476149911736,0.014251112729550153,-0.03688870272967648,-0.02543837498919066,-0.04984025394856051,0.035786050438551875,-0.017170760514045647,-0.02690456087347015,-0.0023045065838347423,-0.001222995847042857,,0.023486000154280706,-0.040984824974530154,,0.01755885051801087,0.01782302569908878,,-0.016705268572172027,-0.03569407540411895,0.060134827446176375,0.05585603510717618,-0.02142728655331627,-0.010716418170418462,0.013258390961140731,0.008765637964156747,-0.020696935993125942,0.029938498085296306,-0.012988262144829843,-0.06323670721811103,-0.022153555604840003
2,-0.01139743833518736,-0.009994824667471258,,-0.06907632432999833,-0.1869092532841874,0.10374073756931512,0.03310576746833127,-0.0411755367090364,-0.0291508251536583,-0.008175129020108973,0.028150368391438696,-0.008057535515509917,,-0.03806707626112704,0.04013338708283687,-0.02057491844987247,0.010220681183473301,-0.011643187548687317,-0.0034800871500626496,-0.0017653721799879563,,-0.01240755235166402,-0.013443234533213166,-0.0035243342588882065,0.035523208357862934,0.02141953727175494,0.02679419387265458,,0.028726095539990434,0.009246635433153738,0.04850828563422582,-0.0006306605292656364,-0.025938294380015492,0.0006452180131819585,-0.010776240624001066,,-0.023535132330528175,-0.03259051777209754,-0.03454358689381154,,0.02848653020564873,,0.018019099934941885,0.010715362574647447,0.00747235583372971,,,-0.057247841542282796,-0.0681291018240251,0.010774828699721795,,-0.004800432204491667,-0.03760173648263043,0.002478636372866605,,-0.043558809247917774,,0.013492023039444412,-0.05314957526071895,-0.03603262211502534,-0.0012996564203233696,-0.015155382870090522,,0.008898082705226962,,,0.0012305717158884732,0.005908792140705277,,-0.017416518802194858,-0.009187256830384016,,,-0.007365770286996254,-0.013964943231707938,0.04183941453573453,0.00034146440762805597,-0.0371053100629577,0.06508421049145036,-0.017674065107633474,,-0.0006323676893631447
3,0.04945265749851746,-0.04517120036214728,,-0.03514545302490513,,0.18281189559751665,-0.00932352004193171,-0.04331024235447056,-0.05298625328098305,-0.045998003586547154,0.023792078344097578,0.01936451914835091,,-0.05794671495438841,0.035209111348065925,-0.01849807481205401,0.009388146193108238,-0.036356474492404534,0.009169553487987647,0.013492571960549427,,0.001605622969223841,0.0032741124484676476,-0.030407992461914723,-0.006078058240110984,0.045971231194590345,0.01628263509681016,,-0.018625705514893245,0.04081766723237257,,0.02758208950103258,,-0.0032765589050907096,0.009799974784691745,,-0.08527503302764039,-0.02315056422520434,-0.04652535405543379,,0.0222089949074622,,-0.0015131776899726113,-0.024869031709279232,-0.002263810965289076,,,-0.051164442340381644,,0.012876405576845995,,0.0013346986834767982,-0.04249288714988264,0.02182860746373949,,,,-0.004005943601754325,,-0.0515161218507163,0.0208748966984853,-0.0014645662445429142,,0.021797871839840166,,,-0.0008645508248765754,0.014919293253005561,,-0.0072842421514620614,-0.02331501254975621,,,-0.023789845373879626,-0.02942417500018668,0.041561064525611646,0.006587693001039119,,,-0.015704894226688637,,0.002109272959492481
4,0.07431750055431241,-0.06651113716155155,,-0.035168978668323136,,,-0.050807335961270406,-0.07030876067158309,,-0.056020888651354794,0.038230560953428916,0.06151463127105239,,-0.02662901382050431,0.03970449793012776,-0.0013574538179836892,0.021686284210352902,-0.030349508750952214,-0.10661633486546673,0.017287735673220395,,-0.023718590117549843,0.015601525636627978,-0.024789531962996048,-0.011666955904454657,0.05175589194096464,-0.011303315768045774,,0.023296400016733762,0.03393910430180247,,0.007657294216922406,,0.02435593360765953,-0.0045025079686076275,,,-0.028875639926739805,,,0.026825023388771907,,0.023727780875099747,,-0.008866721584640996,,,-0.07271084028191677,,0.014885637384873585,,0.008976319250185716,-0.021844825714741,0.026459701545065828,,,,0.006479076105126769,,,-0.0046587077733462046,-0.014812743427410763,,0.012859109708793781,,,-0.02213780772183571,0.0039053955927501605,,-0.05280118809934642,-0.013541267628110476,,,-0.005673000223942237,,0.057050239839830874,0.011018903533901447,,,-0.011214395241556208,,-0.0025090454908964777
5,,,,-0.021705448015146622,,,,-0.05125814214719493,,-0.11415065108984945,0.03936274680098284,,,0.006114571570013716,0.08308799892036323,0.030131327570482203,0.032522989267339764,-0.018605931651293872,,0.04526265813021957,,-0.02762082766686058,0.001742515623498031,-0.01606262136110459,-0.044389284672613716,0.08489693443244395,0.014744385352280176,,0.04766157463278024,0.031002663459165358,,0.015545283399490906,,0.059954285753190506,-0.03546805709405554,,,-0.05181546919824154,,,0.04594897410335452,,,,-0.015435356166587672,,,,,0.030112405790068575,,0.01854813090756191,-0.018503522361327684,0.00398330165774996,,,,0.029204102266507492,,,0.0014847074756685341,-0.02940007052790425,,0.016539576016554314,,,-0.01830065537821013,0.0008474197829633212,,,0.0023825548738303226,,,-0.019186544734532074,,0.051243270131133334,0.033064241023623486,,,-0.020055518527557936,,-0.011555021796130438
6,,,,-0.012744454549503903,,,,-0.03651737050776105,,,0.01821693869455243,,,-0.014037357074594636,,0.007926732724491181,,-0.03163482378831084,,0.05360741736572994,,-0.000698328493706768,0.005602268920657405,0.021653849518813217,-0.047385027889350395,,0.000738972046126829,,,0.02796147713512598,,0.00018921025471740904,,0.043973857362951785,-0.03211325763262307,,,,,,,,,,-0.0056234861672337655,,,,,-0.0055739741199727355,,0.007108865156416844,-0.022907782645263275,0.05983481315658912,,,,0.011273969437184839,,,0.007850167524980023,,,0.020208439979071402,,,-0.003166536382844365,-0.0028795298895614163,,,-0.019707099734490918,,,0.013523251809700598,,0.02814312276553549,0.07326676343361171,,,-0.012162581126782257,,0.0011113107052787008
7,,,,0.011457478756004669,,,,-0.07175451382438014,,,0.01456120354688395,,,-0.010149773828154407,,-0.0073643786147905566,,-0.06557869515097736,,,,-0.016471109361503977,-0.009427660147399264,0.03494566033343327,,,0.028485257904310224,,,0.034467283800006854,,0.013740038416546252,,0.04281372797758132,-0.034157339313898305,,,,,,,,,,0.007686268294915449,,,,,0.004251577214977376,,0.012316130689980165,-0.010913848798133508,,,,,0.013001727294393861,,,0.017431254960576403,,,0.020889925056401415,,,0.01365278771819689,0.036474788817491,,,0.015386630585294658,,,0.0020812428162602092,,0.02560902088671163,,,,-0.00257766363466283,,-0.0058232645463529575
8,,,,-0.002456249257194454,,,,,,,-0.001817906663977964,,,-0.018460816295918336,,-0.016332434078908165,,,,,,-0.02341848204471564,-0.04116089317173044,0.027634418557445528,,,0.03917223126210967,,,0.0248978047541919,,0.0135922973085576,,0.02856566396200777,-0.035722018373728126,,,,,,,,,,0.0053086847372749435,,,,,0.03213368801079941,,0.008836314419642388,-0.02810658197154048,,,,,0.00816387554820408,,,-0.004636143859596098,,,0.044776159004988214,,,0.019127199158164965,0.042415134566085255,,,0.018571582129516817,,,-0.002341463826358803,,0.05051534113893913,,,,-0.006227776409483798,,0.02082332556758093
9,,,,-0.014087392488909778,,,,,,,0.0628414060590291,,,-0.009822162326581951,,-0.020742902774758765,,,,,,-0.03250193548718272,-0.043804101771364845,0.0084134822952322,,,0.01729658127809186,,,0.019332438782800665,,0.02478834031191557,,0.08108563106248812,-0.03099462572667333,,,,,,,,,,0.005157811995466249,,,,,0.014913563340470226,,0.006640996331132243,-0.038594003651867936,,,,,0.018542445911130967,,,-0.0008681657438815993,,,,,,0.04109245970853581,,,,0.010273758424794277,,,-0.00847810723256126,,0.0905763233792371,,,,-0.0020774806374501686,,0.012555496017898182
10,,,,0.007798397559843906,,,,,,,,,,-0.027275717802104804,,-0.013549313303621524,,,,,,-0.03471675700744803,-0.05020319366295878,-0.007147093512046787,,,0.02297574999773433,,,0.007860460124003321,,0.02245844457955104,,,0.00979411100209937,,,,,,,,,,0.036224040433407295,,,,,0.036382033464948504,,0.02749058527568704,0.026504819228881038,,,,,0.00746578500712447,,,-0.006650896443667786,,,,,,,,,,0.03565702930705439,,,0.025489032966106828,,,,,,0.005069287555676372,,0.009013812135779231
11,,,,0.041353533389011154,,,,,,,,,,-0.02923381045518436,,0.005325161168583836,,,,,,-0.032745990192955876,,-0.004957802645601195,,,0.04053830239434397,,,-0.00022229241328952654,,0.03252186886933517,,,-0.011352061194714658,,,,,,,,,,,,,,,,,-0.026216311353491006,0.02140545551811801,,,,,0.03177704533676362,,,0.006905448168590178,,,,,,,,,,0.03198268388342462,,,0.010348983332036266,,,,,,-0.0003884678225074545,,-0.0218908523160406
