,2019-12-01,2020-03-01,2020-04-01,2020-11-01,2021-01-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-11-01,2022-01-01,2022-02-01,2022-07-01,2023-02-01,2023-05-01
0,-0.017372151437251127,-0.03710423320274936,-0.06164743560332997,0.020478846797328032,0.02136899751477761,0.02266498882844381,0.0381709484489281,0.009985656055733982,-0.012672331474246956,-0.019480826766640424,0.017288627956753233,0.00232918238618951,0.019988986822163435,-0.01714845240749774,0.0073140417447687955
1,-0.004691551278742656,-0.05231584607389683,,0.0443927756360849,0.0042175057458316845,,,-0.025980762376891176,-0.026257181309192745,-0.02121689404890903,0.012047278315558074,0.005459006803308686,0.0038287543705208815,-0.025602019631947193,0.01257854890753074
2,-0.01491526125078857,-0.054314362211912215,,,-0.007156462518838169,,,,-0.0540269819859065,9.170661679869241e-05,-0.016905800093273804,-0.00023509195829918283,0.02503350456223652,,0.0242816214734638
3,-0.028402360075865385,,,,-0.02656775044619175,,,,,0.004221616748132151,-0.00034907394941030567,-0.011305540869625208,0.03665854618130715,,0.021345778542288807
4,,,,,-0.06083441904007858,,,,,-0.005621139662631336,-0.02045164065755678,-0.022412717446413044,,,0.03373900882640002
5,,,,,,,,,,0.006075036773940834,,,,,
6,,,,,,,,,,-0.002510552692853274,,,,,
7,,,,,,,,,,0.006083802558796814,,,,,
8,,,,,,,,,,0.010679805063083636,,,,,
9,,,,,,,,,,-0.007882189516678517,,,,,
10,,,,,,,,,,0.015791991502416503,,,,,
11,,,,,,,,,,-0.0007859912585355122,,,,,
12,,,,,,,,,,0.0030032292708448427,,,,,
13,,,,,,,,,,0.02461524255463199,,,,,
