,2012-06-01,2012-07-01,2013-02-01,2013-03-01,2013-05-01,2014-02-01
0,-0.014897305973980313,-0.0711984134368191,-0.0017663319615159878,0.0420817580689303,-0.026703570521496856,0.0013282993690900413
1,0.0010448770702891075,,-0.010282945403017107,0.038276971704274104,-0.08272452039034017,-0.012109751848329658
2,-0.016218793526312503,,-0.02452962772623013,0.05205354262500836,,-0.006559493765764174
3,-0.005423154776244221,,-0.0019035441136330267,0.06876715121869423,,0.0422505711521127
4,-0.004434762840854534,,0.01045027905139051,,,
5,0.0022288364811795525,,0.0033960801165267007,,,
6,-0.003586231469895562,,-0.010843161366698384,,,
7,0.023426811399130276,,-0.008219328246956481,,,
8,0.04053900649443065,,-0.02128490073225464,,,
9,,,-0.021748388401112706,,,
10,,,-0.030882895369549024,,,
11,,,0.0069163874058646435,,,
12,,,0.00500865939004802,,,
13,,,-0.004221540841150562,,,
14,,,0.04704974500764347,,,
15,,,0.0429380279379421,,,
16,,,0.023298603598195244,,,
17,,,0.04294244853005402,,,
18,,,0.03743775158051377,,,
19,,,0.05291423308613208,,,
20,,,0.0721580538151343,,,
