,2015-01-01,2015-03-01,2015-04-01,2015-08-01,2015-09-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-10-01,2016-11-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-02-01,2018-03-01,2018-04-01,2018-07-01,2018-08-01,2018-09-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-06-01,2019-11-01,2019-12-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-08-01,2020-10-01,2020-12-01,2021-01-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-08-01,2022-10-01,2023-03-01,2023-04-01
0,-0.005884550417843748,0.048096887030311564,-0.047015094944978575,-0.013180926743299404,0.10820919518381755,-0.03552270297310911,0.042330895029072835,-0.05021594867777143,-0.016461380271582282,0.03532852493246841,0.04189785226454035,-0.0175060135772922,0.01659399123316646,-0.0511124304563495,-0.011163242402687512,-0.034532005997842674,0.03490956077971452,-8.395401101801703e-05,-0.05280831828771726,-0.03261672495262147,0.034065909827952545,-0.026896286935082614,-0.0005425081330159287,0.04330388349691372,0.010474317901543184,-0.002939910025604675,0.04199014294856784,0.023023063330115612,-0.029769916663777263,-0.018995143738461895,-0.01089072126272006,0.004185154213228959,-0.03560091861981274,0.008243718127935118,0.037412654107027876,-0.02504581084808466,0.01421899963298423,-0.03856574698545745,0.0016779103296462594,-0.00030944760698220497,-0.028830242201528522,-0.036095761604750365,0.05794846517237939,-0.0059575513254768175,-0.027945606806752288,-0.050708746348118616,-0.030174251961377685,0.02722348313363865,-0.016843817690320506,-0.014021560123579802,0.031285315852469964,0.018438669770177718,0.028791499423040268,0.036180732863897655,-0.0014342667280962118,0.030085328473297146,0.03155900625176189,0.022309897183947047,0.09394979879769672,0.021493717667556922,-0.03527315103780504,-0.01687046693844696,0.008062393825279512,0.015566120078394974,0.015393663401878754,-0.002959318622954843,0.10910436716844352,-0.014036405788176776
1,-0.024701997283305577,,-0.03887655752675645,-0.10064159351320368,,-0.039733493538194775,0.10621361312203348,-0.02788124790298427,0.036510050523944404,0.028742598720941093,0.031598737441462355,-0.08657008241336595,-0.010437559411762776,-0.040077739316687566,0.006605956290905546,-0.03287581592904543,0.04029164097461502,0.03675229454569062,-0.03214739483449147,-0.03793849676976446,,-0.003444879609749485,-0.017795528387876125,0.015654298791864196,-0.009348945840184308,0.030015745210765665,-0.013766322774511064,0.020741432032278073,-0.042088885337502546,0.007431089850085559,0.011096087404842692,-0.008975296844130565,,0.000603832355230427,-0.01042064022543343,0.001923359607220121,0.019495195182434033,,0.020520304592049232,-0.011566683555336021,,-0.025862078830911628,,-0.016329743201410007,-0.020345213110284366,,-0.038847539698716016,0.01555707706938314,-0.024527550929331454,0.007879440944635885,0.04024784787296021,0.019609047519967504,,,-0.011124932138850685,-0.03748215683640188,0.055659557225193,0.072656746844586,0.12561665184656778,-0.05975883565424667,0.012369636486086133,0.023376137685820808,0.0010437601572015343,0.01994056314660142,0.022721478066544343,0.024026456814982833,,-0.015029212422951854
2,-0.03656895644626612,,-0.062442817781403814,,,-0.03527913853972997,,-0.056135234908254755,0.04192470549572169,0.03467618535899453,0.032233289383553076,,-0.012891986080065865,-0.018040211838608267,0.018522138937076438,-0.03136068644774248,0.05666516191418758,0.0654551335149729,-0.09539791428435596,-0.053084331059539025,,0.0115700977674984,-0.00810620850602728,0.004080430925246681,-0.016049807470932542,0.013579890308698772,0.0034214511749950383,-0.00760304873997919,,0.018730993961556752,-0.014682013238609848,-0.0009528793488637888,,0.02644077478948681,-0.03551747583253295,0.02318603816271514,0.031341635677007096,,,-0.008657529862575453,,-0.010193500033756298,,-0.024272353339365615,-0.027769919458918046,,,0.03635561993113123,-0.032404480551522674,0.0040100596940304545,0.06975107601159403,-0.01117652915515066,,,0.07449179693761776,-0.06353020173690815,0.020579050489974104,,0.1355592337799969,-0.014708213140994353,0.036293459509290305,0.014310772315150544,-0.009660544220430944,0.01410396437085204,-0.004906041635805103,-0.009445753623669173,,0.010815335504721357
3,-0.017684006725960266,,-0.10516279312757026,,,-0.046180803228798695,,-0.051333610187511786,0.06354143536078238,0.014422262066401181,0.04793962722119072,,-0.009461084079575743,-0.02712622094750161,-0.005223543446198686,-0.04874855658550392,0.047693682012044825,,,-0.043398511083102775,,-0.023073680165037302,-0.0243211366183691,0.0004768268022616873,-0.01923693740714394,-0.0015873919251356838,0.005961147282479207,0.019207036536329714,,0.006053493194750015,-0.04048864391195206,-0.012798591887470234,,0.004609770668557278,-0.08149558828527681,0.010765530239294385,3.93304838122166e-05,,,-0.0046509867471841715,,-0.026984236839445064,,,-0.00858928525285707,,,0.036215012211837205,-0.02374943712776334,0.002552776756365338,,0.017441725050504786,,,0.08880656381451546,-0.07536532001084861,-0.006083589681410206,,0.11167155014772323,-0.03078066541922908,0.05689031539290612,0.009836567125403484,-0.010653145109204898,0.014693768488936776,0.05105126330430476,-0.005645427338762499,,0.023039792317108176
4,-9.027462266386621e-05,,-0.09497817769898775,,,-0.021211412064909396,,-0.014185724891201928,,0.008088789337882929,0.07083208340847547,,0.009059834718573467,0.03320648721136088,-0.02402039200765982,,0.021777318844494076,,,-0.050737081344427004,,0.027898528114085774,-0.024451263385751876,-0.015861575072708245,-0.022368244495961642,-0.036852166474320214,0.021921287274734524,-0.01603366238950832,,-0.03478810701700796,-0.04167911566318905,0.002204764862435482,,0.015047855170712499,,-0.006554057251849876,-0.04145503233886472,,,-0.01340582329462675,,-0.033259239651094674,,,-0.006053659822274238,,,0.029068818130896013,-0.009557545567812298,0.0072776984368536635,,0.007364533925146688,,,,-0.07190994240319704,-0.05215672846909625,,0.12696114054134888,-0.09269637831788646,,0.0043593839868121265,-0.010975386488978112,0.015428953514526889,,-0.0034449577663875353,,0.05080449042215607
5,0.020164414523853758,,-0.07069235356373027,,,-0.0351297087663478,,0.004652579781448646,,0.011016510869282126,,,-0.01134169543546687,0.0029741963434877228,0.01759634786023767,,0.039770657064559956,,,-0.04484753745135528,,0.04648007313715041,-0.007505423640710607,0.0007822512662984948,-0.0234013639082018,-0.06044741915821916,0.06139847714925839,0.008532794070824856,,-0.027145905511488433,-0.010280770725147992,0.0025149308295984163,,0.0360278328250887,,-0.009909841380520756,,,,-0.015361238523045218,,-0.018526325020427503,,,0.002730410514390602,,,0.0426930630114879,-0.0002954453278176672,0.004491954608887072,,0.01874385043038629,,,,-0.014441847321663648,-0.007262086768672571,,0.1256149558082793,,,0.004277010688425342,-0.009679177588559407,-0.008876271493912569,,0.02051223732583063,,
6,0.02417130889782504,,-0.10778026524682849,,,-0.046429421172255125,,-0.012317692923293627,,0.09863879239537265,,,-0.035327763349536634,0.056291426605374895,-0.004937971649159767,,0.07433782966337787,,,-0.03412880839654875,,,0.006363739733890039,-0.0009652260264054746,-0.02579674142440047,,0.09945781887036143,0.010032365377138586,,-0.04661946553997387,0.0019133743555168614,-0.049201872342135466,,,,-0.017648893943853494,,,,-0.01798000177264608,,-0.04992473745006176,,,-0.004518093812422297,,,0.050155103073838525,-0.00013855672080209658,0.0048020733484652744,,0.013150646226347096,,,,-0.08389640089594508,0.01583156571148736,,0.14395639758712164,,,0.0450053293376067,0.007103628811535367,-0.010687691510105068,,0.03196684607701128,,
7,0.01666839995645475,,-0.1202827152887076,,,-0.07105102611338965,,0.008539072773078665,,0.14634846225125386,,,-0.0703832253074142,0.03985849405900721,-0.004765205309117171,,,,,-0.04183425400546881,,,-0.010720639901117934,0.0002784964624775732,-0.021730252498640468,,,0.01980147115707842,,-0.025655555370324823,0.006063272938301889,,,,,-0.014937448361506345,,,,-0.012853682692197166,,,,,-0.0019878523786669433,,,0.04658134818544335,0.004134145153107838,-0.0002891784937903985,,0.015709561427676544,,,,-0.100434910415927,0.041109552766118274,,,,,0.058170500926570945,0.0455727154534189,-0.036141264700969344,,0.022544931814648006,,
8,0.005342619911359758,,-0.09894841345306116,,,,,0.00921430300416129,,,,,,0.04821603059254409,-0.016988004885904573,,,,,-0.06437937657978887,,,0.030157897511403853,0.008493137018812824,-0.010043970297894278,,,0.017406545905438886,,-0.05450809320119543,-0.010173314851111837,,,,,-0.019202149568912308,,,,-0.00017603904769852852,,,,,0.004270075603182821,,,0.10707514715512767,0.033737135696707554,0.059503011348735146,,0.03403933449949248,,,,-0.07866590792811667,0.041513471144809966,,,,,0.12199714212714419,0.024507816814603567,,,0.030237446929298972,,
9,0.03932097042181981,,-0.1097421103693903,,,,,-0.012794257131520576,,,,,,0.03643619037575441,-0.008566147298573856,,,,,-0.025871545969872844,,,0.03854022565636406,-0.03458415964502448,-0.022434712572629634,,,-0.0011692535381300218,,-0.015923757866424193,-0.02171681345496701,,,,,-0.014519989317625548,,,,0.0027965957230824956,,,,,0.01484661207612259,,,,0.017121462026102208,,,0.044518362128582734,,,,-0.11543024034591332,0.061410800834615475,,,,,,0.02440677072523223,,,-0.015984310938617075,,
