,2015-01-01,2015-03-01,2015-04-01,2015-05-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-12-01,2016-01-01,2016-04-01,2016-05-01,2016-08-01,2016-10-01,2016-11-01,2016-12-01,2017-02-01,2017-03-01,2017-05-01,2017-06-01,2017-08-01,2017-11-01,2017-12-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-07-01,2018-08-01,2018-09-01,2018-11-01,2018-12-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-11-01,2020-02-01,2020-03-01,2020-04-01,2020-07-01,2020-08-01,2020-09-01,2020-11-01,2020-12-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-04-01,2023-05-01
0,-0.044161241469490076,0.018809124492431994,-0.06493358545637795,-0.018852727740612085,-0.09683355607755928,0.005927500555875209,0.0854402388005544,-0.07842646409605081,-0.028144213282842,0.08711479940117983,0.06941426045172161,-0.04817805885035309,-0.028414933160557876,-0.024852744111493408,0.05281789922520108,-0.007747933832244591,-0.018384910581891845,-0.012199889801947528,-0.04244874812212007,-0.014556087567032083,-0.04448099007034978,-0.0024969513585701986,0.034161660902949365,-0.03360037701402874,-0.024234531690012995,-0.016912503013269853,0.06027537082623269,0.02017781066247526,-0.030189447085767096,0.07633194540510768,0.031121692028422965,0.030365687190466506,-0.006042967368238283,0.029724079835397266,-0.06333304615017177,-0.041463124466099455,0.013854016457659046,0.034441101945128505,0.024800704417370145,-0.047679258551022397,-0.027693570487858477,-0.10639020132986143,0.16271583143191748,0.018767395800514786,-0.08234593620102681,-0.03711512710889164,0.05505540687538146,-0.08176065586995329,0.05721667856198298,0.01821843526971323,0.08684283973014084,-0.03876545390664754,0.014909338143037854,-0.007762426701615199,-0.0032450673775925587,0.07596305737797038,0.06045739733743849,-0.010557538599011096,-0.0028586059074529047,-0.02257106072060666,-0.007590943671143879,0.049802105397452334,0.0015417350655266837,0.031270613422867743,0.0020884856875345303,-0.0028094437087951007,0.046295104482913685,0.0033476467528978093,0.016153769633747483,0.005362538857691668,-0.015335084778000718,-0.04501228175417271,0.01723996122845184,-0.027210886283720592
1,,0.0679626886569149,-0.08446625414995546,-0.028765348194206286,,-0.03709581179998156,,,0.03403042241727894,0.09894874860981862,0.013374634953082776,,,-0.012984679931107301,0.030097107038179693,-0.012476166144220091,-0.0182968632929712,-0.022343604538877848,-0.03390997714229993,-0.024245704326141038,-0.057451708244384614,0.019451607982580166,0.05746309581126141,-0.04251752651403384,,-0.066999882549588,0.05384397453664258,0.0299980477855617,-0.029290388349433316,,0.00023239299148491988,,-0.005989234470670013,0.03087678222139134,,-0.030109773370379234,0.018162952963957313,0.029895419722794525,-0.011666417677358876,,-0.03220228388015123,,,0.0069178084928436245,-0.08510862409123443,-0.031415178428920054,,,0.04512066897430067,0.03698038733003428,,0.004138973967474868,-0.010782932161018666,0.01223693183498975,-0.007165270088104414,,,0.0016564732640307334,0.02220700749243365,-0.02879477018223975,0.050336384765470976,0.04544077156717752,-0.000669852963197215,-0.005744235854495905,-0.01003248535693066,-0.013943354219555726,,0.008106646285703928,0.027380083238458308,0.003566682997727888,-0.006448784195335344,,0.025516295374257036,0.003941440684690045
2,,,-0.09595362156663279,-0.043465338218720895,,-0.10512197420545144,,,-0.03671692999252829,0.026941921537795066,0.002330270486942787,,,-0.046062219315447184,0.03255652331283709,-0.011186050187050878,-0.022448825640720038,-0.024830775876892197,-0.038419097240859124,0.0020102400025909795,-0.06560785113536016,0.017290220634850195,,,,-0.087012231390306,0.06661816597571946,,-0.03367874118028902,,0.02524415854391493,,-0.002624683380127113,0.0429818778054587,,-0.03643182771659381,0.012958814362093563,0.010317022121595354,-0.017935984868355348,,-0.043470630875139804,,,-0.006346985771461755,-0.06521977452542926,-0.04291043323499766,,,0.12754726527123728,,,-0.011850006843542982,-0.03233347002884046,0.00044075650927100085,-0.030235580131583006,,,0.03125380049136495,0.012900761073262323,-0.010929556544845953,0.04845509929600422,0.04599547702059492,-0.0042753417160592555,0.05768654887233593,-0.02065790895153105,-0.05062844137785927,,0.04222511036556856,,0.02569872282986374,-0.02920149976651376,,0.02177667064283184,0.0018717014299785006
3,,,-0.1119351533974855,,,,,,-0.06899315561653552,0.048092513276506876,0.011140240716909666,,,,0.00898214216099813,-0.020907784349007752,-0.019704477804247666,0.004714380771671189,-0.0391883871142964,-0.00878691684697408,,0.03329460803928397,,,,,0.046981532636249934,,-0.050237141590442125,,0.0019943160750948152,,0.018898858187997192,,,-0.027717267828758274,0.035959548669870056,-0.00585376777394675,-0.04387399225097122,,,,,0.00037306945500681366,-0.048832798853842174,-0.060313064630114877,,,,,,-0.006982369561234103,-0.03799125764232669,-0.0067200529539177545,0.018948133774586484,,,0.026156073351508713,0.0043923888313215365,0.018944537876798728,0.00779421283108217,0.06255798637849985,-0.058493877134809136,0.0024116400203628707,-0.016563738617609153,,,,,0.027250681763484774,-0.01971072622343084,,0.005153952109967164,0.003567703070824546
4,,,-0.09925949703165493,,,,,,-0.053323022373069406,0.03401768781001491,-0.05122293607807826,,,,0.0225126234520856,-0.0039455697824286595,-0.01245433558354847,0.00561352103861501,-0.02331930026632456,-0.010344863774861546,,0.013581710836246597,,,,,0.03840773730042679,,-0.05258631097327493,,0.0010000130868339507,,0.025543194662712487,,,-0.019367873658861168,0.013869568152098388,0.019699057749416493,,,,,,0.028890888010468574,-0.03742007241475864,,,,,,,-0.028045190999633318,-0.05113473268632873,-0.021017039480297317,-0.01798047800676894,,,-0.00712822646371758,0.014268479674137247,0.0363312032021208,0.030495044304970298,,,0.03589035347463243,-0.0083874007934652,,,,,0.021006043176038602,-0.0319009445094649,,0.020189744099409324,0.01670828616567621
5,,,-0.09594896409595677,,,,,,-0.10211624614119796,0.0411065191704818,-0.1057935109253405,,,,0.02608900889648691,-0.0112494580064042,-0.007991492249137533,0.00943393173120799,-0.033090085394824165,-0.018135191595794353,,0.004631764024313423,,,,,0.03603026421115407,,-0.061699555153103436,,0.00515754902193688,,0.0012067519043461594,,,0.021032610212795344,0.06153965724543786,0.0034204647800040178,,,,,,0.016708652838103077,-0.05373009280739782,,,,,,,-0.028461599393567072,-0.0974246762044999,-0.012075447845433018,-0.04584088801892694,,,-0.022327364832568808,0.033416999651036505,0.01368473881454313,0.045365903043308675,,,0.027564747744099005,-0.006148521617469455,,,,,0.024148179685780313,-0.04413476749657952,,0.05729391470319889,0.01854882896185517
6,,,-0.0940990270591735,,,,,,-0.10684021552036538,0.033010145993721096,-0.09653801397471362,,,,0.016364456596751786,0.012008526416752208,-0.026200519108941833,-0.018848175444572846,-0.04286562936657479,-0.01860312186694424,,0.0017056286130499032,,,,,0.04431966064170867,,-0.06049119712520845,,0.029006941164380073,,-0.012228583718357111,,,-0.014595447968252184,,0.0236494635736606,,,,,,0.030577293018658747,-0.06342619115610182,,,,,,,-0.051914067491121374,,-0.02487211899547348,,,,-0.013993093535305201,,-0.02105834529904871,0.026998473469050488,,,0.04717916511105935,-0.00817321478815966,,,,,0.014336703073408952,-0.011034868011826182,,,0.03135366446594623
7,,,-0.09894103735278303,,,,,,-0.12072256409792415,0.021123333010402146,-0.115960257159204,,,,0.0473820375012326,-0.007234001586722716,-0.044425075160239746,0.004943050729936838,-0.04757538911662751,-0.005380347030413235,,0.01753288654868479,,,,,0.03138452391031299,,0.0001226366790907374,,0.0333530746831161,,0.006352355144182198,,,-0.02428004658782923,,0.03982281578551339,,,,,,0.023738323789216365,-0.01588719318912224,,,,,,,-0.05610353407546165,,-0.02797618983192307,,,,0.01310880410576365,,-0.01160450511804334,0.05400531398419939,,,0.06807640303236617,-0.02638775703339455,,,,,0.028965095966789534,-0.007947120650348749,,,0.02836859262464353
8,,,-0.07644296087259406,,,,,,,-0.013918782780308447,-0.07797633276057425,,,,0.05256384954260396,-0.0008908370223252859,,-0.02351019985818059,,0.010320476621511476,,0.024154051664889264,,,,,0.034596880697343124,,0.048360168171950324,,0.023719938044374445,,0.00021124258274252128,,,-0.05436838293222124,,0.006054984793834262,,,,,,0.021712262083676048,-0.016547282331316637,,,,,,,-0.08594594326041549,,0.005247804970768044,,,,0.03036115956192731,,-0.034417159449877666,0.05876020357610656,,,0.03485440732028122,-0.02639963103696516,,,,,0.06736116732972741,-0.00502698459173323,,,0.026290270680215944
9,,,-0.10742939570620846,,,,,,,0.05323783516892244,-0.10221678112035448,,,,0.05782800995616366,0.023583684759603152,,-0.021840633905579,,0.00036530658818390016,,0.03738004034389508,,,,,0.03420722002629262,,0.08290853636630868,,0.02206863670127679,,0.021155229522705987,,,-0.03501263684903089,,-0.015715353643585228,,,,,,0.10018775953646375,-0.03785821385588295,,,,,,,,,-0.0012832124152686308,,,,0.020282120779425927,,-0.021988813231141435,0.06718164795987236,,,0.06708133804741667,-0.008683628596523468,,,,,,-0.012416308750690108,,,0.02825724178368927
