,2002-07-01,2002-08-01,2002-11-01,2002-12-01,2003-02-01,2003-07-01,2004-04-01,2004-05-01,2005-10-01,2006-04-01,2006-06-01,2006-08-01,2007-05-01,2007-07-01,2007-11-01,2008-01-01,2008-06-01,2008-10-01,2009-04-01,2009-08-01,2009-10-01,2009-12-01,2010-08-01,2011-02-01,2011-12-01,2012-01-01,2012-04-01,2012-05-01,2012-07-01,2012-12-01,2013-02-01,2013-10-01,2014-02-01,2014-04-01
0,0.005934319789017373,0.011155052404502985,0.02281301418417714,0.011440450267093727,0.01565635060794701,0.06670687582068435,-0.025681228684300894,0.01919037298573878,-0.005269292235918321,0.037183490140975106,0.0195278872347735,0.006794020644909526,0.0245576255557598,-0.027818895306802816,0.02416996371227853,-0.003107983919633295,-0.06461040470964785,-0.012656748255581274,-0.017991422464242568,0.039167444357251835,-0.04699540775498279,-0.04553538746907826,0.01839156026992672,0.02280244155041644,0.015243551378250952,0.05847551247400706,0.03916732198894701,0.04743344924039916,0.004729589078607432,0.006875944911890031,0.004789781181645747,-0.0206050181128834,0.007201648204726796,-0.006141904070893878
1,-0.032148460379745725,0.01553480489664083,0.0032797438872722573,0.0417844132147045,0.011509468652961097,0.04486545366838701,-0.05082625332425117,-0.010389853453594444,0.01312401272485264,,0.020317887482730557,0.012961882229056254,-0.0011176570440021294,-0.05758733933764315,0.04080463650937016,0.09281541694658735,-0.08441871593979844,-0.0693587652678076,0.03751716756445633,1.454144299062321e-05,-0.05419387212878646,-0.01607743846189491,0.01744912493717221,,0.01965855964635055,0.07809867266010095,,0.048192855441224536,0.007804865283038698,-0.004133027209685336,0.022513994259658165,0.012378558248371085,-0.014096920075758579,-0.009328203659101808
2,-0.09329487453941554,0.013392480307175214,0.0025963895331919673,,-0.0002568714674464623,0.0855879505464836,-0.03608803331903365,-0.0008815484654141059,0.012139288873261878,,0.03173338429384143,0.008438125248895423,-0.1898091572107541,,0.03256235914252459,,-0.14348182361906114,0.053203358999106776,0.0007704811788555865,0.00052908987181155,,-0.012835073722344159,0.016870552523757354,,0.02832698082544849,,,0.05277093953647727,0.00046938362084114615,-0.010427307165696842,0.037575066463078066,0.016525539518157384,,0.011201641833022302
3,,0.0574630435910819,0.013494023994363946,,-0.029080250299011734,,-0.09548036563193474,-0.03402611487248697,0.010104430430512235,,,0.008003846696370776,,,0.04606152226867577,,,-0.11958153378370584,0.018987807764449194,0.005932930086315569,,0.03148622136850987,0.02166750911932791,,0.022578134903548985,,,0.05113211168031384,-0.013340585580998265,-0.004831602801401491,,-0.002390069441775111,,0.004526332444142023
4,,0.04799320766144777,-0.00543362861378327,,,,,0.0091586873500753,0.0022715218829398864,,,-0.002130902093436582,,,0.07211043803095718,,,-0.25289112801546487,-0.01346468237069498,0.03569919478607675,,0.06383518497410545,0.004429267411757198,,0.032681527166824154,,,0.05960888768529671,-0.08866369654415918,0.015539423245235495,,0.0025825585241352478,,-0.00018770371785281625
5,,0.04000789979342145,-0.012809042839397211,,,,,0.05272627102070526,-0.005644126094179747,,,-0.0020076250528415773,,,0.0553148549255118,,,,0.005263296415321417,0.008165308065522847,,,-0.011628455097560497,,0.07213062741895793,,,0.06809530041222778,,0.01661856921900773,,-0.021128304793346153,,0.0046587069353742905
6,,0.07302099842781562,-0.006077546236800568,,,,,0.06916255507592028,-0.009734268320948924,,,0.008190435326044465,,,0.03417352978313204,,,,-0.0019503923494452735,0.037346424579337345,,,-0.010259456664059474,,,,,0.1087126687510378,,0.009950656315929285,,-0.03697722502419731,,0.007850526909295219
7,,,-0.02313338675586607,,,,,0.035414794295082874,-0.0020017502093807593,,,0.0064168601556915394,,,0.03154784785128717,,,,-0.03551457727088847,0.027064876296386764,,,-0.011330965971859897,,,,,,,-0.010148466309115811,,-0.0510533726805833,,0.0025184659778714202
8,,,-0.03502118343561378,,,,,0.032256453211002345,0.013432546246832766,,,0.008750229440531943,,,0.02384990293647249,,,,-0.06023220889341019,0.03592973977139602,,,-0.007924750885297538,,,,,,,-0.0016346705377769943,,,,-0.004494712843103654
9,,,-0.03651519174896878,,,,,0.0441036031582982,0.017074459104659656,,,0.006079931166342645,,,-0.010813586068810999,,,,,-0.013024517003070724,,,0.00039766457007717193,,,,,,,-0.0114004357554367,,,,0.0186686042987525
