,2012-12-01,2013-02-01,2013-10-01,2014-06-01,2014-07-01
0,0.07033914262451924,-0.035339602459833586,-0.00457197100864648,-0.014815234938963195,-0.0054168684360496044
1,,-0.027205085906610194,0.006603004060269035,0.014246234704799021,0.010603308354212082
2,,-0.06061418607920599,0.009487656002723832,0.005135102395360969,0.026524166720731657
3,,,0.006907770655843137,0.009415830716319462,
4,,,0.013710298741162252,0.02449067453853715,
5,,,0.0031180285570979738,0.0075060402184405906,
6,,,0.005270822868124192,0.011348857005314072,
7,,,0.01132467695308148,0.014993987008246723,
8,,,0.001853953774774153,0.017484562807738135,
9,,,0.005697764733217703,0.03960382217979708,
10,,,0.004143916179756069,0.04459866349501007,
11,,,0.02055181212975521,,
12,,,0.06965956768992809,,
