,2010-07-01,2010-10-01,2010-11-01,2011-04-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-07-01,2012-11-01,2012-12-01,2013-02-01,2013-12-01,2014-05-01,2014-07-01
0,0.027724405770292115,0.012594058202097136,-0.003702930642841329,-0.01900988572389639,0.005612661514234896,-0.06044009115325166,0.010980080846828999,-0.013586897383006225,0.025075590170371642,0.012111417966604199,-0.028545795452265876,-0.02245492344487432,-0.0023000771231179717,0.028063668893523408,-0.008406281060847176
1,,0.007452672208130284,0.010597323886927357,-0.023582933184998267,-0.005399302579028653,-0.04236801409098634,0.0029378534799699985,-0.03025493502243659,0.04677304266141791,-0.019998594027301975,-0.06166200156621815,-0.0018854092903274333,-0.02089936445737295,,-0.009841405478434373
2,,0.03310489625608071,0.024042489031887104,-0.013910009926108358,-0.0252246860179538,-0.05896607733048298,-0.021906667257460377,0.03822012917634021,,-0.0039037122232257193,,-0.00484746731431851,-0.0450411114249778,,-0.011795899069665383
3,,,0.028702288780352414,-0.03557575845099048,-0.027467103217482802,-0.035169879007077354,-0.03433779047964536,0.026613476592369345,,0.025057619282933707,,-0.0133882447395125,,,-0.022778538075103105
4,,,-0.003202094941663458,-0.008665823763138625,-0.03331494890171938,-0.019705035795025694,-0.0295062754934321,0.03193751658736277,,0.025358516963276845,,-0.007748847627916389,,,-0.022991151358918938
5,,,0.0016676388448489954,0.0036846471596739816,-0.029965247727573252,-0.01790048227923169,-0.07042102990978671,0.03500127735381353,,0.034510416549869305,,0.011418002413078332,,,-0.024662642043692173
6,,,0.007910826405971405,-0.013334018918653823,-0.008285771424909494,-0.003174095975110758,,0.027891417016929765,,,,0.019900452396286017,,,-0.024500420078957807
7,,,-0.00453186922022808,-0.006872514782461092,-0.007215106742032407,-0.019563966835681734,,0.019809697350792632,,,,-0.0006454216803498669,,,-0.029085681679529518
8,,,-0.005270063289705806,-0.016636845954170476,-0.007930537370375412,-0.030076988023157503,,0.029833768649270453,,,,0.00433708453037096,,,
9,,,-0.02529897162341499,-0.037241995786933435,0.00295466978304193,-0.03645329430539257,,0.021650416925885985,,,,-0.00565902893595871,,,
10,,,-0.01693384918292906,,-0.014719405744815561,-0.04851306954735257,,0.020005679713007485,,,,-0.016607095343302736,,,
11,,,-0.025264730261707835,,-0.013091086446390343,-0.06639623916161086,,0.026444687155001922,,,,-0.0564341385652779,,,
12,,,-0.020977602439449572,,-0.009711984433454002,,,0.0016014705774205495,,,,,,,
13,,,0.0013744871376007994,,-0.031629037332613574,,,-0.0362175901480013,,,,,,,
14,,,-0.015313257344738096,,-0.035524926452921934,,,-0.010640713475010166,,,,,,,
15,,,-0.02209989115175104,,-0.022569663192958944,,,-0.015029905514146513,,,,,,,
16,,,-0.020306643584391937,,-0.07669505288928868,,,-0.03198142287981742,,,,,,,
17,,,-0.07747468597969864,,,,,-0.038325591857951036,,,,,,,
18,,,,,,,,-0.030560519979341727,,,,,,,
19,,,,,,,,-0.030364470642083585,,,,,,,
20,,,,,,,,-0.019797032512881785,,,,,,,
21,,,,,,,,0.011014481026570877,,,,,,,
22,,,,,,,,0.01835756186173043,,,,,,,
23,,,,,,,,0.012708961823030052,,,,,,,
24,,,,,,,,-0.009252006813114111,,,,,,,
25,,,,,,,,0.03975405609876059,,,,,,,
26,,,,,,,,0.04290922549606302,,,,,,,
27,,,,,,,,0.05883489348915294,,,,,,,
