,2017-01-01,2017-04-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-12-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-11-01,2021-12-01,2022-01-01,2022-03-01,2022-04-01,2022-05-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-04-01,2023-05-01
1,0.04394818671037082,0.07985591306590756,-0.016986404860642068,-0.027916973276499446,0.04751527813097134,0.058116897360518394,-0.001210953749078758,0.04789087736610273,0.002294092297946193,-0.029694355655586646,-0.022205205014543594,-0.008757785858610756,-0.03159346058563761,,-0.01920850755497283,0.022291776508797326,0.040868803916228824,-0.012882073586139908,0.01616406445819152,0.022032066309239595,-0.0067368594222740885,-0.04078322724794803,,-0.002209405094668826,-0.02088475786888555,-0.022736368198456924,0.004352656734507132,,0.0011015282167516904,,0.0072149703439456925,,0.008537933113444973,0.006842200560437384,-0.003906419307779574,0.01293880834586325,0.04004718192849843,-0.02085068949355806,-0.04431355295087869,-0.030686031875884368,0.08545907876409942,-0.07699827461912401,-0.023761886559620304,-0.06663701558514346,-0.016525959018636627,0.021366949392404244,0.01202562941697738,0.01552015727510056,0.005752462145608872,0.038770008569628533,0.03314889198043164,,-0.04473058664697316,-0.11397080026946993,0.023563415104581154,0.034263277993868746,,0.0033021295326738365,0.0830195789955841,-0.0013897073725726017,-0.077039650173921,,0.0346582614871056,0.027653614197896026,-0.0056022099328050246
2,,0.07417290414375488,-0.009348863704132793,-0.0461101983342076,,0.1124590467789699,0.012410299405273273,0.05220261475730101,-0.04702019298086402,-0.045718752265673235,-0.026316971406101786,-0.011428309579912366,-0.0411921400850459,,-0.013184335943186243,-0.002294530573182515,0.032946630320414894,-0.027611477872143908,0.025450688785098263,0.002785903448315641,-0.02712853298346074,,,0.010247695864390671,0.007794486307099779,-0.035865821190559366,0.008267220775167505,,0.003101015000850582,,0.02207809428946872,,0.018525588654382696,-0.004546191227333463,-0.008409002386030595,0.017473642448756266,,0.007052832358996897,-0.03739748379497709,-0.0387274275980376,0.10833030455906822,-0.07323093479058995,-0.025479695048635786,-0.08703528245557868,0.0011334577067367846,0.00767986121649189,0.020149327180517318,0.0014970317900938335,0.013233785924039454,0.03808114556541953,0.04994126927140646,,-0.06806135157794646,-0.09974110067843411,0.061333410744436545,0.03312733485334296,,0.02973789118755943,,-0.0007659526860703814,-0.03671516270061037,,0.033055208805710556,0.02702248382017247,0.02005419606519898
3,,0.11698774888465024,-0.006577533971960925,-0.04362725387975974,,,-0.008378661099142759,0.03538333046545547,-0.0629389249391199,-0.02633459621741796,-0.015346397600045858,-0.008858649506985117,,,-0.0187946690766585,-0.0003351124313786223,0.017265102916704356,-0.03338492549348682,0.010397376846478679,-0.01233438737462611,0.013681681087064579,,,0.01876401911356984,-0.0018140287204344574,,0.023089194452933004,,0.0010801565564211302,,0.031231560788082202,,0.0023958371331564976,0.005195834470986815,-0.0032965179749546714,0.009989103337272542,,0.01876592437600766,-0.04863664131981715,-0.030342316966757155,,-0.010282591365174731,-0.025498763994315166,,0.018851692101772954,0.017151636050612096,0.023229279552175797,-0.007969368430619822,0.0013866733034348933,0.026911504177382195,0.05794094241343689,,-0.16551461280311308,-0.11744294267363498,0.09589604664666584,0.01299089449216173,,0.033335641143643846,,-0.0028573144198862366,0.00974022404811592,,0.08064686621654715,0.025594726728007,0.00805433395018973
4,,,0.02266837027606794,-0.03589562323219897,,,-0.0134229821770806,0.029263166827034753,-0.050118300467834054,-0.035937727723830415,-0.034459545484693876,0.02024528069309106,,,0.033720061298627924,0.06541247341142364,0.09178335014198113,-0.06184159207761297,0.009875588578591055,-0.018501080351745247,0.002012014656996186,,,0.05127629516611165,-0.013718842978106327,,0.023694758439107844,,0.03041352973540401,,,,0.0035286934408456094,0.017446464538192874,0.005972293985509358,0.008201968712115981,,0.0406320226975283,,-0.020300599632065985,,-0.07126003069985298,-0.028908514132713226,,0.02728773171723553,0.024389188340356416,,-0.006525994323514889,-0.0026699140332597793,0.02329829608063827,0.06364057419922559,,,-0.07518770447534728,0.10451205840404176,0.004591824807375966,,0.03350675762904398,,-0.035606514395005284,-0.02053600088164842,,,0.021770740450766546,0.012967515942418073
5,,,-0.016162873059824445,-0.06700148117800975,,,-0.02989562025505199,0.05205124033769701,-0.10373456120933522,-0.038318195376737973,-0.03990514274118073,0.023601854978005044,,,0.0020502091883969342,,,,0.03133226060032057,-0.030900460933881546,-0.029249650445423825,,,,-0.02260028417925941,,0.0284560214703955,,,,,,-0.024134949742303125,0.029315803087727854,-0.0013350242281178204,0.02410011647468835,,0.023708672644363604,,-0.057475289234320215,,-0.021464411215228463,-0.06942956204342288,,0.037245397611637365,0.04280749078613444,,0.006705641622206743,0.0013773870684812284,0.010889609631850483,0.04344105494258671,,,-0.10565379440060663,0.13505098461188192,-0.0039460905752075615,,0.0639382804550439,,-0.025916491088715965,-0.03664181577228165,,,0.031021303933024047,-0.015224431015969042
6,,,-0.026055819717422768,,,,-0.009376534682484339,0.12890853922537734,,-0.022464106582824384,-0.04468309818868765,0.026033438351722005,,,0.03574362220402394,,,,-0.004977444789422636,-0.037221852183988546,-0.007925825244023077,,,,-0.03103903617326953,,0.017029942670365505,,,,,,-0.03459795869099014,0.043742729986065765,-0.015272234874496027,0.012389119548893657,,0.0436783831124099,,,,-0.0343496258678635,-0.04088032277701337,,0.041289732763904574,0.026917006902708707,,0.011481459370458275,0.00607410028811195,0.021145683122377523,0.055995868604582,,,-0.09403931803953403,0.17677045407897563,0.009631335226698345,,,,-0.0074280590461492935,-0.044016550848264835,,,0.03989291580926402,0.0025003419811602257
7,,,-0.028469095382879672,,,,-0.021555675017218556,,,-0.03042956623081028,-0.038204037860397166,0.01545910358194913,,,-0.017705737282238676,,,,-0.014773067154909336,-0.025581988718280102,-0.013387309626919919,,,,,,0.013355850261365987,,,,,,-0.03051157545895733,0.04618143706291855,-0.03132861778092089,0.014249729631532038,,0.027231169343586936,,,,-0.037116610600459676,-0.04446590336544842,,0.039291731896299975,0.027580233351488515,,0.011434499423156858,0.0014866304879075365,0.05001887096302404,0.034747789117387906,,,-0.10585499272274546,,0.029663467051470827,,,,-0.013341813146956039,-0.046275528895003415,,,0.04645699059728825,-0.0015330023845292473
8,,,-0.02826363223530226,,,,-0.04115356582843255,,,-0.03479543149072839,-0.029982883371540092,0.023335092696560977,,,-0.02471792631305969,,,,0.006960865292965579,-0.0696867211255291,-0.030970039449341957,,,,,,0.0017966802292443962,,,,,,-0.04554016755905366,0.022479353440716388,0.00903712646027155,0.002643077572116681,,0.06357761017670582,,,,-0.04831397814704985,-0.022887415380889342,,0.043421776086088215,0.014167218615988464,,0.0037121152860751516,0.007872247142844513,0.058406760966311255,0.043152722024867696,,,-0.12391553354664109,,0.018490302132515568,,,,-0.015396181741287318,-0.064080270561647,,,0.029600380219524602,0.031207238100878998
9,,,-0.04338615363944598,,,,-0.04425654785093869,,,-0.02684816228602127,-0.016610168145083426,0.016635534570784927,,,-0.01774471043294934,,,,0.0534060551811355,,-0.023936891692629914,,,,,,-0.006255676804868715,,,,,,-0.06697460740079353,0.025405840680870373,0.002332768577054445,-0.02728041296414041,,,,,,-0.011383184662832946,-0.05831062235648399,,0.017106760811274935,0.017764570841280358,,0.00025805277034537943,0.005960994014245102,,0.05528426162077865,,,-0.11591646563746161,,0.013027817478532766,,,,-0.04639129812118181,-0.07286328658601127,,,0.0369044063721895,0.04162653006461858
10,,,,,,,-0.05894317331813537,,,-0.03545095008120347,-0.0505306191005479,0.030537156112481867,,,0.005224296857421651,,,,-0.004313362441720647,,-0.010211692595009314,,,,,,0.008527103642680611,,,,,,,0.011785776712904372,-0.005237706844694712,,,,,,,-0.07879963499651632,-0.06240419770744965,,0.04429764398944824,0.019749337144817636,,0.01869243833826814,-0.004462193442113627,,0.04697885421812659,,,-0.1120172535573507,,0.048800691142827146,,,,-0.032874656298661264,-0.07909831840034842,,,0.04101816782813694,
