,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,601211.SH,-0.0001304499583333507,0.000297986958333335,-0.00013044995833333327,0.00029798695833333454,-0.0015653994999999992,0.0035758435000000145,-0.0015653994999999994,0.0035758435000000145,1.25,0.45,1155.83,6937.185,8093.014999999998,-0.07401918809812934,-0.07401918809811915
1,601828.SH,-0.001310316041666676,0.0007614969444444952,-0.0013103160416666664,0.0007614969444444439,-0.015723792499999997,0.009137963333333327,-0.015723792499999997,0.009137963333333327,0.8333333333333334,0.25,735.8683333333333,6548.54,7284.408333333334,-0.39784582667845364,-0.39784582667845325
2,600958.SH,0.0015340291176470348,0.0034177205882353068,0.0015340291176470587,0.003417720588235293,0.018408349411764703,0.041012647058823515,0.018408349411764703,0.041012647058823515,1.3529411764705883,0.47058823529411764,1362.8717647058822,8510.955294117646,9873.827058823528,0.23807355040449002,0.23807355040449374
3,601811.SH,-0.0007199843749999934,-0.0006982355833333286,-0.0007199843749999998,-0.0006982355833333329,-0.008639812499999998,-0.008378826999999995,-0.008639812499999998,-0.008378826999999995,1.1,0.4,914.3555,7989.937999999997,8904.293499999998,-0.408744826390911,-0.40874482639091364
4,601881.SH,-0.0002300742499999897,0.0004587564166666835,-0.00023007425,0.00045875641666666796,-0.002760891,0.005505077000000015,-0.002760891,0.005505077000000015,1.0,0.3,1033.626,5903.6075,6937.2335,-0.0634168240072828,-0.06341682400728602
5,601868.SH,0.002689479999999911,3.489250000004995e-05,0.0026894799999999997,3.489250000000008e-05,0.03227376,0.00041871000000000096,0.03227376,0.00041871000000000096,1.5,0.5,1801.46,7542.265,9343.725,1.4054162548450446,1.4054162548451277
6,601818.SH,-1.2104999999990657e-05,4.1745030864219025e-05,-1.2104999999999995e-05,4.174503086419844e-05,-0.00014525999999999995,0.0005009403703703812,-0.00014525999999999995,0.0005009403703703812,1.037037037037037,0.3333333333333333,965.0574074074074,6256.962592592593,7222.02,-0.004746304231048099,-0.0047463042310517635
7,600999.SH,-0.00045358865384615294,-0.0001348080448717934,-0.0004535886538461538,-0.00013480804487179417,-0.0054430638461538455,-0.0016176965384615302,-0.0054430638461538455,-0.0016176965384615302,1.3461538461538463,0.6538461538461539,1313.186153846154,7701.775,9014.961153846152,-0.16137753670773897,-0.1613775367077387
8,600600.SH,-0.0011324246428571455,-0.0004379413988095303,-0.0011324246428571429,-0.00043794139880952264,-0.013589095714285715,-0.005255296785714272,-0.013589095714285715,-0.005255296785714272,0.9285714285714286,0.17857142857142858,809.7032142857144,6465.501071428573,7275.204285714285,-0.47384834001288473,-0.47384834001288306
9,600585.SH,0.0005649688963963931,-3.845898648650007e-05,0.0005649688963963963,-3.845898648648622e-05,0.006779626756756757,-0.0004615078378378346,0.006779626756756756,-0.00046150783783783464,1.5405405405405406,0.7567567567567568,1179.0137837837842,7940.580540540542,9119.594324324324,0.13019253320009788,0.1301925332000985
