,2011-10-01,2011-12-01,2012-03-01,2012-11-01,2013-02-01,2013-03-01,2013-04-01,2013-06-01,2013-09-01
0,0.02159946752977504,0.0457050746883243,-0.022071559685477027,-0.002299975442036528,0.0057892749381300845,0.001726552496116529,0.055094482769954434,0.02277689220207202,0.03481618448035495
1,0.013661310893541057,0.04457554917817852,-0.04088172418532032,-0.046843061704040734,0.020348354657453438,-0.02174118667564162,,-0.08411159051792938,
2,-0.004726812935157199,0.056822108143297356,-0.03349849758846313,,0.04497222606524387,-0.00022910363844808046,,,
3,0.030872955834587046,,-0.07896409837503837,,,-0.023125948338215796,,,
4,0.05074627360773043,,,,,-0.007396118064872503,,,
5,0.0970469111899881,,,,,-0.004831835449641275,,,
6,,,,,,0.02649702272559651,,,
7,,,,,,0.015299428903389867,,,
8,,,,,,-0.02617554980636516,,,
9,,,,,,-0.03858134731355101,,,
10,,,,,,-0.05342245795187717,,,
