,2022-04-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-11-01,2023-01-01
0,-0.029288471109571113,-0.03573234195993624,-0.07315140792129249,-0.017672742942455244,-0.0319572596672808,0.0582127661167835,-0.025546558726427415
1,0.02558376715060895,-0.05689774047205809,-0.050268155728440345,-0.05318348811803375,0.025095673193777923,0.07415535792442274,-0.03952670729030561
2,0.09219114149972896,0.04660709155756848,-0.03078223835768501,-0.0657195619477986,0.0711325682319437,0.05565620199876786,-0.03965192871225942
3,,-0.0035880219306907435,-0.0288808438137087,,,0.07767572683624024,-0.05868094489636344
4,,0.10445887350826233,-0.023176772376308996,,,0.050037281645153975,
5,,-0.11135687484535861,-0.011705528867056891,,,0.19563476138306424,
6,,-0.051100676825224234,0.003984760034282608,,,,
7,,-0.03489538099570488,-0.018858772014184844,,,,
8,,-0.07340684623886684,-0.02843324779722689,,,,
9,,-0.10605880556172309,-0.051224136549120836,,,,
10,,-0.04615653637223627,-0.0225112645545682,,,,
11,,-0.06007637141580524,-0.03020563767636819,,,,
12,,-0.11113489764309126,-0.04492641890134941,,,,
13,,-0.12225501394324034,-0.04055266730448004,,,,
14,,-0.14188534464737312,-0.0466714103251471,,,,
15,,,-0.007558446624398307,,,,
16,,,-0.06379591539426777,,,,
17,,,-0.026309927136870748,,,,
18,,,0.001208464399553577,,,,
19,,,-0.022597907079051183,,,,
20,,,-0.006206379052838162,,,,
21,,,-0.03176105110351379,,,,
22,,,-0.06671450975721083,,,,
23,,,-0.07922079662601611,,,,
24,,,-0.06691093596303421,,,,
25,,,-0.05242975921057269,,,,
26,,,-0.0041003304413971264,,,,
27,,,0.013783973123579596,,,,
28,,,-0.006164590371142253,,,,
29,,,0.0021584391946869452,,,,
30,,,0.012020695893485644,,,,
31,,,-0.031367513406166836,,,,
32,,,-0.05720304250755781,,,,
33,,,-0.08312415340068036,,,,
34,,,-0.05607991298584203,,,,
35,,,-0.00041503061741554603,,,,
36,,,-0.06453290647873944,,,,
37,,,-0.06232986355466963,,,,
