,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,000921.SZ,0.0051270679085880415,-0.0036361175497112487,0.004249775733333334,-0.0030483233333333335,0.05099730880000001,-0.03657988,0.04249775733333334,-0.030483233333333335,0.6666666666666666,0.0,1096.6266666666666,4051.3419999999996,5147.968666666667,0.31350926029349013,0.31204635129120256
1,002490.SZ,0.0012009186790609139,0.0027361116575556773,0.000978375,0.002266059090909093,0.011740500000000001,0.027192709090909116,0.00978375,0.022660590909090932,0.5454545454545454,0.0,1191.040909090909,4154.573636363636,5345.614545454545,0.0813459165936623,0.07981449420479252
2,002672.SZ,0.005057164752193051,-0.002232247579839549,0.004202368833333333,-0.0018616403333333322,0.05042842599999999,-0.022339683999999985,0.04202368833333333,-0.018616403333333323,0.3333333333333333,0.0,1183.7733333333333,3413.308333333333,4597.081666666667,1.169448648459641,1.165092973181839
3,002594.SZ,-0.0014527652965507175,0.0028294358714850754,-0.001220137,0.0023383538999999986,-0.014641644,0.028060246799999983,-0.012201370000000001,0.023383538999999988,0.5,0.0,695.3439999999999,6538.639000000001,7233.982999999998,-0.08267024290101525,-0.0836239239187997
4,000063.SZ,0.0020968480553536567,0.00045635114786249067,0.0017371123333333334,0.0003775127777777789,0.020845348,0.004530153333333347,0.017371123333333335,0.003775127777777789,0.6111111111111112,0.0,980.8450000000001,4536.237777777777,5517.082777777778,0.32146132867247135,0.3201827661954189
5,000039.SZ,0.01300569843848544,0.006865006135652314,0.01074593142857143,0.00569822157142857,0.12895117714285717,0.06837865885714284,0.1074593142857143,0.0569822157142857,0.7142857142857143,0.0,1463.9242857142858,4954.127142857143,6418.051428571429,0.7161293619035143,0.7118250713528322
6,000756.SZ,0.004036925829856673,0.0018531568720025204,0.0033558051250000007,0.0015265291250000017,0.04026966150000001,0.018318349500000018,0.033558051250000005,0.015265291250000017,0.875,0.0,1149.9368749999999,5372.1625,6522.099375,0.24475915778170684,0.24465624894488427
7,000002.SZ,0.005424048395358172,0.0001609259241219352,0.004513956599999999,0.000134101599999996,0.054167479199999986,0.001609219199999952,0.04513956599999999,0.0013410159999999599,0.4,0.0,1329.524,1646.9279999999999,2976.452,32.5907767910827,32.548030804219145
8,000157.SZ,0.005373664155248364,0.0026859330765931005,0.004457047888888889,0.002227758333333335,0.05348457466666667,0.026733100000000024,0.04457047888888889,0.02227758333333335,0.5555555555555556,0.0,1347.1455555555556,2531.1877777777772,3878.3333333333335,0.4189698741490861,0.41811681050210153
9,002202.SZ,-0.00305011134843355,0.00303853838458206,-0.0025542867857142855,0.0025140581428571415,-0.030651441428571426,0.030168697714285698,-0.025542867857142857,0.025140581428571413,0.9285714285714286,0.0,1233.8228571428572,3696.4978571428574,4930.3207142857145,-0.1844674521580266,-0.18581419341041527
10,000898.SZ,-0.0037690604200485015,-0.0029924491382301694,-0.0031521162631578947,-0.0024950901052631547,-0.03782539515789474,-0.029941081263157858,-0.03152116263157895,-0.024950901052631546,0.7894736842105263,0.0,701.8421052631578,6146.307368421053,6848.149473684211,-1.1109972370841439,-1.114389000643519
11,000488.SZ,-0.000445146187044227,-0.0025326336854594733,-0.00037376155555555557,-0.0021117131666666656,-0.004485138666666667,-0.025340557999999985,-0.0037376155555555557,-0.021117131666666657,0.6666666666666666,0.0,1097.3766666666666,3699.289444444444,4796.666111111112,-0.13290835735734288,-0.13380605553387706
12,000513.SZ,0.005610853381070591,0.008268667947265496,0.004659873,0.006866159500000002,0.055918476,0.08239391400000001,0.046598730000000005,0.06866159500000002,0.75,0.0,1154.1399999999999,4910.015,6064.155,0.28631870651927327,0.2861940527529456
13,000338.SZ,-0.004598845972211685,0.0016535104788688026,-0.0038403075999999996,0.0013698074000000014,-0.0460836912,0.016437688800000017,-0.038403075999999994,0.013698074000000015,0.8,0.0,865.757,6008.468,6874.225,-0.40577176150668876,-0.4076487633053245
14,002703.SZ,0.005804351485547654,-0.0052679083244774,0.004829669099999999,-0.004397719099999998,0.05795602919999998,-0.052772629199999976,0.04829669099999999,-0.043977190999999985,0.5,0.0,1078.8380000000002,4400.173000000001,5479.011,0.6029117690795435,0.6006832445153766
