,2002-05-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-07-01,2003-09-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-06-01,2004-08-01,2004-09-01,2004-12-01,2005-01-01,2005-02-01,2005-05-01,2005-06-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-11-01,2008-01-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-03-01,2009-04-01,2009-05-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-02-01,2011-03-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2012-01-01,2012-03-01,2012-04-01,2012-05-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-06-01,2015-08-01,2015-09-01,2015-10-01,2015-12-01,2016-01-01,2016-03-01,2016-04-01,2016-05-01,2016-07-01,2016-08-01
0,-0.018018478666689597,0.017311343594194062,-0.03400095895709887,-0.6266621238844805,0.16313640089761394,-0.005969095365626176,0.08317999710925061,-0.03017259657972826,-0.0632119488440237,0.02229879429465309,-0.016033791753382154,0.04272550730203761,0.06785862306979973,0.006458323863092197,-0.012954236666876895,0.05083096467749226,0.04227319650506178,-0.03034928473438203,-0.14235688008154224,0.044011383366185486,0.03864844786145938,-0.030289459479260206,0.4425512745252522,0.058434066725980144,0.01598945487297687,-0.0549930184126447,0.018448782482908932,-3.598427987352992e-05,-0.003223390471868995,5.685150868113553e-05,-7.847821748006856e-05,-0.00046393397529199965,-0.0009224598999346134,-0.0018394633831557983,-0.0019646841057932157,-0.0041435761267991505,-0.0019041893801556714,-0.001028052414372073,-0.0005525601456754306,-0.0015061550269171442,-0.0026232220232827036,-0.0027502960885597743,0.001248376562613708,0.0015435413243398283,-0.0006988598755051922,0.0020772791427244863,-0.0001946542982688565,-0.00707095474360768,0.0016238479338438333,0.002743327481696922,-0.0009139411966434946,0.0032282006119977447,-0.0011526222087054755,0.5261099752977962,0.0464625842914137,-0.0012560144281763552,0.06745967776011152,-0.05163667954295459,-0.03642842359748932,0.06501191484414104,0.07728395462032611,0.0032489156329391644,0.009768014243318746,0.05639081106508437,0.016708007895255728,-0.0736146801352926,-0.02007469481344304,0.005242684649294782,-0.05078122374804961,-0.029485882899460636,-0.008802742151526655,0.03915898250911587,0.1229853316399554,-0.05681886490075416,-0.011738185256591871,-0.036673718808725386,-0.002461144441218699,-0.0633010820006672,-0.1339110323714815,0.026165085131934995,0.12264283282134203,0.04470704355884647,0.02588807523377784,-0.00718484541411013,-0.018922713867113083,0.019345492789914653,-0.03982257344019391,0.036521738909686796,0.12112770845762943,-0.0014659447874971754,0.01255617315983959,0.01068887120650519,0.03092413627227586,0.046153490184997814,0.012545297390154975,0.0630331401623434,0.012226257988020295,0.11165273582598045,0.045483327881542746,0.1469706823901179,0.05945672826977083,-0.030139951176078705,0.020622264299056337,-0.00020539895909044148,0.03510063957719867,0.023539892615899838,-0.01626743763587113,0.012246679915974834,-0.01797487276011278,0.04045103456937382,0.04434932321807317,0.03128829949848466,0.025163147197790448,-0.06629643626462833,0.014320507699183915,-0.12760721873262848,0.12622613194762322,-0.0509167834423323,0.09131086178982484,-0.02625096202072974,0.0665028571816828,0.039953387599936274,-0.01144749208291107,-0.03190073813848682,0.029124709275449412
1,-0.0008676846763334689,-0.015049535679956039,-0.031853805511033784,,0.16470401018498082,-0.013742793132087483,,-0.02183997909211738,-0.053628558137576166,0.04254821229818506,0.027411028192590337,0.025453442199714793,0.05542927651764895,0.07402397261121418,-0.02152402745916071,-0.025829813369414256,0.05162518217111489,-0.01933374515086239,,0.05818160640275427,0.0795661582081767,-0.053439580636163386,,0.0513540582100582,-0.0365804690509588,-0.05530060412967086,0.019638466299124052,-0.0005345592789554321,,0.00020189878126368466,-0.00019267124499866561,-0.0006858733509752801,-0.00037246351968053815,,-0.0025213923004878402,,,-0.0013170001649978683,-0.0008929992029252307,-0.0011161394213493187,-0.0011498167176835425,-0.0020483643803541228,0.0019382696565513405,0.0031569851814697986,-0.0009059635316249481,0.004521246708651228,-0.0018975069873149036,,0.0004747252601260965,,-0.0013873669543416622,,-0.0012285471613630444,,0.07884855012824588,-0.0015068610367912072,0.01159789390400423,-0.03804311962387863,-0.01761772500052572,0.04293888280462177,,0.005329829295924515,0.08902903409452056,0.044905356779057826,-0.02575606701165234,-0.09257464787555714,-0.03738155438525359,0.004289883460996791,-0.029682025482680174,-0.03421284305929695,-0.030420763412673413,0.03770566423451638,0.11073652934800693,-0.036508250823517274,-0.023039146876902672,0.01900077045805837,0.0061523861172317895,-0.2207451280356838,,-0.0004781953454662813,,0.11644634964979139,0.018042195997336308,0.005949577311963439,-0.05679732240887603,0.0023502711409633115,-0.06742777011270573,0.05251369782718046,,-0.046247362640219336,0.01657838653758925,-0.026551682613938254,-0.03856898815730925,0.14473937925902458,0.0007525000708150653,0.0927938294696955,0.012531438428322772,,0.043561808284028336,0.14460576906998945,0.06087678960950588,-0.014543273338894158,0.04280466530524141,-0.029431448457320153,0.041198359701442255,-0.008525915634599812,-0.04653398304445178,-0.00010319083802112772,-0.06950293196811863,0.018060578917394432,0.035634768267696515,-0.03536710906327212,0.12210129063116604,-0.08677181441735593,-0.000961893153955673,,,-0.0638515792601444,,-0.06658909948213598,0.08368361888167741,0.062202273306584566,-0.0035483754567801062,-0.028339152181379612,0.030087586075361106
2,-0.02534516951145338,-0.045188298828293005,-0.04915007786547099,,0.18935887322409162,0.006565594164960276,,-0.02707614297285904,-0.05370486197951152,0.034182628655177405,0.05552750352661828,0.036732895337515004,0.07002546787834674,0.04318118444370844,-0.05451878736222471,0.054913305110971256,0.007498287659443381,0.024368594451100734,,0.008655200905725025,,,,0.03077440707686821,0.05480268111908426,-0.09599397883489558,0.021429655820952173,-0.0002234939826635668,,5.685150868113553e-05,-8.694757497625105e-05,,-0.0008819255914347957,,-0.0010223928539100646,,,-0.0021843446996883883,-0.0001521019890349043,-0.0018963228040089763,-0.0008553959883375942,-0.002452563093296148,0.001741205905790466,0.0008512559941933617,-0.003912985903388427,,-0.002323673624917602,,0.0011323467418743044,,,,-0.001046157004393769,,,-0.0011306147164311664,0.05873245380889891,-0.04515234640074883,-0.024577231358401508,-0.05047371181614224,,-0.009133524725639885,-0.03571509586674404,0.03167030123173231,0.007685921851025235,-0.09424994348081839,-0.05289333859081857,-0.022372357766751838,-0.02860965681512262,-0.08090534716281639,-0.03936748350682295,0.052791856206987786,0.08132166413291597,-0.030951300889440425,-0.017121553896924047,0.029601831736498108,-0.006471675412749067,,,0.040436684149352364,,,0.004050354001871537,0.00957707425840526,-0.057674407145213435,0.0016713636371558094,,0.045797429053461514,,-0.046489344657288934,0.017298272780110313,-0.02370507544599798,-0.05607716706204413,0.12760875936813054,-0.027623221821975852,0.06520055415931947,0.012531438428322772,,0.051681258199365754,0.05305118983385537,0.052213206504791276,-0.03110486177418026,0.03584932658638129,-0.09404189108559402,0.053073992525006775,0.01894001340494622,-0.021725722902574685,-0.02575972241453428,,0.01158405005441332,0.0475317594662954,0.025983741896476786,,-0.12149576980758203,-0.026866936959854426,,,,,-0.11818006091640354,,0.06212495734440693,-0.02124849553931052,-0.03396393918216645,0.029651598183040084
3,-0.0006557703087024525,-0.016808017590871804,-0.004294809083885465,,0.24944306302805153,0.009828250512394998,,-0.025444210136585765,-0.13480022032090888,0.009551492152418462,0.08885300642021221,0.07128567445551104,-0.041954616622807306,0.07630250747760892,-0.030747334017788286,0.16245136457967324,0.07787793899103534,0.03151184836990417,,0.06310045460417024,,,,0.06813325304598608,0.06170827748940866,-0.046441955812806635,0.020301956877840283,-0.0002234939826635668,,-0.00019337952526887747,-4.929976455723961e-05,,-0.0013833221593759493,,-0.0010880232891406771,,,-0.0016060314305582982,-0.0008105977113278054,-0.0024818600511472833,-0.0001687512019300126,-0.003787412050169665,0.00026198863493567814,0.0024506730408244692,-0.003692093797315499,,-8.832222309823612e-05,,0.00015520101513737117,,,,-0.0011648900641648696,,,-0.0011306147164311664,0.06448601015779865,-0.07523680994387028,0.06555470807055042,-0.057710114022164305,,-0.01698245416840294,0.014952155565325587,0.034511590474560094,-0.04872219059443639,-0.027146088827890824,-0.006526417526090955,0.015772650330952542,-0.022958405694765815,,-0.055912638048329466,,0.08951450398164162,0.01998302545070385,-0.07464114254817544,0.02000016245701919,-0.004082943763586644,,,0.12088246681028625,,,-0.0008070288982491847,-0.049739956046755074,-0.005712937765763426,-0.05205406622878539,,0.05541728628333359,,0.026179059663598236,-0.00438927321353666,-0.00650712025424216,-0.029298208100969392,0.13565280581236028,-0.020188727418389396,0.05616377472225631,0.012035472906834765,,0.10852015697483575,0.04893685820075799,0.061960915257481985,-0.07486202043914414,-0.020533327189128592,,0.0916091403896484,0.06232243238007307,-0.03648871713317825,-0.062405067066757525,,0.0026475289955716352,0.02076897929268018,0.0016279122280309366,,-0.14303801802021798,-0.07745497487438358,,,,,,,0.08290459424306684,-0.006797581218263904,-0.03354380493294107,0.025101326410653657
4,0.0649522298779851,-0.048166286637224776,0.01534774225388258,,,0.026660502570448497,,-0.044605485231907605,,0.024831524392724402,0.05869897239385846,0.035168594934734454,-0.0018787060076863593,0.07262545091454342,0.037267321412869925,,0.03698050091502125,0.029297907953801605,,0.09363394128974267,,,,0.2373100480000687,-0.04405290117702432,-0.08117852975350703,0.026589689214437315,-1.937351886298344e-05,,7.744040549668985e-05,-0.0003244407760604612,,-5.225550513537902e-05,,0.0014278859858272291,,,-0.0019915364468976945,-0.0006581832115143058,-0.0014086368640820607,-0.0008553959883375942,-0.0026813400343008963,0.0008539381391978601,0.00011447675522510692,-0.005305021546746447,,-0.0008905730438520248,,-0.0011766975055496898,,,,-0.0020301449641441094,,,-0.0012560144281763552,0.16214411981868082,,,0.023551268402501435,,-0.07416717591818323,-0.04021997172168623,0.049443552800551016,-0.047788329631935245,-0.03529846151315019,-0.003182782957429131,0.033902685828281376,0.024636975906056513,,-0.0887500102559673,,0.0818716756183413,0.04112811252692228,,0.048895340795075404,-0.07673397673623683,,,0.046541464291503465,,,-0.013119047693233021,,-0.022545116709713042,,,0.06388646849339646,,0.0946141975400645,0.011404189788563057,-0.0012050240004903845,-0.017997761425127212,0.17509233108582167,0.03974193171073437,0.039320096064640264,0.012474224189590266,,,0.053505586534377536,0.11274117246289322,,-0.09817663065591464,,0.11541966583553709,,-0.036263586512487844,,,-0.0014793062324824913,-0.04101701326331497,-3.791829968768923e-05,,-0.1726739383237903,,,,,,,,,0.02271218676117881,0.009540717581673741,0.05198822706842088
5,,-0.011891756048361124,0.030940315635926918,,,0.0234468490151698,,,,0.033881372685237165,0.07552370156072286,0.07933345315546059,-0.020610034659401366,0.053994591360712274,0.04056019057136728,,0.1208768296757301,-0.005581311346337436,,0.04804545219128453,,,,,-0.18934838703637258,-0.08066739861453964,0.03206933214604152,0.00015561248974486908,,0.0003316648663399535,-9.297283081401153e-05,,0.0032502915461804505,,0.0003610017025919704,,,-0.0027629926085914677,-0.000825043047948032,5.299555204070494e-05,-0.003901931684558199,-0.0016716064182555552,-0.00033031148109702313,-0.003654618549160188,-0.007588483546156016,,-0.0038966906147606534,,-0.0008255606326156573,,,,,,,0.13385772779259342,,,,0.01625046824866505,,,-0.06756829931295671,0.07078706540424595,-0.07072899543362698,0.011228617661700802,-0.003971763539637574,0.0012644698031365476,0.03891697935046157,,,,0.1016998696911442,0.05225277978243903,,0.02375089100845451,-0.14983011223180787,,,0.0988724478683658,,,0.00043154439304832204,,-0.016346709499756917,,,,,,-0.018428927704756015,-0.033469040591497023,-0.008246159095641303,0.13230120136323764,0.03265253820405145,0.026945518792647505,0.04960201837140116,,,0.012142812498082578,,,,,,,-0.048201818459480794,,,0.013384231908284416,-0.04933752887271847,0.05720769020451488,,,,,,,,,,,0.0037477114493285058,0.052635663611267036,0.05302006050294583
6,,-0.02282833022159836,0.019236623028917155,,,0.018638907424719964,,,,0.024988621243255738,0.13463778326202203,0.05151101893128596,-0.027009167635836162,0.044840449801623716,-0.0005135695796650852,,0.16312591435243906,0.018247061035054024,,0.07526191132249616,,,,,,-0.07660302291655996,0.027135709002685304,0.00016119303707333443,,6.100226158037292e-05,-0.00012174816453162929,,,,0.0005169913794790121,,,,-0.001270769704447991,0.001804139106837438,,-0.002977440865515283,0.0005580071875930792,-0.006891297909752278,,,,,-0.002900762387670938,,,,,,,,,,,-0.06251385080503313,,,-0.13498961446880342,0.06272316389944566,-0.03684889069780839,-0.022312842145842726,0.051830067170002936,-0.05322745802117179,0.05007427068894632,,,,0.05855617451306028,0.04966802078256194,,-0.04015243804279445,,,,0.09024819240950965,,,-0.009653006137012587,,-0.03007305807711491,,,,,,0.05708736191399577,-0.048346984235527746,0.023221436287566233,0.23070277284148144,-0.008568578012724481,0.04685733050795382,,,,-0.03809476455030436,,,,,,,-0.0683697374419161,,,-0.01500992082269259,-0.031761890069231136,0.03086880999002073,,,,,,,,,,,-0.053782883872858456,0.04441984068935079,0.07424572787379624
7,,-0.012396569383389844,0.03108213949093752,,,0.0071090354003837675,,,,0.03542156223949822,,0.08761242783792889,0.06821083423942675,0.034663777910915794,0.019696113322146602,,,-0.04298100324184784,,0.07776270230920956,,,,,,-0.14931433268058858,0.02439912704164235,0.0011553525139126747,,-0.00041389196772928516,-0.00037609017434632463,,,,-0.0003358063222738822,,,,,-0.002189048570845259,,-0.0015060303375424864,-0.0008241630393586649,,,,,,,,,,,,,,,,,-0.12982766773692012,,,,0.16949950187035867,-0.07626286803211224,0.026429652615582055,0.050621035126529934,-0.014891285276586563,0.007955466422219892,,,,0.0693994304849157,0.0521127357118254,,-0.03788281733498167,,,,0.0623996707886445,,,-0.00825945061358907,,-0.08604906507935772,,,,,,0.05781573602448331,,0.05181558102589068,,-0.0032454631074252394,0.03815079049935988,,,,0.013286106086419225,,,,,,,-0.024741601055826123,,,-0.024255052582041303,-0.0455054155280985,-0.057805569541887536,,,,,,,,,,,,0.03843709840361953,0.09507562052875751
8,,-0.05818976375943441,0.016704396046073544,,,0.019320301871431855,,,,0.07856723535282772,,0.10275374021879013,0.11017813091125261,0.0073905651164802855,-0.06125840025541596,,,-0.03920050195327818,,0.02299031464937218,,,,,,-0.10761676451574786,0.02528699338794041,,,-0.0006435656358921155,-0.0002343727165639159,,,,-0.00109445974889337,,,,,-0.006771384600349983,,-1.5241243285710193e-05,-0.0027030263856497178,,,,,,,,,,,,,,,,,-0.08204706029604925,,,,,-0.005456216619672549,0.055695199183317,0.059553418050100615,0.029450332336242058,-0.012420204341851537,,,,0.05221829398088795,0.01728714541899623,,-0.04081112173432855,,,,0.05316054353953392,,,-0.0201314057581079,,,,,,,,0.07978176424146532,,0.0692154339023705,,0.03924488730858022,0.05735503340303283,,,,0.04377894559129125,,,,,,,0.0018692900499281961,,,-0.009538297151498787,0.008968424888435855,-0.04961153023786835,,,,,,,,,,,,0.07809767018647862,
9,,-0.011166453384702013,0.007800252022735599,,,0.045126292960808945,,,,,,0.07257889697440789,,0.0229906771884707,-0.07414594438558209,,,-0.029259793269257983,,-0.01227144663558577,,,,,,-0.10862638022841464,0.02396688625387078,,,2.0394556498049e-06,-0.0006088677552581051,,,,-0.0015689105809655324,,,,,,,0.0004680310585122964,-0.001812598426743195,,,,,,,,,,,,,,,,,-0.09733137830173177,,,,,0.04170081183889307,0.0656473329125522,0.07664074640255558,0.06949711590704366,-0.002866813911224675,,,,0.06790170901713344,0.03113100083653486,,-0.10137506175769606,,,,0.03013919435689555,,,-0.008749773247997361,,,,,,,,,,,,0.08091776305395704,0.03267229538295968,,,,0.07173360308663901,,,,,,,-0.00807200208105785,,,-0.04317387221009772,0.1251359816209927,-0.15424186914690363,,,,,,,,,,,,0.044413050814683164,
