,2002-05-01,2002-06-01,2002-07-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-07-01,2003-08-01,2003-10-01,2003-11-01,2003-12-01,2004-04-01,2004-05-01,2004-07-01,2004-08-01,2004-10-01,2004-11-01,2004-12-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-07-01,2005-09-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-05-01,2007-07-01,2007-09-01,2007-10-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2013-01-01,2013-03-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-06-01
0,-0.08488098828591825,-0.06685316253551776,0.020716153953900474,0.01642253249846981,-0.06242185598471317,0.2204560653151344,-0.002789369634457639,-0.02046608785562798,0.022271020729977442,0.031600569662453726,0.026326350429453527,0.0634493905731146,-3.28514754052156e-05,0.10271433982950251,-0.1125963257131608,-0.1389136417920671,0.0082048801024035,0.08341290584900618,0.11207644849137055,0.07222355083394483,-0.00024909347527701797,0.08437130591717379,0.0944243521120609,0.12379604270588285,-1.7224321236408713e-05,-0.011253629436453139,0.026732108009119848,-0.22181253843588805,0.010788419070772104,0.1401543026137464,-0.06997999623231044,0.20123122564492446,0.0036669725082758564,0.019620256847811435,-0.06279203754526885,0.07851104381680507,-0.0238827461054254,0.02995124087057799,0.0011734966351499843,-0.05197426363276092,0.004468062427685826,0.016699994684710173,0.09304701970812856,-0.015338081085512378,0.05637383718246802,0.05102317344543894,-0.11134164653097489,0.19012353333364906,0.07909743408574865,-0.008819222135738158,-0.04803816319976639,-0.013590570708275074,-0.05020685332409003,0.2732262549964908,-0.05344216517421285,0.13015192001332632,-0.05380227143990379,-0.2661365605806916,0.02676909362197044,-0.023578932363440774,0.1747586654662796,0.17857033539572176,-0.013988712606059828,-0.09507158909961144,-0.028577031370152994,0.025481802241869023,-0.07404413524471831,0.01344383683189676,0.04078115486999501,0.06365151234660527,0.0733573207574878,-0.11293843272943249,0.09469168769223302,0.0005957964194580612,-0.031056995193257754,-0.001421827282631405,0.052517558836968625,-0.03644881223830776,-0.10430739277232925,-0.07671007690743537,0.019498129564379685,0.02116603551278029,0.012539999210724462,0.017737333780488473,0.0424604954254546,-0.1449192217802877,-0.07457030288288902,0.01935314722762982,0.018663789956729904,-0.03680965094306954,-0.0678717018658439,-0.07414074609383503,0.02300338630149268,-0.10753306276718178,0.06560430361068903,0.0341102056503102,0.10843518867480073,0.008516623159666281,0.12918603271797857,-0.05387580546691906,0.04706339950689831,0.020200184349960626,0.040524302122047384,-0.02944431066313058,-0.009592163960597144,0.05068409201471091,0.00419368109427154,-0.07050137120536304,0.06989999968747651,0.003199637919731213,-0.004863840669905972,0.014674646389494672,-0.02398833906608555
1,-0.06799897793010093,-0.0671771323112843,0.016083863196260317,-0.07151877419396313,-0.0602148618528868,,-0.004348904344277038,-0.030491459899762763,-0.005576389933781178,0.07630441905341456,0.02942429674777891,0.07993611212988849,0.08109191384620151,0.12015076892661991,-0.12276277000355851,-0.1779746023194071,0.04623783458898312,,,0.06395610468394874,0.006433475564990188,,,,-0.022488064938544827,-0.019246604862823924,0.03182222640119692,,0.006386115225534006,,-0.036081743034670044,,0.0011200983573962375,0.020869424405366876,-0.017591068956514855,0.09001263426641604,-0.0841977036881496,0.03024160995245917,0.001305932194988202,-0.026954937052462657,-0.023656852513953552,0.01681057684191467,0.08905928854427869,0.05437863045629143,-0.021281912499670597,0.09166459754018219,-0.15535975076315456,,0.03543525553250548,-0.01789123894427025,-0.07270078601498176,-0.0363399321696245,-0.08815668264502174,,-0.1756189904541764,,-0.034139070103005764,,0.044665816626151766,-0.005034249409042513,,0.1014872342790889,-0.014769418674286605,,0.025197022941581437,0.036788293377906456,,0.014793052614723745,0.011185893174594952,0.06401406971856893,0.04703935277190041,,,0.06426747770761398,-0.06667332096355214,0.018821781531464854,0.03386382559672674,-0.025715811324507953,,-0.09280619562757586,0.0169163071720817,0.01348794708271761,0.01848875998516486,0.012794828188563478,0.0562896620686999,,-0.0774321766035655,0.04872504521345622,0.06027426667083269,-0.020256677810338353,-0.08940802884337984,0.00935166406071497,0.06833587048885903,-0.051168823587603995,0.07592180456808384,0.026720496361009705,0.1853811211969143,-0.03774904465029838,0.1236714021760783,-0.044180276004682106,0.11115983633517246,0.061670378812179294,0.035360654266090474,-0.03387698891668611,-0.01637954527872676,0.06604365265471834,-0.02281250263327217,-0.08997953137736836,0.022841473333009565,0.0017532411642262602,-0.009426827858991516,0.04492184660278076,-0.026956528702881677
2,-0.05095188481323973,-0.03528659637859666,-0.033756814242508426,0.007707869158447345,-0.04903300804470023,,-0.024242589896018796,0.0018224662651955548,0.0625066486545095,0.08409653475410828,0.004851795228074884,,0.06219498882395669,0.08294297916842996,-0.13970744426285808,-0.14552479436361532,0.14208298110994466,,,0.09648085291694741,-0.020892497672591492,,,,-0.03730623625046636,0.0072663385560769456,0.015469787587543582,,-0.024344277968145756,,-0.019745143806388477,,-0.04798810937989706,-0.015204839313982532,-0.06152970548211556,,-0.0909223085414963,0.03036948387585725,0.1201920047995948,-0.07473129024987468,-0.07780308242321254,0.023468953179274443,0.16882787611753236,0.07601496481413061,-0.0006218451032600214,0.05941424496047509,-0.16212732891832893,,0.0606118547499821,-0.0015892575471552206,-0.11578671390863571,-0.051539366622651794,-0.05223437778703599,,-0.19425275150600052,,-0.030934215442378177,,0.08238165200479353,0.029964702667724552,,0.10812768904017056,-0.01352415826454445,,-0.022557097925257175,0.054658604052939985,,-0.021568370646050106,0.017956434078528538,0.008383574697097274,0.022644840805490674,,,,-0.07894333353488722,0.03212320455538498,0.07815634541398087,-0.04515537680983561,,-0.04191291124423735,0.055593973872938296,0.07915934701572347,0.007154136399247113,-0.03420911050880715,0.01954407308558448,,-0.09781313600811625,0.07154832167903091,0.11039251244392023,-0.05284446664884879,-0.05700173917798956,-0.016210753724574367,0.07801468164459102,-0.0762621591035142,0.06587621198850568,0.0073620416177191395,,-0.021430151239213657,0.13661067510221225,-0.030857716516128786,,0.08005872346842535,0.04027422543996906,-0.025686927253772973,-0.013377711425427208,0.2095911626005158,-0.020129971988924078,,0.033649855188233824,0.02058784424855986,-0.016503650255408342,,-0.034140594218114995
3,-0.04696961877869896,-0.20134562000494838,0.011438418438859621,0.011574654848253596,-0.013085297221000838,,-0.04404530473647039,0.03881242068145152,0.054835872208950476,0.010016997995279109,0.04003192184500648,,0.12054785544681457,0.06977776048295992,-0.1615361135547435,-0.13409391748504307,,,,0.07866549961307578,0.01804957386546069,,,,-0.03652868938897713,0.004328388656962723,-0.006697522526846633,,0.0027175829443006894,,-0.06168993372670206,,-0.054406742951187415,-0.027686512071690705,-0.05466879964092608,,-0.09331729044502568,0.029072706789901703,,-0.1442841418591123,-0.10367116475247506,0.0007760827933007697,,0.06496312034036533,-0.05094815258142926,0.04095436227314031,-0.19894904520193357,,-0.019584153543678484,-0.020739420295929456,-0.07543320555100119,-0.06663547207538567,-0.09401688421299892,,-0.16738169794387125,,-0.07550407142274707,,0.11181228628304396,-0.029897184080552197,,0.1554633897146569,-0.02945472251069159,,-0.027706156681808203,0.06849635317194025,,-0.02816857306186682,0.046758315072862544,-0.02565891092196093,0.07077979525239186,,,,,0.08729640077780854,,-0.02905474756431925,,-0.02372630898086303,0.010506233708219792,,0.015597410216272367,-0.034912801794431125,-0.008720027350188175,,-0.08608168746457778,0.05014221476947611,,-0.031997089414025126,-0.07042659558019437,-0.045159134151333546,,-0.028493324855022095,0.04689282099862391,0.017863692861408875,,0.009010718105916027,,-0.02910140449052534,,,0.05172728877086086,-0.024380319829836017,-0.008280671745188428,,-0.05262686109282666,,0.04729994160238227,0.042546605016136496,-0.042105568387182046,,-0.03192474684827262
4,-0.03777403099340007,,0.052321148401921036,0.021578000543710285,0.010258038209159714,,-0.048532989608169874,0.026016428544783032,0.02304628553210164,0.06554275660838726,0.04003192184500648,,0.13682532748885634,0.06977776048295992,,-0.1027109478639594,,,,0.036104694663112724,-0.037895366683188936,,,,-0.021024251353126466,0.003173351177991446,0.01299864577933274,,-0.03256166043434883,,-0.05269574400795651,,-0.038584614525210004,0.022756789916783093,-0.05347053155556303,,-0.06701010867845314,0.028781998046865764,,,-0.06000375162816285,0.031161812955467827,,0.053351674423252504,-0.04902373428935114,0.0994009336769357,-0.20983394072798367,,-0.018931447605548435,-0.06542611690761202,-0.06152599422754079,-0.09813855805588512,-0.02355562016437518,,-0.15875217171149136,,-0.0288200954504374,,0.08847251629001951,-0.10024549560872975,,0.17128912077843172,-0.015276844974907888,,0.05269365201231979,,,0.04038823271417025,-0.006989748806540241,0.01790012314566436,0.08793013272267647,,,,,,,-0.028289776106671383,,-0.010667524797589145,-0.026590686890491266,,0.01744410682849229,-0.09050067788044602,0.00030274403891183965,,-0.03629796059935675,0.05919627695199292,,-0.06883631020140113,-0.10406058960605424,-0.05168775886648325,,-0.028949271941696164,0.03194147510224399,0.03524767858504729,,0.0009460430747560977,,0.03303460598519825,,,,0.019389079022653632,-0.01676905599514411,,-0.08036940096510237,,0.023254804037430743,0.01859964877960607,-0.05122794821277088,,-0.0257072357214021
5,-0.0673381095329956,,0.021832891069213822,-0.005061237641801886,-0.004485016835840308,,-0.10094314954483208,0.0195450384077116,0.09487214134140165,0.12670043548145005,0.04974157424103076,,,0.05196977747368203,,-0.05578113612603097,,,,-0.02094474207575292,0.0031163012367105836,,,,-0.01457302670702676,0.03614155377440209,-0.007693312854863965,,0.014993646363106627,,-0.06081934485939433,,-0.0377550414524781,0.0154176048176482,-0.03562252120160392,,-0.02054874684828434,0.027604455718424292,,,-0.16405743101063308,0.08354366069920038,,0.07884862342228915,-0.09830071874455015,0.028252499861215474,-0.21093435183811682,,-0.026479039210393518,-0.02017719173985366,-0.05167045846621798,-0.047812272436194014,0.05552961433854464,,-0.07056600837945692,,-0.019450151155335993,,0.0838331631913034,-0.06013074068750557,,0.22124078962245552,0.022526891598424914,,0.044877368637713744,,,0.022202224346884236,-0.07689841144822829,0.027871464448915972,,,,,,,,-0.027290851618497758,,-0.03740353591705059,-0.014718950762508953,,0.004010012191477896,,-0.0029656002552469474,,-0.02671602295877573,0.04043923513929837,,-0.047038564341370215,,0.003757237619028686,,0.034466779598282926,0.005796260818039745,0.04374790412006879,,0.03291655928710746,,0.03871767823751604,,,,0.0021106859960160484,0.0172643790264031,,,,0.08817680911567272,0.023519144784426516,-0.028551861550536017,,-0.026814363192948942
6,-0.036965624010434545,,0.04740748622003732,-0.015651640554192214,0.10182423855805223,,-0.06983677269353139,-0.03142755745991588,0.21063520158114823,0.08303001910636398,0.08980361056802266,,,0.07936977697744618,,-0.06429348304231919,,,,0.0024403701926605237,0.0027983887690823384,,,,-0.005640035148901212,0.07294325943476387,-0.02765925151080051,,0.040380995494973426,,-0.06509987623562674,,-0.014613143442774756,-0.017456497628090428,-0.04271732771864789,,-0.02317208008783478,0.02793361451279419,,,,0.09053533591780605,,0.05454795843008409,-0.06202767649789287,0.0008100618707949092,-0.16488269552605184,,-0.025175010263057684,0.0002554030893899828,-0.07068886530079554,-0.0657979190777298,0.01710927282220598,,-0.06963679523327382,,-0.0014483040055728313,,0.02589974527218386,0.062184711371460644,,0.18554768606054162,-0.008026286047970288,,0.003851232867004839,,,0.03886131228511491,-0.061391681023576616,0.04107763353604099,,,,,,,,-0.040291102541937907,,-0.01448716322830812,-0.0011169995373152553,,-0.012859417097376591,,-0.004771225744968355,,-0.013520176728998301,0.026477131673253496,,-0.030789752208902232,,0.041141713533840996,,0.05678296580391784,-0.0008416918681417584,0.13489616074145783,,0.14434378984431984,,0.004635720445397951,,,,0.01390780768700317,0.007517497264996287,,,,0.06327313079830454,0.012409527192297265,-0.0010830266108121656,,-0.021913865995919934
7,-0.06244463731798158,,0.011812518051892873,-0.020437765267473207,,,-0.07060119861411485,-0.050342734465886,,0.08329248213925444,0.04727913615379897,,,-0.0656677917252595,,0.04808639610709031,,,,-0.023767517796970505,0.018650009479990404,,,,-0.005343214839707677,,-0.013108280385893512,,0.04634143069970431,,-0.06500756257837104,,-0.046467682364672136,-0.00645922756020445,-0.06809691772618831,,-0.06730772529306472,0.02701516416845018,,,,0.11074712960420596,,0.04327252676689497,-0.12030613827833214,-0.0342846895342952,-0.09739195522915711,,-0.025441485210053072,-0.03682143768459545,-0.036543077450194694,-0.14010371860657322,-0.03405785910008219,,-0.008825082101166948,,-0.002132007736823205,,0.05672461893683467,0.0013891783831829763,,0.16354050475771165,-0.022393027659305176,,-0.039151977929310355,,,0.025822688809646888,0.006852667571696003,0.128420544833876,,,,,,,,-0.0278605864893251,,-0.0010633768518175657,0.01420612761150064,,-0.03145553381371502,,-0.01313011082335569,,-0.07457408484175954,0.0032587618302386545,,-0.010453887837432507,,0.022227683709865165,,0.03166804974640014,-0.051562967300522455,,,,,-0.012996429942191856,,,,0.06546940785127564,0.02108354597414852,,,,0.05363316708447985,0.055450363406436054,0.0014613513501537945,,-0.020788133745936133
8,-0.09048298328729407,,0.08913541183174178,-0.017296770312714704,,,-0.040931076065337635,-0.03676440829824257,,0.10299904965896767,-0.02392515476032031,,,-0.2045435352720255,,0.05335386596429137,,,,-0.0349693278529708,0.061770753550959734,,,,0.022190659901668575,,0.013186392278985437,,0.02921103606622033,,0.025318376469704695,,-0.04902063695284542,-0.017922569768191954,-0.0848523527448517,,-0.026832604189627407,0.026422055655564547,,,,,,0.04155781494378541,-0.16642767062942276,-0.049628680841478756,-0.09043389762317444,,-0.15276631330571022,-0.061148690280345086,-0.009929775493758397,,0.030126770245652912,,-0.0685532874307716,,0.011379886135697515,,0.08344665907033733,0.0747781804490546,,0.20351580188081653,-0.0038303593371589173,,-0.042987067233982046,,,0.05283587547200641,-0.016974208995747198,,,,,,,,,-0.01830393795069396,,-0.05792151966031689,0.0038361038147152193,,-0.0627850454540988,,-0.040207064227169464,,-0.11556289176181256,-0.03368231984592329,,-0.0720327020691145,,0.022907627803637087,,0.052091147455652465,-0.03510352050990484,,,,,-0.022503499976517904,,,,,0.0223131993424861,,,,-0.004981310128020722,0.049384903947444325,0.0030686001751889513,,-0.012547321462277772
9,-0.09065037295443015,,0.07310800820548025,-0.00428302039978623,,,0.02719249092006404,-0.012731693389878007,,0.18789880979659435,0.07528987533702036,,,,,0.07033176862365664,,,,0.0034214910247736263,0.052907072806624766,,,,0.02263320931726165,,-0.041412504364097824,,0.050477966977105826,,0.07129925706198792,,-0.047543989940688425,-0.0253326319410776,,,-0.015222825478113045,0.024539816555644522,,,,,,0.0068513331423067925,-0.2075600611963413,-0.04725481797318598,-0.11472621603621125,,-0.15372353149168583,-0.0712439369275586,-0.08748152337148474,,-0.007476939862701704,,-0.07645008284276933,,-0.03545794513850642,,0.0937080791992444,0.12104280879729945,,0.2425425423955272,-0.014696716127775122,,-0.012024495400463575,,,0.040326051944937547,0.03191121314182688,,,,,,,,,0.02727178559757082,,-0.11266341592514273,0.012646185061968573,,-0.06973899366948033,,-0.03084223546499487,,,0.04900135754083079,,-0.0676772438567812,,-0.001173524509252566,,0.06660923981883782,0.004058719993133231,,,,,-0.04964380211570285,,,,,0.005960092301534381,,,,-0.022736089947508864,0.061714207380040076,0.005542568687803673,,-0.004667276694048539
